-----
{
 "description": "Throw Forward of Infrastructure Projects of Indian Railways as on 1.4.2012 - Twelfth Five Year Plan Document. This table gives an over view of Throw forward of infrastructure Projects as on 1st April, 2012.", 
 "file_name": "Throw_Forward_Of_Infrastructure_Projects.xls", 
 "title": "Download XLS for Throw Forward Of Infrastructure Projects Of Indian Railways As On 1.4.2012", 
 "url": "http://data.gov.in/sites/default/files/Throw_Forward_Of_Infrastructure_Projects.xls"
}
-----
"Infrastructure ","Number of works in progress","Length (in Km.)","Cost (Rs. Crore)","Throw Forward 1.4.2011 (Rs. crore)"
"New Lines",132.0,14212.0,123767.0,89792.0
"Gauge conversion",42.0,9880.0,35051.0,18659.0
"Doubling",174.0,9015.0,49295.0,38766.0
"Electrification",39.0,4700.0,4100.0,6229.0
"DFC Project",2.0,3338.0,95860.0,93860.0
"Total",389.0,41145.0,308073.0,247306.0
