-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "NagalandNSDPcurrent_1.csv", 
 "title": "Download CSV for Nagaland Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/NagalandNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12 (A)","2012-13"
"Agriculture","152336","157923","159217","159563","191609","210045","225443","239940","255390"
"Foresty and Logging","39869","42460","44592","47303","53861","56687","59921","61988","64467"
"Fishing","2044","2318","2519","2621","3969","4369","4694","4994","5669"
"Ag and Allied","194249","202701","206328","209487","249439","271101","290058","306922","325526"
"Mining and Quarrying","595","648","753","869","955","1089","1274","1427","1598"
"Sub total of primary","194844","203349","207081","210356","250394","272190","291332","308349","327124"
"Manufacturing","8511","10755","12718","14905","14954","22746","27466","28986","31837"
"Registered","1672","3183","3433","3486","3241","10749","13881","14993","16482"
"Unregistered","6839","7572","9285","11419","11713","11997","13585","13993","15355"
"Construction","54514","66352","78484","85913","120500","121665","132456","143872","156390"
"Electricity, Gas and water Supply","3587","3711","4421","5252","8915","10622","11288","12206","13596"
"Sub total of secondary","66612","80818","95623","106070","144369","155033","171210","185064","201823"
"Industry","67207","81466","96376","106939","145324","156122","172484","186491","203421"
"Transport Storage and Communication","52317","57100","65257","76672","68537","73311","77562","85937","92095"
"Railways","194","198","300","433","352","581","534","566","601"
"Transport by other means","44175","46539","51219","55843","56074","58356","59254","59980","61532"
"Storage","77","82","99","118","138","165","199","239","282"
"Communication","7871","10281","13639","20278","11973","14209","17575","25152","29680"
"Trade, hotels and restaurants","19216","21595","23082","29081","35821","38894","46263","55800","65985"
"Banking and Insurance","8207","9196","12207","14432","14882","17705","24689","30967","35889"
"Real estate, ownership of dwelling and business","101405","126087","144225","174003","183863","201796","210504","225239","241689"
"Pubic Administration","55455","62137","66852","71067","104406","133232","140078","152359","167396"
"Other Services","44090","51345","58515","66034","76114","78923","85325","93979","105738"
"Sub total of tertiary","280690","327460","370138","431289","483623","543861","584421","644281","708792"
"State domestic product","542146","611627","672842","747715","878386","971084","1046963","1137694","1237739"

"Figures are in Rs. Lakh"
