-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.4.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.4.csv"
}
-----
"State","Scheduled caste","Scheduled tribe","Other social status of farmers","Total","Owned by other than individual farmers","Total.1"
"ANDHRA PRADESH",57386,38649,556120,652155,4204,656359
"ASSAM",5104,10350,62065,77519,1145,78664
"BIHAR",44418,11420,594519,650357,1026,651383
"CHHATTISGARH",2701,2487,39933,45121,41454,86575
"GOA",0,0,14,14,16,30
"GUJ ARAT",1755,6700,43177,51632,1563,53195
"HARYANA",5264,3739,351269,360272,16080,376352
"HIMACHAL PRADESH",102,44,2422,2568,81,2649
"JAMMU & KASHMIR",340,26,950,1316,57,1373
"JHARKHAND",78,16,1011,1105,19,1124
"KARNATAKA",15163,12216,501922,529301,3047,532348
"KERALA",119,29,4424,4572,108,4680
"MADHYA PRADESH",18689,8296,250549,277534,1490,279024
"MAHARASHTRA",2437,3776,50684,56897,2523,59420
"MANIPUR",0,0,0,0,3,3
"MEGHALAYA",0,16,33,49,26,75
"NAGALAND",0,2,0,2,0,2
"ORISSA",5305,1146,36254,42705,1176,43881
"PUNJAB",25528,10075,1026622,1062225,4892,1067117
"RAJASTHAN",10009,13142,89232,112383,473,112856
"TAMIL NADU",10890,534,139322,150746,504,151250
"TRIPURA",252,160,651,1063,115,1178
"UTTAR PRADESH",523364,34996,2950475,3508835,16708,3525543
"UTTARANCHAL",6636,4897,40229,51762,337,52099
"WEST BENGAL",121228,16134,444305,581667,22000,603667
"CHANDIGARH",0,0,132,132,0,132
"DELHI",164,202,9903,10269,75,10344
"PONDICHERRY",71,8,4203,4282,88,4370
"ALL INDIA",857003,179060,7200420,8236483,119210,8355693
