-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "JammuKashmirGSDPconst.csv", 
 "title": "Download CSV for Jammu &amp; Kashmir Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JammuKashmirGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-05","2005-06"
"Agriculture","176668","208179","208956","226628","217721","227855","239085","236513","249279","256463","274265","287636","304118"
"Foresty and Logging","28534","24673","29524","27556","27240","28448","38089","37792","42360","45486","42640","44719","47281"
"Fishing","3201","3314","3416","3647","3830","3902","3937","3837","3911","3943","4256","4464","4720"
"Mining and Quarrying","2979","1686","2380","2747","1846","2133","2179","1319","1381","1429","1667","1748","1848"
"Sub total of primary","211382","237852","244276","260578","250637","262338","283290","279461","296931","307321","322828","338567","357967"
"Manufacturing","49828","43799","44336","42973","43113","46080","50573","42903","52758","55901","60098","64596","68297"
"Registered","19327","10315","13512","13968","13585","16029","10010","11606","11872","12283","12958","13928","14726"
"Unregistered","30501","33484","30824","29005","29528","30051","40563","31297","40886","43618","47140","50668","53571"
"Construction","74692","79836","84981","86723","91442","91442","74001","103383","81489","84333","88155","94753","100182"
"Electricity, Gas and water Supply","10548","9859","4701","213","9957","9957","16228","-913","15452","19669","19931","21423","22651"
"Sub total of secondary","135068","133494","134018","129909","144512","147479","140802","145373","149699","159903","168184","180772","191130"
"Transport Storage and Communication","29597","30920","34980","38549","41585","43597","50129","61458","65612","69986","70884","74629","78905"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","29597","30920","34980","38549","41585","43597","50129","61458","65612","69986","70884","74629","78905"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","71209","66121","71209","74056","78330","82602","90004","86626","94180","98615","102254","107657","113826"
"Banking and Insurance","15574","15765","19171","20439","22340","24012","26828","25898","33173","37721","42312","44548","47101"
"Real estate, ownership of dwelling and business","49226","50683","51969","53352","54875","56450","57946","59643","66110","67792","71415","75188","79496"
"Pubic Administration","69534","74768","81117","88976","107308","112885","120239","126876","123375","128301","134333","141431","149535"
"Other Services","52678","54621","61420","66881","74579","85011","81675","81158","82406","87149","94848","99860","105582"
"Sub total of tertiary","287818","292878","319866","342253","379017","404557","426821","441659","464856","489564","516046","543313","574445"
"State domestic product","634268","664224","698160","732740","774166","814374","850913","866493","911486","956788","1007058","1062652","1123542"

"Figures are in Rs. Lakh"
