-----
{
 "description": "The table presents estimated number of workers in unincorporated non-agricultural in manufacturing sector for each states/UTs by sector and enterprise type. The percentage share indicated in column 11 has been calculated for all enterprises in the combined sector and the table has been ranked on ...", 
 "file_name": "estdnoWrkrMfg.csv", 
 "title": "Download CSV for Estimated number of workers in manufacturing sector in different States/UTs", 
 "url": "http://data.gov.in/sites/default/files/estdnoWrkrMfg.csv"
}
-----
"State/UT","Rural Own Account Enterprises","Rural Establishment","All Rural","Urban Own Account Enterprises","Urban Establishment","All Urban","Rural Own Account Enterprises + Urban Own Account Enterprises","Rural Establishment + Urban Establishment","All Rural + All Urban","% Share"
"Uttar Pradesh",2204221,852346,3056567,1331678,837685,2169363,3535899,1690030,5225929,14.98
"West Bengal",2747824,932880,3680703,567108,758450,1325558,3314932,1691330,5006261,14.35
"Tamil Nadu",715752,561178,1276930,945158,1291839,2236997,1660910,1853017,3513927,10.07
"Maharashtra",832813,281184,1113997,695220,1409663,2104883,1528033,1690847,3218880,9.23
"Gujarat",336490,318148,654639,1260405,1299941,2560346,1596895,1618090,3214985,9.22
"Andhra Pradesh",1209101,645726,1854827,658396,590879,1249274,1867497,1236605,3104102,8.9
"Madhya Pradesh",772772,146039,918811,456405,159647,616052,1229177,305686,1534863,4.4
"Karnataka",628428,203518,831946,323517,353543,677060,951946,557061,1509006,4.33
"Odisha",966922,155580,1122502,84989,58523,143512,1051911,214103,1266014,3.63
"Rajasthan",399965,124799,524764,396659,298299,694957,796624,423098,1219722,3.5
"Kerala",316076,292735,608811,143835,225255,369090,459911,517990,977902,2.8
"Punjab",154556,85873,240429,193297,340028,533325,347853,425901,773754,2.22
"Bihar",517432,76859,594291,87112,69861,156973,604544,146720,751265,2.15
"Delhi",3762,13580,17342,100037,627763,727799,103799,641342,745141,2.14
"Jharkhand",441878,88553,530431,39542,32847,72389,481420,121400,602820,1.73
"Haryana",88450,126872,215321,108420,144031,252452,196870,270903,467773,1.34
"Assam",194424,149589,344013,19770,58242,78012,214194,207831,422025,1.21
"Chhattisgarh",202559,55773,258332,55948,37414,93361,258507,93186,351693,1.01
"Jammu & Kashmir",158070,55136,213206,82448,42688,125136,240518,97824,338342,0.97
"Uttaranchal",70694,40924,111618,18033,43582,61615,88727,84506,173233,0.5
"Himachal Pradesh",91438,31829,123267,14209,16704,30912,105647,48532,154179,0.44
"Tripura",78529,20429,98959,8286,5693,13979,86815,26122,112937,0.32
"Manipur",37711,3943,41653,14837,4404,19242,52548,8347,60895,0.17
"Meghalaya",22067,12540,34608,1100,3395,4495,23167,15935,39103,0.11
"Puducherry",2601,4971,7571,11664,15182,26846,14265,20153,34418,0.1
"Goa",2346,5315,7661,2710,8691,11401,5056,14006,19062,0.05
"Nagaland",5977,1595,7572,1259,1291,2550,7237,2886,10122,0.03
"Chandigarh",504,1079,1583,4615,2376,6991,5119,3455,8574,0.02
"Mizoram",2841,497,3338,1554,2382,3937,4396,2880,7275,0.02
"A & N. Islands",2237,859,3096,595,2740,3335,2833,3598,6431,0.02
"Dadra & N. Haveli",916,2342,3258,528,965,1493,1444,3307,4750,0.01
"Sikkim",963,2083,3046,277,768,1045,1240,2851,4091,0.01
"Arunachal Pradesh",902,1529,2431,306,1257,1563,1208,2786,3994,0.01
"Daman & Diu",509,1405,1914,1357,402,1759,1866,1807,3673,0.01
"Lakshadweep",831,82,913,314,66,379,1145,148,1293,0
"All India",13212564,5297787,18510351,7631588,8746495,16378083,20844151,14044283,34888434,100
