-----
{
 "description": "The table refers to Block wise Construction of Surface Lift Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.1.csv", 
 "title": "Download CSV for Blockwise Construction of Surface Lift Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
MAHARASHTRA,SOLAPUR,MALSHIRAS,520,99,115,233,25,46,46,361,1445
MAHARASHTRA,SOLAPUR,MANGALVEDHA,911,184,91,325,167,467,151,160,2456
MAHARASHTRA,SOLAPUR,MOHOL,1039,151,114,230,83,66,46,20,1749
MAHARASHTRA,SOLAPUR,NORTH  SOLAPUR,256,86,97,26,66,32,13,2,578
MAHARASHTRA,SOLAPUR,PANDHARPUR,5075,412,320,317,850,359,271,218,7822
MAHARASHTRA,SOLAPUR,SANGOLA,31,21,9,13,0,0,0,0,74
MAHARASHTRA,SOLAPUR,SOUTH  SOLAPUR,2266,215,160,90,198,77,105,23,3134
MAHARASHTRA,THANE,DHANU,9,6,0,1,0,1,1,1,19
MAHARASHTRA,THANE,JAWHAR,1,0,0,5,17,49,70,17,159
MAHARASHTRA,THANE,KALYAN,12,0,1,0,0,0,0,0,13
MAHARASHTRA,THANE,MURBAD,12,14,16,10,1,3,220,300,576
MAHARASHTRA,THANE,PALGHAR,39,9,6,5,7,10,10,6,92
MAHARASHTRA,THANE,SHAHAPUR,206,8,3,1,0,1,2,3,224
MAHARASHTRA,THANE,VIKRAMGAD,29,1,4,10,0,0,0,0,44
MAHARASHTRA,THANE,WADA,13,4,4,1,1,5,4,12,44
MAHARASHTRA,WARDHA,ARVI,10,1,2,1,1,1,0,6,22
MAHARASHTRA,WARDHA,ASHTI,5,2,0,2,0,0,1,2,12
MAHARASHTRA,WARDHA,DEOLI,5,0,0,0,1,2,0,9,17
MAHARASHTRA,WARDHA,HINGANGHAT,6,0,1,2,0,1,0,12,22
MAHARASHTRA,WARDHA,KARANJA,2,0,1,0,1,0,2,0,6
MAHARASHTRA,WARDHA,SAMUDRAPUR,30,9,18,0,37,33,0,24,151
MAHARASHTRA,WARDHA,SELOO,19,2,3,1,2,4,0,13,44
MAHARASHTRA,WARDHA,WARDHA,8,0,1,0,0,2,1,2,14
MAHARASHTRA,WASHIM,KARANJA,18,5,5,9,28,27,21,7,120
MAHARASHTRA,WASHIM,MALEGAON,113,67,43,22,22,2,4,2,275
MAHARASHTRA,WASHIM,MANGRULPIR,116,12,31,23,2,12,1,0,197
MAHARASHTRA,WASHIM,MANORA,186,0,10,51,59,47,45,24,422
MAHARASHTRA,WASHIM,RISOD,108,2,22,57,8,7,14,19,237
MAHARASHTRA,WASHIM,WASHIM,143,1,18,14,35,36,13,16,276
MAHARASHTRA,YAVATMAL,ARNI,361,38,40,23,40,20,16,16,554
MAHARASHTRA,YAVATMAL,BABULGAON,86,22,4,7,5,1,0,1,126
MAHARASHTRA,YAVATMAL,DARWHA,356,42,31,12,23,16,9,0,489
MAHARASHTRA,YAVATMAL,DIGRAS,27,6,25,49,55,281,5,0,448
MAHARASHTRA,YAVATMAL,GHATANJI,311,49,59,78,74,50,25,15,661
MAHARASHTRA,YAVATMAL,KALAMB,15,34,22,18,8,10,7,2,116
MAHARASHTRA,YAVATMAL,KELAPUR,12,13,48,84,107,125,24,0,413
MAHARASHTRA,YAVATMAL,MAHAGAON,173,0,5,9,0,0,1,0,188
MAHARASHTRA,YAVATMAL,MAREGAON,51,19,31,31,20,35,6,0,193
MAHARASHTRA,YAVATMAL,NER,27,1,7,6,9,11,5,4,70
MAHARASHTRA,YAVATMAL,PUSAD,544,5,1,2,142,41,2,0,737
MAHARASHTRA,YAVATMAL,RALEGAON,129,25,45,35,22,24,32,16,328
MAHARASHTRA,YAVATMAL,WANI,291,49,40,69,57,91,46,99,742
MAHARASHTRA,YAVATMAL,YAVATMAL,185,26,22,21,10,10,7,7,288
MAHARASHTRA,YAVATMAL,ZARI JAMANI,68,10,31,40,65,61,33,59,367
MANIPUR,IMPHAL EAST,IRILBUNG,0,0,0,0,0,2,0,0,2
MANIPUR,IMPHAL EAST,SAWOMBUNG,0,0,0,0,1,0,1,3,5
MANIPUR,IMPHAL WEST,HAORANG SABAL,1,0,1,0,0,0,0,0,2
MANIPUR,IMPHAL WEST,WANGOI,6,4,1,1,4,0,0,0,16
MANIPUR,THOUBAL,KAKCHING,0,0,0,0,0,0,3,2,5
MANIPUR,THOUBAL,THOUBAL,0,0,0,0,0,1,11,2,14
MEGHALAYA,EAST GARO HILLS,SAMANDA,2,0,0,0,0,0,0,0,2
MEGHALAYA,JAINTIA HILLS,KHLIEHRIAT,2,0,0,0,0,0,0,0,2
MEGHALAYA,JAINTIA HILLS,LASKEIN,1,0,0,0,0,0,0,0,1
MEGHALAYA,JAINTIA HILLS,THADLASKEIN,1,0,0,0,0,0,0,0,1
MEGHALAYA,WEST GARO HILLS,BETASING,4,0,0,0,0,0,0,0,4
MEGHALAYA,WEST GARO HILLS,DALU,1,0,0,0,0,0,0,0,1
MIZORAM,CHAMPHAI,KHAWZAWL,17,0,0,0,0,0,0,0,17
MIZORAM,KOLASIB,THINGDAWL,8,8,7,1,1,2,0,0,27
MIZORAM,MAMIT,REIEK,0,0,0,2,0,0,0,0,2
MIZORAM,SERCHHIP,EAST LUNGDAR,141,16,6,4,1,0,0,2,170
NAGALAND,DIMAPUR,DHANSIRI,1,1,2,3,0,0,0,0,7
NAGALAND,DIMAPUR,KUHUBOTO,9,0,1,4,0,0,0,0,14
NAGALAND,DIMAPUR,MEDZIPHEMA,13,0,0,2,0,0,0,0,15
NAGALAND,DIMAPUR,NIULAND,1,0,0,1,0,0,0,0,2
ORISSA,ANGUL,ANUGUL,46,16,5,39,27,35,10,10,188
ORISSA,ANGUL,ATHAMALLIK,39,2,1,2,4,0,3,0,51
ORISSA,ANGUL,BANRAPALA,42,0,0,0,0,0,0,0,42
ORISSA,ANGUL,CHHENDIPADA,33,0,0,0,0,0,0,0,33
ORISSA,ANGUL,KANIHA,71,1,0,1,0,0,1,0,74
ORISSA,ANGUL,KISHOR NAGAR,13,0,3,1,1,4,1,0,23
ORISSA,ANGUL,PALALAHADA,116,11,2,1,1,0,0,11,142
ORISSA,ANGUL,TALACHERA,23,1,4,1,1,0,0,0,30
ORISSA,BALASORE,BAHANAGA,5,2,1,0,0,0,0,0,8
ORISSA,BALASORE,BALASORE,17,1,0,0,0,0,0,0,18
ORISSA,BALASORE,BALIAPAL,31,0,0,0,1,0,0,0,32
ORISSA,BALASORE,BASTA,33,0,0,3,1,6,5,3,51
ORISSA,BALASORE,BHOGRAI,48,6,9,6,6,4,4,1,84
ORISSA,BALASORE,JALESWAR,38,6,3,3,2,0,0,0,52
ORISSA,BALASORE,KHAIRA,4,0,0,0,0,0,1,0,5
ORISSA,BALASORE,NILAGIRI,21,0,1,0,0,0,0,1,23
ORISSA,BALASORE,OUPADA,6,0,0,0,0,0,0,0,6
ORISSA,BALASORE,REMUNA,16,8,0,0,6,34,0,0,64
ORISSA,BALASORE,SIMULIA,11,0,0,0,0,1,0,1,13
ORISSA,BALASORE,SORO,30,3,3,2,3,2,0,0,43
ORISSA,BARGARH,AMBABHANA,31,3,1,0,0,0,0,0,35
ORISSA,BARGARH,ATABIRA,45,7,5,0,3,0,0,0,60
ORISSA,BARGARH,BARAPALI,31,0,4,0,0,0,0,0,35
ORISSA,BARGARH,BARGARH,67,47,5,11,5,4,12,6,157
ORISSA,BARGARH,BHATALI,163,19,7,10,5,5,1,0,210
ORISSA,BARGARH,BHEDEN,104,13,11,5,10,31,11,10,195
ORISSA,BARGARH,BIJEPUR,53,6,3,4,5,7,3,1,82
ORISSA,BARGARH,GAISILAT,40,3,0,2,1,0,2,0,48
ORISSA,BARGARH,JHARABANDH,26,10,2,1,0,0,5,1,45
ORISSA,BARGARH,PADMAPUR (RAJABUDASA,45,15,0,3,2,3,2,1,71
ORISSA,BARGARH,PAIKMAL,114,29,4,5,6,5,5,2,170
ORISSA,BARGARH,SOHELA,77,0,1,0,0,0,0,0,78
ORISSA,BHADRAK,BANTA,16,0,1,3,2,1,1,0,24
ORISSA,BHADRAK,BASUDEBPUR,65,16,0,0,0,0,0,0,81
ORISSA,BHADRAK,BHADRAK,25,0,2,5,4,4,6,2,48
ORISSA,BHADRAK,BHANDARI POKHARI,10,0,0,0,0,0,0,0,10
