-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to horse power of lifting devices. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.10.csv"
}
-----
"State","District","Block","Horse power (0-2)","Horse power (2-4)","Horse power (4-6)","Horse power (6-8)","Horse power (8-10)","Horse power (Above 10)","Unspecified","Total"
"WEST BENGAL","NADIA","KALIGANJ",0,0,0,0,0,24,0,24
"WEST BENGAL","NADIA","KARIMPUR - I",0,0,0,0,0,11,0,11
"WEST BENGAL","NADIA","KARIMPUR - II",0,0,0,0,0,6,0,6
"WEST BENGAL","NADIA","KRISHNAGANJ",0,0,0,0,0,30,0,30
"WEST BENGAL","NADIA","KRISHNAGAR - I",0,0,0,0,0,17,0,17
"WEST BENGAL","NADIA","KRISHNAGAR - II",0,0,0,0,0,14,0,14
"WEST BENGAL","NADIA","NABADWIP",0,0,1,0,0,12,0,13
"WEST BENGAL","NADIA","NAKASHIPARA",0,0,0,0,0,21,0,21
"WEST BENGAL","NADIA","RANAGHAT - I",0,0,0,0,0,12,0,12
"WEST BENGAL","NADIA","RANAGHAT - II",0,0,0,0,0,10,0,10
"WEST BENGAL","NADIA","SHANTIPUR",0,0,0,0,0,16,0,16
"WEST BENGAL","NADIA","TEHATTA - I",0,0,0,0,0,26,0,26
"WEST BENGAL","NADIA","TEHATTA - II",0,0,0,0,0,26,0,26
"WEST BENGAL","NORTH 24 PARGANAS","BAGDAH",0,0,29,0,0,41,0,70
"WEST BENGAL","NORTH 24 PARGANAS","BARASAT - I",4,60,16,0,0,5,0,85
"WEST BENGAL","NORTH 24 PARGANAS","BARASAT - II",0,0,11,0,0,0,0,11
"WEST BENGAL","NORTH 24 PARGANAS","BARRACKPORE - II",0,0,34,0,0,1,0,35
"WEST BENGAL","NORTH 24 PARGANAS","BARRACKPORE -I",0,6,0,0,0,1,0,7
"WEST BENGAL","NORTH 24 PARGANAS","BASHIRHAT - I",0,0,10,1,0,0,0,11
"WEST BENGAL","NORTH 24 PARGANAS","BONGAON",0,0,0,0,0,41,0,41
"WEST BENGAL","NORTH 24 PARGANAS","DEGANGA",0,0,0,4,0,0,0,4
"WEST BENGAL","NORTH 24 PARGANAS","GAIGHATA",0,0,0,0,0,29,0,29
"WEST BENGAL","NORTH 24 PARGANAS","HABRA - I",0,0,64,0,0,1,0,65
"WEST BENGAL","NORTH 24 PARGANAS","HAROA",0,0,0,0,0,3,0,3
"WEST BENGAL","NORTH 24 PARGANAS","HASNABAD",0,3,80,45,0,0,0,128
"WEST BENGAL","NORTH 24 PARGANAS","HINGALGANJ",0,19,518,54,6,0,0,597
"WEST BENGAL","NORTH 24 PARGANAS","RAJARHAT",0,0,15,0,0,12,0,27
"WEST BENGAL","NORTH 24 PARGANAS","SANDESHKHALI II",0,0,2,0,0,0,0,2
"WEST BENGAL","NORTH 24 PARGANAS","SWARUPNAGAR",0,0,9,0,0,36,0,45
"WEST BENGAL","PURULIA","ARSHA",3,16,173,0,1,8,0,201
"WEST BENGAL","PURULIA","BAGHMUNDI",0,0,1,0,0,6,0,7
"WEST BENGAL","PURULIA","BALARAMPUR",0,0,2,0,0,3,0,5
"WEST BENGAL","PURULIA","BANDWAN",0,5,16,0,0,9,0,30
"WEST BENGAL","PURULIA","BARABAZAR.",0,0,0,0,0,12,0,12
"WEST BENGAL","PURULIA","HURA",0,23,0,0,0,4,0,27
"WEST BENGAL","PURULIA","JHALDA - I",0,0,0,0,0,12,0,12
"WEST BENGAL","PURULIA","JHALDA - II",1,5,12,0,0,3,0,21
"WEST BENGAL","PURULIA","JOYPUR",0,0,38,0,0,3,0,41
"WEST BENGAL","PURULIA","KASHIPUR",0,0,2,0,0,11,0,13
"WEST BENGAL","PURULIA","MANBAZAR - I",0,0,5,0,0,10,0,15
"WEST BENGAL","PURULIA","MANBAZAR - II",0,0,0,0,0,5,0,5
"WEST BENGAL","PURULIA","NETURIA",0,0,0,0,0,3,0,3
"WEST BENGAL","PURULIA","PARA",2,0,0,0,0,2,0,4
"WEST BENGAL","PURULIA","PUNCHA",0,0,9,0,1,9,0,19
"WEST BENGAL","PURULIA","PURULIA - I",0,0,0,0,0,4,0,4
"WEST BENGAL","PURULIA","PURULIA - II",0,0,0,0,0,8,0,8
"WEST BENGAL","PURULIA","RAGHUNATHPUR - I",0,0,0,0,0,4,0,4
"WEST BENGAL","PURULIA","RAGHUNATHPUR - II",1,0,0,0,0,4,0,5
"WEST BENGAL","PURULIA","SANTURI",0,0,0,0,0,4,0,4
"WEST BENGAL","SOUTH 24 PARGANAS","BARUIPUR",14,0,542,0,0,1,0,557
"WEST BENGAL","SOUTH 24 PARGANAS","BASANTI",0,0,81,1,0,0,0,82
"WEST BENGAL","SOUTH 24 PARGANAS","BHANGORE - I",0,0,360,0,0,16,0,376
"WEST BENGAL","SOUTH 24 PARGANAS","BHANGORE - II",0,0,0,0,0,25,0,25
"WEST BENGAL","SOUTH 24 PARGANAS","BISHNUPUR - I",0,0,21,0,0,0,0,21
"WEST BENGAL","SOUTH 24 PARGANAS","BUDGE BUDGE - I",0,0,0,0,0,2,0,2
"WEST BENGAL","SOUTH 24 PARGANAS","BUDGE BUDGE - II",4,0,0,0,1,2,0,7
"WEST BENGAL","SOUTH 24 PARGANAS","DAIMOND HARBOUR - II",10,23,2707,0,0,2,0,2742
"WEST BENGAL","SOUTH 24 PARGANAS","DIAMOND HARBOUR - I",0,25,130,0,0,2,0,157
"WEST BENGAL","SOUTH 24 PARGANAS","FALTA",52,60,200,39,9,4,0,364
"WEST BENGAL","SOUTH 24 PARGANAS","GOSABA",151,21,37,0,0,1,0,210
"WEST BENGAL","SOUTH 24 PARGANAS","JAYNAGAR - I",0,52,292,0,0,0,0,344
"WEST BENGAL","SOUTH 24 PARGANAS","JOYNAGAR - II",1,131,380,1,0,3,0,516
"WEST BENGAL","SOUTH 24 PARGANAS","KAKDWIP",8,98,686,58,0,0,0,850
"WEST BENGAL","SOUTH 24 PARGANAS","KULPI",70,74,1510,108,13,1,0,1776
"WEST BENGAL","SOUTH 24 PARGANAS","KULTALI",0,3,60,55,6,1,0,125
"WEST BENGAL","SOUTH 24 PARGANAS","MAGRAHAT - I",0,0,0,0,0,1,0,1
"WEST BENGAL","SOUTH 24 PARGANAS","MANDIRBAZAR",0,1,203,0,0,0,0,204
"WEST BENGAL","SOUTH 24 PARGANAS","MATHURAPUR - I",2,0,410,48,0,0,0,460
"WEST BENGAL","SOUTH 24 PARGANAS","MATHURAPUR - II",2,0,851,2,1,0,0,856
"WEST BENGAL","SOUTH 24 PARGANAS","NAMKHANA",132,22,90,0,0,0,0,244
"WEST BENGAL","SOUTH 24 PARGANAS","PATHARPRATIMA",936,230,4250,491,0,0,0,5907
"WEST BENGAL","SOUTH 24 PARGANAS","SAGAR",1,16,89,41,0,0,0,147
"WEST BENGAL","SOUTH 24 PARGANAS","SONARPUR",0,0,1,6,0,0,0,7
"WEST BENGAL","SOUTH 24 PARGANAS","THAKURPUKUR-MAHESTAL",0,38,582,0,0,0,0,620
"WEST BENGAL","UTTAR DINAJPUR","CHOPRA",0,0,3,0,0,8,0,11
"WEST BENGAL","UTTAR DINAJPUR","GOALPOKHAR - II",0,0,11,0,0,9,0,20
"WEST BENGAL","UTTAR DINAJPUR","GOALPOKHER - I",0,0,0,0,0,14,0,14
"WEST BENGAL","UTTAR DINAJPUR","HEMTABAD",0,0,9,0,0,13,0,22
"WEST BENGAL","UTTAR DINAJPUR","ISLAMPUR",0,0,0,0,0,4,0,4
"WEST BENGAL","UTTAR DINAJPUR","ITAHAR",0,0,0,0,0,28,0,28
"WEST BENGAL","UTTAR DINAJPUR","KALIYAGANJ",0,0,141,0,0,11,0,152
"WEST BENGAL","UTTAR DINAJPUR","KARANDIGHI",0,0,0,0,0,9,0,9
"WEST BENGAL","UTTAR DINAJPUR","RAIGANJ",0,0,18,0,0,14,0,32
"ANDAMAN & NICOBARS","ANDAMAN","DIGLIPUR",3,0,307,1,0,0,97,408
"ANDAMAN & NICOBARS","ANDAMAN","FERRARGUNJ",0,1,128,3,0,0,106,238
"ANDAMAN & NICOBARS","ANDAMAN","HUTBAY",14,0,29,0,0,0,8,51
"ANDAMAN & NICOBARS","ANDAMAN","MAYABUNDER",0,0,78,0,0,0,41,119
"ANDAMAN & NICOBARS","ANDAMAN","PORT BLAIR",52,0,132,0,0,0,29,213
"ANDAMAN & NICOBARS","ANDAMAN","RANGAT",1,0,87,0,0,0,54,142
"ANDAMAN & NICOBARS","NICOBARS","CAMPBELLBAY",8,0,24,0,0,0,7,39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","AMBOLI",0,0,0,0,2,4,0,6
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","DADRA",0,0,0,0,0,1,0,1
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","DAPADA",0,0,1,0,1,5,0,7
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","DUDHANI",0,0,1,1,0,4,0,6
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","KHANVEL",0,0,1,0,2,2,0,5
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","KILVANI",0,0,0,0,0,1,0,1
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","MANDONI",0,0,2,0,3,1,0,6
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","NAROLI",0,0,0,0,0,1,0,1
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","SILVASSA-I",1,0,2,0,13,1,0,17
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","SILVASSA-II",0,0,2,0,1,1,0,4
"PONDICHERRY","KARAIKAL","T R PATTINAM",0,0,0,0,0,6,0,6
"PONDICHERRY","YANAM","YANAM",0,0,400,0,0,0,0,400
