-----
{
 "description": "The table refers to block wise irrigation potential utilised through surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.14.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation potential utilised through surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.14.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.14.csv"
}
-----
"State","District","Block","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",53,9,0,0,62
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",38,0,0,0,38
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",107,39,2,0,148
"ANDHRA PRADESH","KHAMMAM","SINGARENI",8,0,0,0,8
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",114,45,0,0,159
"ANDHRA PRADESH","KHAMMAM","THALLADA",712,148,0,0,860
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",17,7,0,0,24
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",0,1188,0,0,1188
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",202,1885,0,0,2087
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",81,81,0,0,162
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",262,1108,0,0,1370
"ANDHRA PRADESH","KHAMMAM","WAZEED",73,142,0,0,215
"ANDHRA PRADESH","KHAMMAM","WYRA",421,60,0,0,481
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",41,19,0,0,60
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",12,0,0,0,12
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",955,34,0,0,989
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",830,16,0,1,847
"ANDHRA PRADESH","KRISHNA","CHATRAI",24,0,0,0,24
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",429,0,0,0,429
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",251,5,0,30,286
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",770,0,0,0,770
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",48,81,0,44,173
"ANDHRA PRADESH","KRISHNA","KAIKALUR",120,120,0,0,240
"ANDHRA PRADESH","KRISHNA","KALIDINDI",759,759,0,0,1518
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",400,0,0,0,400
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",0,92,0,0,92
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",25,25,0,0,50
"ANDHRA PRADESH","KRISHNA","MUSUNURU",20,0,0,0,20
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",486,0,0,0,486
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",290,0,0,0,290
"ANDHRA PRADESH","KRISHNA","NANDIVADA",130,130,0,0,260
"ANDHRA PRADESH","KRISHNA","PAMARRU",27,0,0,0,27
"ANDHRA PRADESH","KRISHNA","PEDANA",340,340,0,0,680
"ANDHRA PRADESH","KRISHNA","PENAMALURU",84,0,0,60,144
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",99,0,0,0,99
"ANDHRA PRADESH","KRISHNA","TIRUVURU",44,0,0,0,44
"ANDHRA PRADESH","KRISHNA","UNGUTURU",191,0,0,0,191
"ANDHRA PRADESH","KRISHNA","VATSAVAI",135,0,0,0,135
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",134,94,0,1,229
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",19,0,0,0,19
"ANDHRA PRADESH","KURNOOL","ADONI",60,41,5,0,106
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",91,0,0,0,91
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",431,3,0,0,434
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",1692,1696,0,0,3388
"ANDHRA PRADESH","KURNOOL","DORNIPADU",22,1,3,0,26
"ANDHRA PRADESH","KURNOOL","GOSPADU",42,0,1,0,43
"ANDHRA PRADESH","KURNOOL","HALAHARVI",158,157,0,0,315
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",103,37,0,0,140
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",549,5,0,0,554
"ANDHRA PRADESH","KURNOOL","KOSIGI",221,174,0,9,404
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",17,4,0,0,21
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",137,761,0,0,898
"ANDHRA PRADESH","KURNOOL","MAHANANDI",12,0,0,0,12
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",231,215,7,0,453
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",724,690,0,0,1414
"ANDHRA PRADESH","KURNOOL","NANDYAL",148,6,0,0,154
"ANDHRA PRADESH","KURNOOL","PANYAM",51,0,0,0,51
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",316,17,6,4,343
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",226,167,0,0,393
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",121,11,0,0,132
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",261,195,6,0,462
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",583,348,0,0,931
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",9,7,0,0,16
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",1032,741,2,4,1779
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",425,809,0,0,1234
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",743,493,2,0,1238
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",47,47,0,0,94
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",81,0,0,0,81
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",447,323,5,0,775
"ANDHRA PRADESH","MEDAK","ANDOLE",16,8,0,0,24
"ANDHRA PRADESH","MEDAK","PAPANNAPET",197,2,0,0,199
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",141,17,0,0,158
"ANDHRA PRADESH","NALGONDA","ANUMULA",369,348,0,0,717
"ANDHRA PRADESH","NALGONDA","CHILKUR",400,400,0,0,800
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",67,39,0,0,106
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",8,8,0,0,16
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",521,406,0,0,927
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",613,540,38,0,1191
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",0,20,0,0,20
"ANDHRA PRADESH","NALGONDA","KODAD",484,302,7,17,810
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",157,180,0,0,337
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",18,199,0,0,217
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",831,562,3,0,1396
"ANDHRA PRADESH","NALGONDA","MOTHEY",21,21,0,0,42
"ANDHRA PRADESH","NALGONDA","MUNAGALA",579,237,0,0,816
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",299,199,0,0,498
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",542,443,0,0,985
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",224,314,0,0,538
"ANDHRA PRADESH","NALGONDA","PENPAHAD",259,210,0,0,469
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",1078,860,2,0,1940
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",970,728,0,0,1698
"ANDHRA PRADESH","NELLORE","ALLUR",20,268,0,0,288
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",24,116,0,0,140
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",0,0,0,0,0
"ANDHRA PRADESH","NELLORE","ATMAKUR",334,108,1,0,443
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",25,93,442,0,560
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",22,111,301,0,434
"ANDHRA PRADESH","NELLORE","CHEJERLA",217,179,19,0,415
"ANDHRA PRADESH","NELLORE","CHILLAKUR",5,154,0,0,159
"ANDHRA PRADESH","NELLORE","DAGADARTHI",0,219,0,0,219
"ANDHRA PRADESH","NELLORE","DAKKILI",187,211,80,6,484
"ANDHRA PRADESH","NELLORE","DUTTALUR",16,67,0,0,83
"ANDHRA PRADESH","NELLORE","GUDUR",0,87,0,0,87
"ANDHRA PRADESH","NELLORE","KALIGIRI",0,13,0,0,13
"ANDHRA PRADESH","NELLORE","KALUVOYA",80,83,1,0,164
"ANDHRA PRADESH","NELLORE","KAVALI",0,74,0,0,74
"ANDHRA PRADESH","NELLORE","KODAVALUR",48,48,0,0,96
"ANDHRA PRADESH","NELLORE","KONDAPURAM",15,190,1,0,206
"ANDHRA PRADESH","NELLORE","KOTA",0,33,0,0,33
"ANDHRA PRADESH","NELLORE","MANUBOLU",0,14,0,0,14
"ANDHRA PRADESH","NELLORE","MARRIPADU",160,100,0,0,260
"ANDHRA PRADESH","NELLORE","NELLORE",26,556,1,0,583
"ANDHRA PRADESH","NELLORE","PODALAKUR",5,611,80,36,732
"ANDHRA PRADESH","NELLORE","RAPUR",16,35,0,0,51
"ANDHRA PRADESH","NELLORE","SANGAM",176,543,0,0,719
"ANDHRA PRADESH","NELLORE","SULLURPETA",0,0,0,0,0
"ANDHRA PRADESH","NELLORE","SYDAPURAM",78,88,40,3,209
"ANDHRA PRADESH","NELLORE","TADA",0,449,5,0,454
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",0,17,0,0,17
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",85,237,0,0,322
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",69,182,12,0,263
"ANDHRA PRADESH","NELLORE","VIDAVULUR",117,96,0,0,213
"ANDHRA PRADESH","NELLORE","VINJAMUR",40,69,0,0,109
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",636,75,0,0,711
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",131,37,17,0,185
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",247,138,0,0,385
"ANDHRA PRADESH","NIZAMABAD","BODHAN",56,14,0,0,70
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",17,7,0,0,24
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",274,157,0,0,431
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",171,101,0,0,272
"ANDHRA PRADESH","NIZAMABAD","MORTAD",220,94,0,0,314
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",236,198,0,0,434
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",592,184,0,0,776
"ANDHRA PRADESH","NIZAMABAD","PITLAM",244,214,0,6,464
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",4139,2687,0,0,6826
"ANDHRA PRADESH","PRAKASAM","ADDANKI",443,35,0,0,478
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",7,14,5,0,26
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",38,10,0,0,48
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",202,141,5,0,348
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",83,0,0,0,83
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",266,0,0,0,266
"ANDHRA PRADESH","PRAKASAM","CHIRALA",92,0,0,0,92
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",15,36,0,0,51
"ANDHRA PRADESH","PRAKASAM","INKOLLU",219,0,0,0,219
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",88,119,0,0,207
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",0,170,0,0,170
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",225,44,0,0,269
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",4791,0,0,0,4791
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",27,27,0,0,54
"ANDHRA PRADESH","PRAKASAM","KONDAPI",537,0,0,0,537
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",50,0,0,0,50
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",0,77,0,0,77
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",45,0,0,0,45
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",47,47,0,0,94
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",1500,31,340,0,1871
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",81,20,0,0,101
"ANDHRA PRADESH","PRAKASAM","MARTUR",44,0,0,0,44
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",587,0,0,0,587
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",98,383,11,0,492
"ANDHRA PRADESH","PRAKASAM","ONGOLE",0,391,0,0,391
"ANDHRA PRADESH","PRAKASAM","PAMUR",8,90,25,0,123
"ANDHRA PRADESH","PRAKASAM","PARCHUR",3531,0,0,0,3531
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",295,153,0,0,448
"ANDHRA PRADESH","PRAKASAM","PODILI",127,34,0,0,161
"ANDHRA PRADESH","PRAKASAM","PONNALUR",63,54,11,0,128
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",271,0,0,0,271
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",95,57,0,0,152
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",0,94,0,0,94
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",0,372,4,0,376
"ANDHRA PRADESH","PRAKASAM","THALLUR",30,7,0,0,37
"ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM",23,6,5,0,34
"ANDHRA PRADESH","PRAKASAM","ULAVAPADU",115,96,0,0,211
"ANDHRA PRADESH","PRAKASAM","VETA PALEM",869,0,0,0,869
"ANDHRA PRADESH","PRAKASAM","VOLETIVARI PALEM",0,35,0,0,35
"ANDHRA PRADESH","PRAKASAM","YADDANA PUDI",253,0,0,0,253
"ANDHRA PRADESH","PRAKASAM","ZARUGUMALLI",283,316,0,0,599
"ANDHRA PRADESH","RANGA REDDY","BASHEERABAD",77,98,0,0,175
"ANDHRA PRADESH","RANGA REDDY","DHARUR",37,0,0,0,37
"ANDHRA PRADESH","RANGA REDDY","GHATKESAR",191,237,143,1,572
"ANDHRA PRADESH","RANGA REDDY","HAYATHNAGAR",215,170,11,3,399
"ANDHRA PRADESH","RANGA REDDY","RAJENDRANAGAR",16,7,0,0,23
"ANDHRA PRADESH","RANGA REDDY","UPPAL",26,57,172,2,257
"ANDHRA PRADESH","SRIKAKULUM","BHAMINI",86,26,0,0,112
"ANDHRA PRADESH","SRIKAKULUM","ETCHERLA",142,0,0,0,142
"ANDHRA PRADESH","SRIKAKULUM","GARA",50,11,0,0,61
"ANDHRA PRADESH","SRIKAKULUM","KOTTURU",18,6,0,0,24
"ANDHRA PRADESH","SRIKAKULUM","MANDASA",16,0,0,0,16
"ANDHRA PRADESH","SRIKAKULUM","PALAKONDA",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","SARAVAKOTA",130,4,0,0,134
"ANDHRA PRADESH","SRIKAKULUM","SEETHAMPETA",48,4,0,0,52
"ANDHRA PRADESH","SRIKAKULUM","SOMPETA",62,20,0,0,82
"ANDHRA PRADESH","SRIKAKULUM","VANGARA",32,4,0,0,36
"ANDHRA PRADESH","VIJAYA NAGARAM","BOBBILI",8,8,0,0,16
"ANDHRA PRADESH","VIJAYA NAGARAM","DENKADA",126,34,19,0,179
"ANDHRA PRADESH","VIJAYA NAGARAM","GAJAPATHINAGARAM",121,0,0,0,121
"ANDHRA PRADESH","VIJAYA NAGARAM","GARIVIDI",0,7,2,0,9
"ANDHRA PRADESH","VIJAYA NAGARAM","GUMMALAKSHMIPURAM",0,2,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","KURUPAM",23,1,0,0,24
"ANDHRA PRADESH","VIJAYA NAGARAM","MAKKUVA",14,0,0,0,14
"ANDHRA PRADESH","VIJAYA NAGARAM","MERAKAMUDIDAM",0,85,0,0,85
"ANDHRA PRADESH","VIJAYA NAGARAM","NELLIMARLA",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","PUSAPATIREGA",160,0,0,0,160
"ANDHRA PRADESH","VIJAYA NAGARAM","RAMABHADRAPURAM",63,0,13,0,76
"ANDHRA PRADESH","VIJAYA NAGARAM","SALUR",31,6,8,0,45
"ANDHRA PRADESH","VIJAYA NAGARAM","SEETHANAGARAM",311,81,3,0,395
"ANDHRA PRADESH","VIJAYA NAGARAM","SRUNGAVARAPUKOTA",0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","ANAKAPALLE",0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","ARAKU VALLEY",107,0,0,0,107
"ANDHRA PRADESH","VISAKHAPATNAM","DEVARAPALLE",28,25,40,8,101
"ANDHRA PRADESH","VISAKHAPATNAM","DUMBRIGUDA",0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","HUKUMPETA",342,0,0,0,342
"ANDHRA PRADESH","VISAKHAPATNAM","MADUGULA",10,11,9,0,30
"ANDHRA PRADESH","VISAKHAPATNAM","MUNAGAPAKA",0,0,46,0,46
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",45,0,0,0,45
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",85,0,0,0,85
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",28,0,0,0,28
"ANDHRA PRADESH","WARANGAL","DORNAKAL",9,0,0,0,9
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",658,306,0,0,964
"ANDHRA PRADESH","WARANGAL","GUDUR",41,6,0,0,47
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",0,0,0,0,0
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",105,20,0,0,125
"ANDHRA PRADESH","WARANGAL","MANGAPET",25,0,0,0,25
"ANDHRA PRADESH","WARANGAL","MULUG",201,51,0,0,252
"ANDHRA PRADESH","WARANGAL","TADVAI",91,14,0,0,105
"ANDHRA PRADESH","WARANGAL","THORRUR",4,2,0,0,6
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",378,285,0,131,794
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",255,0,0,0,255
"ANDHRA PRADESH","WEST GODAVARI","ELURU",0,422,0,0,422
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",809,405,0,0,1214
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",825,577,424,0,1826
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",976,0,0,0,976
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",45,45,0,0,90
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",619,234,0,0,853
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",661,439,8,16,1124
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",107,107,0,0,214
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",2450,1026,8,0,3484
"ASSAM","BARPETA","BAJALI",700,316,0,10,1026
"ASSAM","BARPETA","BARPETA",225,234,0,0,459
"ASSAM","BARPETA","BHAWANIPUR",398,363,0,0,761
"ASSAM","BARPETA","CHENGA",0,0,0,0,0
"ASSAM","BARPETA","GOBARDHANA",237,37,0,0,274
"ASSAM","BARPETA","JALAH",52,17,0,0,69
"ASSAM","BARPETA","MANDIA",523,348,1,4,876
"ASSAM","BARPETA","RUPSI",272,68,0,0,340
"ASSAM","BONGAIGAON","BOITAMARI",131,27,0,14,172
"ASSAM","BONGAIGAON","BOROBAZAR",29,26,0,18,73
"ASSAM","BONGAIGAON","MANIKPUR",392,258,0,3,653
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",17,9,0,0,26
"ASSAM","BONGAIGAON","SRIJANGRAM",221,135,0,0,356
"ASSAM","CACHAR","KATIGORA",67,21,0,0,88
"ASSAM","CACHAR","RAJABAZAR",77,40,0,0,117
"ASSAM","CACHAR","SALCHAPRA",144,57,0,0,201
"ASSAM","CACHAR","SONAI",329,50,50,20,449
"ASSAM","CACHAR","UDARBOND",65,35,0,0,100
"ASSAM","DARRANG","DALGAON SIALMARI",153,81,0,15,249
"ASSAM","DARRANG","KALAIGAON",1235,149,0,0,1384
"ASSAM","DARRANG","KHAIRABARI",180,57,0,7,244
"ASSAM","DARRANG","MAZBAT",89,56,0,0,145
"ASSAM","DARRANG","SIPAJHAR",198,112,0,3,313
"ASSAM","DARRANG","UDALGURI",46,26,0,0,72
"ASSAM","DHEMAJI","BORDOLONI",560,142,0,20,722
"ASSAM","DHEMAJI","DHEMAJI",201,95,0,11,307
"ASSAM","DHEMAJI","MURKONGSELLECK",438,81,0,10,529
"ASSAM","DHUBRI","AGAMONI",144,48,0,1,193
"ASSAM","DHUBRI","BILASIPARA",272,142,0,0,414
"ASSAM","DHUBRI","CHAPAR SALKOCHA",24,20,0,0,44
"ASSAM","DHUBRI","GAURIPUR",124,90,0,0,214
"ASSAM","DHUBRI","GOLOKGANJ",95,54,0,6,155
"ASSAM","DHUBRI","MANKACHAR",0,0,0,0,0
"ASSAM","DHUBRI","SOUTH SALMARA",2,2,0,1,5
"ASSAM","DIBRUGARH","BARBARUAH",244,22,0,1,267
"ASSAM","DIBRUGARH","JOYPUR",92,37,0,0,129
"ASSAM","DIBRUGARH","KHOWANG",394,152,0,11,557
"ASSAM","DIBRUGARH","LAHOWAL",85,54,0,0,139
"ASSAM","DIBRUGARH","TENGAKHAT",109,75,0,0,184
"ASSAM","GOALPARA","BALIJANA",302,316,0,1,619
"ASSAM","GOALPARA","DUDHNOI",406,31,0,0,437
"ASSAM","GOALPARA","LAKHIPUR",84,63,0,2,149
"ASSAM","GOALPARA","MATIA",293,95,0,2,390
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",396,250,1,2,649
"ASSAM","GOLAGHAT","GOLAGHAT EAST",161,71,0,5,237
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",50,25,0,0,75
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",487,231,0,15,733
"ASSAM","GOLAGHAT","GOLAGHAT WEST",82,39,0,1,122
"ASSAM","GOLAGHAT","GOMARIGURI",51,38,0,2,91
"ASSAM","HAILAKANDI","HAILAKANDI",250,100,0,0,350
"ASSAM","HAILAKANDI","KATLICHARA",58,31,0,0,89
"ASSAM","HAILAKANDI","LALA",328,144,0,0,472
"ASSAM","JORHAT","JORHAT",206,70,0,0,276
"ASSAM","JORHAT","JORHAT CENTRAL",120,163,0,0,283
"ASSAM","JORHAT","JORHAT EAST",523,158,0,0,681
"ASSAM","JORHAT","MAJULI",34,525,0,0,559
"ASSAM","JORHAT","NORTH WEST JORHAT",476,101,0,0,577
"ASSAM","JORHAT","TITABOR",331,191,0,0,522
"ASSAM","KAMRUP","BOKO BANGAON",155,35,0,3,193
"ASSAM","KAMRUP","CHAMARIA",32,80,0,3,115
"ASSAM","KAMRUP","CHANDRAPUR",9,180,0,0,189
"ASSAM","KAMRUP","CHHAYGAON",49,27,0,4,80
"ASSAM","KAMRUP","DIMORIA",816,1674,0,0,2490
"ASSAM","KAMRUP","HAJO",340,67,1,0,408
"ASSAM","KAMRUP","KAMALPUR",35,10,0,0,45
"ASSAM","KAMRUP","KARARA",8,4,0,0,12
"ASSAM","KAMRUP","RAMPUR",52,17,0,0,69
"ASSAM","KAMRUP","RANGIA",201,191,0,0,392
"ASSAM","KAMRUP","RANI",4,3,0,0,7
"ASSAM","KARBI ANGLONG","BOKAJAN",773,202,0,0,975
"ASSAM","KARBI ANGLONG","HOWRAGHAT",450,150,10,20,630
"ASSAM","KARBI ANGLONG","LUMBAJONG",859,133,0,45,1037
"ASSAM","KARBI ANGLONG","RONGKHONG",2223,1988,0,127,4338
"ASSAM","KARIMGANJ","BADARPUR",50,75,0,0,125
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",0,25,0,0,25
"ASSAM","KARIMGANJ","PATHARKANDI",55,28,0,0,83
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",55,6,0,0,61
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",215,93,0,0,308
"ASSAM","KOKRAJHAR","DOTOMA",8,1,0,0,9
"ASSAM","KOKRAJHAR","GOSSAIGAON",0,0,0,0,0
"ASSAM","KOKRAJHAR","KACHUGAON",95,43,0,0,138
"ASSAM","KOKRAJHAR","KOKRAJHAR",18,18,0,0,36
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",2,0,0,0,2
"ASSAM","LAKHIMPUR","BIHPURIA",17,13,0,0,30
"ASSAM","LAKHIMPUR","BORDALANI",5,3,0,1,9
"ASSAM","LAKHIMPUR","DHAKUAKHANA",323,155,0,1,479
"ASSAM","LAKHIMPUR","LAKHIMPUR",127,60,0,2,189
"ASSAM","LAKHIMPUR","NARAYANPUR",39,32,0,1,72
"ASSAM","LAKHIMPUR","NOWBOICHA",47,29,0,2,78
"ASSAM","MARIGAON","BHURBANDHA",248,203,0,3,454
"ASSAM","MARIGAON","KAPILI",128,13,0,0,141
"ASSAM","MARIGAON","LAHARIGHAT",281,235,0,13,529
"ASSAM","MARIGAON","MAYONG",796,1890,0,0,2686
"ASSAM","NAGAON","BATADRAVA",112,28,0,0,140
"ASSAM","NAGAON","JUGIJAN",112,54,0,5,171
"ASSAM","NAGAON","JURIA",258,71,0,0,329
"ASSAM","NAGAON","KALIABOR",202,77,0,27,306
"ASSAM","NAGAON","KAPILI",45,20,0,0,65
"ASSAM","NAGAON","KAPILI PT.I",580,352,0,1,933
"ASSAM","NAGAON","KATHIATOLI",1461,692,0,11,2164
"ASSAM","NAGAON","KHAGARIJAN",550,258,0,0,808
"ASSAM","NAGAON","LANKA",143,69,0,3,215
"ASSAM","NAGAON","LAOKHOWA",242,81,0,0,323
"ASSAM","NAGAON","RUPAHI",182,79,0,11,272
"ASSAM","NALBARI","BARIGOG BANBHAG",81,90,0,0,171
"ASSAM","NALBARI","BARKHETRI",1,12,0,0,13
"ASSAM","NALBARI","BASKA",147,57,0,0,204
"ASSAM","NALBARI","PASCHIM NALBARI",132,99,0,0,231
"ASSAM","NALBARI","PUB NALBARI",58,73,0,0,131
"ASSAM","NALBARI","TAMULPUR",293,225,0,1,519
"ASSAM","NALBARI","TIHU BARAMA",174,84,0,0,258
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",500,10,0,0,510
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",150,0,0,0,150
"ASSAM","SIBSAGAR","AMGURI",238,38,0,0,276
"ASSAM","SIBSAGAR","DEMOW",224,113,0,0,337
"ASSAM","SIBSAGAR","NAZIRA",30,3,0,0,33
"ASSAM","SIBSAGAR","SAPEKHATI",606,301,0,0,907
"ASSAM","SIBSAGAR","SIBSAGAR",64,53,0,0,117
"ASSAM","SIBSAGAR","SONARI",1011,332,0,0,1343
