-----
{
 "description": "The table refers to block wise irrigation potential utilised through surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.14.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation potential utilised through surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.14.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.14.csv"
}
-----
"State","District","Block","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"WEST BENGAL","SOUTH 24 PARGANAS","MATHURAPUR - II",38,710,0,0,748
"WEST BENGAL","SOUTH 24 PARGANAS","NAMKHANA",3,250,0,0,253
"WEST BENGAL","SOUTH 24 PARGANAS","PATHARPRATIMA",1,759,201,0,961
"WEST BENGAL","SOUTH 24 PARGANAS","SAGAR",725,244,85,2,1056
"WEST BENGAL","SOUTH 24 PARGANAS","SONARPUR",6,87,0,0,93
"WEST BENGAL","SOUTH 24 PARGANAS","THAKURPUKUR-MAHESTAL",82,429,1,56,568
"WEST BENGAL","UTTAR DINAJPUR","CHOPRA",18,93,0,25,136
"WEST BENGAL","UTTAR DINAJPUR","GOALPOKHAR - II",55,50,0,58,163
"WEST BENGAL","UTTAR DINAJPUR","GOALPOKHER - I",135,153,0,84,372
"WEST BENGAL","UTTAR DINAJPUR","HEMTABAD",68,93,99,39,299
"WEST BENGAL","UTTAR DINAJPUR","ISLAMPUR",21,48,2,36,107
"WEST BENGAL","UTTAR DINAJPUR","ITAHAR",280,294,241,82,897
"WEST BENGAL","UTTAR DINAJPUR","KALIYAGANJ",118,237,0,77,432
"WEST BENGAL","UTTAR DINAJPUR","KARANDIGHI",121,116,0,79,316
"WEST BENGAL","UTTAR DINAJPUR","RAIGANJ",140,157,147,79,523
"ANDAMAN & NICOBARS","ANDAMAN","DIGLIPUR",186,107,85,0,378
"ANDAMAN & NICOBARS","ANDAMAN","FERRARGUNJ",99,65,39,0,203
"ANDAMAN & NICOBARS","ANDAMAN","HUTBAY",16,27,18,0,61
"ANDAMAN & NICOBARS","ANDAMAN","MAYABUNDER",49,26,20,0,95
"ANDAMAN & NICOBARS","ANDAMAN","PORT BLAIR",88,77,57,1,223
"ANDAMAN & NICOBARS","ANDAMAN","RANGAT",38,32,25,0,95
"ANDAMAN & NICOBARS","NICOBARS","CAMPBELLBAY",1,22,11,10,44
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","AMBOLI",54,27,0,2,83
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","DADRA",36,8,0,0,44
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","DAPADA",63,26,32,6,127
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","DUDHANI",44,51,0,0,95
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","KHANVEL",41,24,0,0,65
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","KILVANI",12,8,0,0,20
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","MANDONI",23,12,0,1,36
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","NAROLI",3,1,4,0,8
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","SILVASSA-I",12,6,2,1,21
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI","SILVASSA-II",11,4,3,0,18
"PONDICHERRY","KARAIKAL","T R PATTINAM",0,6,0,0,6
"PONDICHERRY","YANAM","YANAM",0,0,0,324,324
