-----
{
 "description": "The table shows the Financial Performance of the Department of Posts. It gives item-wise details for the years 1980-81, 1990-91, 2001-02, 2008-09, 2009-10, 2010-11, 2011-12 and 2012-13. It is observed that the Net receipts have been negative (deficit) throughout this time period.\r", 
 "file_name": "tab218.xls", 
 "title": "Download XLS for Financial Performance of the Department of Posts(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab218.xls"
}
-----
"","","","","","","","",""
"2.18  FINANCIAL PERFORMANCE OF THE DEPARTMENT OF POSTS","","","","","","","",""
"","","","","","","(` crore)","",""
"","1980-81","1990-91","2000-01","2008-09","2009-10","2010-11","2011-12","2012-13"
"","","","","","","","","(BE)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"1. Gross receipts",278.0,840.0,3298.0,5862.0,6266.7,6962.0,7899.0,7793.0
"2. Net working expenses",346.0,1033.0,4848.0,9455.0,12908.0,13308.0,13705.0,13715.0
"3. Net receipts (1-2)",-68.0,-193.0,-1550.0,-3593.0,-6641.3,-6346.0,-5806.0,-5921.0
"4. Dividend to general revenues",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5. Surplus(+)/deficit (-) (3-4)",-72.0,-193.0,-1550.0,-3593.0,-6641.3,-6346.0,-5806.0,-5921.0
"Source : Department of Posts, Ministry of Communications.","","","",""," BE: Budget Estimates. ","","",""
