-----
{
 "description": "This table shows the Growth of Civil Aviation in India since 1960-61. It gives details regarding various operational parameters of Civil Aviation such as Total fleet strength, Revenues, Number of passengers carried, passengers handled and cargo handled. ", 
 "file_name": "tab128.xls", 
 "title": "Download XLS for Growth of Civil Aviation(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab128.xls"
}
-----
"1.28 GROWTH OF CIVIL AVIATION","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","Unit","1960-61","1970-71","1980-81","1990-91","1999-00","2004-05","2005-06","2007-08","2008-09","2009-10","2010-11","2011-12"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,"8","9",10.0,11.0,12.0,13.0,14.0
"1.Total fleet strength","","","","","","","","","","","","",""
"(i ) Air India","",13.0,10.0,17.0,24.0,26.0,36.0,34.0,"","","","",""
"(ii) Indian Airlines","",88.0,73.0,49.0,56.0,53.0,61.0,64.0,"","","","",""
"(iii) National Aviation Company of ","","","","","","","","",122.0,108.0,113.0,98.0,91.0
"      India Limited","    ","","","","","","","","","","","",""
"2.Revenue tonne-Kilometers","(Rs.crore)","","","","","","","","","","","",""
"(i ) Air India","",7.56,27.52,98.01,138.1,145.65,221.8,236.4,"","","","",""
"(ii) Indian Airlines","",10.0,20.0,40.03,69.92,74.03,101.73,114.09,"","","","",""
"(iii) National Aviation Company of ","","","","","","","","",372.9,328.4,353.3,367.7,360.3
"      India Limited","","","","","","","","","","","","",""
"3.Number of passengers carried","(Lakh)","","","","","","","","","","","",""
"(i ) Air India","",1.25,4.87,14.18,21.61,33.5,44.4,44.4,"","","","",""
"(ii) Indian Airlines","",7.9,21.3,54.29,78.66,59.3,71.32,78.61,"","","","",""
"(iii) National Aviation Company of ","","","","","","","","",133.2,117.8,117.5,127.8,134.3
"      India Limited","","","","","","","","","","","","",""
"4.Passengers handled at ","(Lakh)","","","","","","","","","","","",""
"   AAI Airports","","N.A.","N.A.",107.38,177.23,390.35,592.84,733.42,637.05,442.54,508.71,596.43,684.0
"   Joint Venture Int'l Airports","","","","","","","","",531.81,646.16,728.84,837.87,939.0
"Total at Indian Airports","","","","","","","","",1168.86,1088.7,1237.55,1434.3,1623.1
"5.Cargo handled at AAI Airports","(Thousand tonnes)","","","","","","","","","","","",""
"   AAI Airports","","N.A","N.A.",178.7,377.33,797.41,1278.47,1397.3,723.46,561.42,592.95,726.52,703.43
"   Joint Venture Int'l Airports","","","","","","","","",991.52,1140.57,1366.76,1621.92,1576.56
"Total at Indian Airports","","","","","","","","",1714.98,1701.99,1959.71,2348.44,2279.99
"Source: Ministry of Civil Aviation","","","","","","","","","","","","",""
"na: Not Available","","","","","","","","","","","","",""
