-----
{
 "description": "Annual and seasonal minimum (night) temperatures in 0C averaged over the country as a whole for the period 1901-2012. This time series is based on the surface air temperature (1.2 m above sea level) data from more than 350 stations spread over the country. The time series shows a warming over India ...", 
 "file_name": "India_Min_Temperatures_1901-2012_1.xls", 
 "title": "Download XLS for Annual And Seasonal Minimum Temperature Of India ", 
 "url": "http://data.gov.in/sites/default/files/India_Min_Temperatures_1901-2012_1.xls"
}
-----
"ANNUAL AND SEASONAL MINIMUM TEMPERATURE OF INDIA ","","","","",""
"YEAR","ANNUAL","JAN-FEB","MAR-MAY","JUN-SEP","OCT-DEC"
1901.0,19.5084,14.1602,20.6727,23.3764,16.5895
1902.0,19.4382,13.6373,21.1247,23.2761,16.5019
1903.0,19.2505,13.8707,20.2516,23.4025,16.2938
1904.0,19.2226,13.7136,20.7231,22.9555,16.4415
1905.0,19.0319,12.8127,19.9715,23.4267,16.3899
1906.0,19.5088,13.714,20.7581,23.4491,16.8824
1907.0,19.078,14.4557,19.8753,22.985,16.1354
1908.0,19.087,13.6739,20.6077,23.1939,15.702
1909.0,19.1333,13.3289,20.4047,22.9716,16.6136
1910.0,19.0121,13.6769,20.3467,23.1496,15.7169
1911.0,19.3101,13.8041,20.4075,23.2587,16.6559
1912.0,19.2714,14.5563,20.5396,23.1172,16.019
1913.0,19.0864,13.9125,20.2365,22.9561,16.2433
1914.0,19.4099,14.0323,20.3358,23.4661,16.6608
1915.0,19.643,13.7279,20.9975,23.7247,16.7894
1916.0,19.3392,13.6363,20.956,23.3121,16.2272
1917.0,19.0214,13.598,19.7162,23.2875,16.2541
1918.0,19.0152,13.2386,20.1531,23.0617,16.3266
1919.0,19.3692,14.2172,20.527,23.3345,16.3588
1920.0,19.0725,13.7934,20.152,23.0151,16.2586
1921.0,19.5435,13.851,21.1602,23.1815,16.3408
1922.0,19.3158,14.3076,20.5568,23.2665,16.0302
1923.0,19.3649,13.8788,20.8297,23.2442,16.3741
1924.0,19.5165,14.1058,20.864,23.4214,16.5574
1925.0,19.2371,13.0498,20.9057,23.1819,16.4337
1926.0,19.3715,14.629,20.3638,23.6896,15.9212
1927.0,19.3017,13.8069,20.2992,23.1776,16.7993
1928.0,19.6121,14.5732,20.8629,23.2312,16.8951
1929.0,19.3955,13.715,20.9968,23.1676,16.5517
1930.0,19.213,13.2727,20.6969,23.1027,16.5083
1931.0,19.7288,14.5222,21.0109,23.4428,16.9656
1932.0,19.3194,13.7225,20.651,23.3629,16.3277
