-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.6.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.6.csv"
}
-----
"State","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Sinking","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDHRA PRADESH",23417,608,49,57,16,46,776,24193
"ARUNACHAL PRADESH",7,12,2,0,0,0,14,21
"ASSAM",1405,166,78,27,2,30,303,1708
"BIHAR",2307,317,63,63,68,69,580,2887
"CHHATTISGARH",19646,132,36,41,8,5563,5780,25426
"GOA",978,4,1,1,0,0,6,984
"GUJARAT",1940,339,22,807,23,60,1251,3191
"HARYANA",619,0,2,25,0,0,27,646
"HIMACHAL PRADESH",707,7,4,1,0,5,17,724
"JAMMU & KASHMIR",483,18,3,0,0,1,22,505
"JHARKHAND",10517,1111,55,132,38,144,1480,11997
"KARNATAKA",57940,1795,138,105,246,145,2429,60369
"KERALA",12990,197,186,59,15,46,503,13493
"MADHYA PRADESH",184540,10194,332,477,172,427,11602,196142
"MAHARASHTRA",95839,1318,203,516,49,1977,4063,99902
"MANIPUR",44,0,0,0,0,0,0,44
"MEGHALAYA",8,2,0,0,0,1,3,11
"MIZORAM",215,1,0,0,0,0,1,216
"NAGALAN D",15,12,0,1,5,5,23,38
"ORISSA",26116,4767,328,330,567,736,6728,32844
"PUNJAB",1376,61,1,3,0,0,65,1441
"RAJASTHAN",2067,129,10,16,0,2,157,2224
"TAMIL NADU",8308,1730,37,0,5,6,1778,10086
"TRIPURA",1117,29,11,4,5,1,50,1167
"UTTAR PRADESH",5048,484,57,710,10,235,1496,6544
"UTTARANCHAL",611,67,8,2,3,17,97,708
"WEST BENGAL",104001,2839,114,233,20,388,3594,107595
"ANDAMAN & NICOBARS",1255,118,246,72,5,0,441,1696
"DADRA & NAGAR HAVELI",71,0,0,0,0,0,0,71
"DELHI",38,0,0,0,0,0,0,38
"PONDICHERRY",7,0,0,0,0,0,0,7
"ALL INDIA",563632,26457,1986,3682,1257,9904,43286,606918
