-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "AssamGSDPcurrent_1.csv", 
 "title": "Download CSV for Assam Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AssamGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","526779","651683","703010","713394","806737","922796","1039256","999071","1042251","1081584","1122735","1193007","1268802"
"Foresty and Logging","29882","30612","30617","33297","35907","38561","46100","45410","53054","54046","54923","57880","59056"
"Fishing","39645","40591","50877","50792","51027","51799","56115","57555","59401","67877","81855","84494","96113"
"Mining and Quarrying","113442","113231","113832","109817","144080","147304","224633","221981","245127","325500","327078","334208","376721"
"Sub total of primary","709748","836117","898336","907300","1037751","1160460","1366104","1324017","1399833","1529007","1586591","1669589","1800692"
"Manufacturing","132442","159688","173271","188856","228830","236368","264570","288490","301980","340220","409877","465483","501292"
"Registered","100382","124450","133708","146444","173925","172176","201773","226078","225350","263839","328784","376388","409592"
"Unregistered","32060","35238","39563","42412","54905","64192","62797","62412","76630","76381","81093","89095","91700"
"Construction","69961","85744","87156","107814","113818","142452","111902","170193","144782","157232","176839","223889","225653"
"Electricity, Gas and water Supply","23731","25765","33609","37049","35811","38218","41273","41333","36000","64184","74342","87636","107245"
"Sub total of secondary","226134","271197","294036","333719","378459","417038","417745","500016","482762","561636","661058","777008","834190"
"Transport Storage and Communication","59783","66553","75711","82068","76658","94235","104215","108137","137235","150523","167641","192538","207588"
"Railways","11812","12830","15503","16624","18144","25433","27508","20063","29213","37031","37802","42829","47317"
"Transport by other means","38291","42551","47957","51870","43035","53501","59762","64056","68144","72647","81340","86544","92520"
"Storage","363","440","415","445","1314","-484","-321","-243","-316","-462","-555","-585","-709"
"Communication","9317","10732","11836","13129","14165","15785","17266","24261","40194","41307","49054","63750","68460"
"Trade, hotels and restaurants","244111","282091","318868","371811","306308","328810","330239","415135","572053","597682","616595","649788","725019"
"Banking and Insurance","43067","47315","59050","80478","91989","96933","117184","123933","137635","163154","172779","191936","210367"
"Real estate, ownership of dwelling and business","48806","50392","53622","57077","61684","64885","92370","108033","123884","134653","141834","146140","155751"
"Pubic Administration","85170","98080","109592","117893","155357","176483","214390","231223","223496","240634","265373","295600","317836"
"Other Services","97498","103355","131922","151334","172396","216947","284078","337064","357820","383017","413074","430385","459890"
"Sub total of tertiary","578435","647786","748765","860661","864392","978293","1142476","1323525","1552123","1669663","1777296","1906387","2076451"
"State domestic product","1514317","1755100","1941137","2101680","2280602","2555791","2926325","3147558","3434718","3760305","4024946","4352983","4711333"

"Figures are in Rs. Lakh"
