-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "KeralaGSDPcurrent.csv", 
 "title": "Download CSV for Kerala Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KeralaGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","652558","802544","989987","1105224","1111503","1162233","1270793","1116493","1074685","1239047","1272036","1301065"
"Foresty and Logging","74646","94950","95636","102011","98529","104358","122311","196373","119884","129434","143073","159471"
"Fishing","71188","74805","93449","113754","116297","126496","153325","155234","158951","147626","155448","162605"
"Mining and Quarrying","6763","8086","9016","8647","10143","13025","14679","19994","19373","15714","17453","18779"
"Sub total of primary","805155","980385","1188088","1329636","1336472","1406112","1561108","1488094","1372893","1531821","1588010","1641920"
"Manufacturing","304906","393498","497372","532231","562910","645220","701443","699137","666504","731089","773896","804351"
"Registered","160697","199506","259683","271161","298265","365455","408854","410165","394216","432552","467640","492092"
"Unregistered","144209","193992","237689","261070","264645","279765","292589","288972","272288","298537","306256","312259"
"Construction","206618","241845","297225","359539","452554","556848","514915","680073","729710","871529","1001080","1133509"
"Electricity, Gas and water Supply","31192","36171","40513","53587","65056","82741","104370","167076","189068","222633","287317","371711"
"Sub total of secondary","542716","671514","835110","945357","1080520","1284809","1320728","1546286","1585282","1825251","2062293","2309571"
"Transport Storage and Communication","197829","246899","305388","348477","432239","487480","559047","652484","728593","815639","930516","1056478"
"Railways","9746","10949","12328","13570","15225","19581","21571","18934","22528","28032","28615","31101"
"Transport by other means","147996","187379","230802","268153","339826","372295","434417","503899","536959","595435","661734","737966"
"Storage","568","633","834","900","938","1151","1104","1289","1510","1108","1153","1202"
"Communication","39519","47938","61424","65854","76250","94453","101955","128362","167596","191064","239014","286209"
"Trade, hotels and restaurants","459231","579432","721414","840334","1010716","1187409","1317402","1559009","1566089","1671032","1922414","2184208"
"Banking and Insurance","114136","139085","178521","239207","226967","277067","306734","344325","400052","497122","548051","628786"
"Real estate, ownership of dwelling and business","178090","192842","219618","248062","278011","306129","351569","426012","512267","590428","698485","883401"
"Pubic Administration","134567","140789","162304","182682","219761","252750","340249","352779","351748","409971","422274","470888"
"Other Services","200878","236717","265789","312235","363761","418612","496543","610235","723306","773313","774053","877856"
"Sub total of tertiary","1284731","1535764","1853034","2170997","2531455","2929447","3371544","3944844","4282055","4757505","5295793","6101617"
"State domestic product","2632602","3187663","3876232","4445990","4948447","5620368","6253380","6979224","7240230","8114577","8946096","10053108"

"Figures are in Rs. Lakh"
