-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.16.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.16.csv"
}
-----
"State","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH",3276,633727,637003,8328,1252441,1260769,6763,1003625,1010388
"ASSAM",790,73602,74392,2295,176702,178997,2142,150020,152162
"BIHAR",584,619552,620136,2625,2916634,2919259,2103,2285143,2287246
"CHHATTISGARH",28661,48201,76862,48642,272947,321589,18750,148827,167577
"GOA",15,14,29,32,43,75,28,31,59
"GUJARAT",813,44846,45659,5697,333331,339028,4175,224849,229024
"HARYANA",3421,364082,367503,24670,2076811,2101481,23779,1990117,2013896
"HIMACHAL PRADESH",76,2509,2585,2386,6759,9145,1674,6238,7912
"JAMMU & KASHMIR",27,1311,1338,72,5465,5537,72,5356,5428
"JHARKHAND",17,1061,1078,82,3406,3488,45,2513,2558
"KARNATAKA",2888,508255,511143,5668,967677,973345,5009,828161,833170
"KERALA",98,4435,4533,534,5592,6126,481,5051,5532
"MADHYA PRADESH",814,235950,236764,7258,988192,995450,5723,700152,705875
"MAHARASHTRA",893,53826,54719,2287,141460,143747,1801,112812,114613
"MANIPUR",3,0,3,65,0,65,15,0,15
"MEGHALAYA",6,46,52,42,455,497,41,427,468
"ORISSA",578,34820,35398,9566,112262,121828,5329,60981,66310
"PUNJAB",4151,1059223,1063374,33606,6085477,6119083,31032,5588594,5619626
"RAJASTHAN",204,108736,108940,977,632664,633641,870,577245,578115
"TAMIL NADU",292,138760,139052,593,285582,286175,530,227921,228451
"TRIPURA",86,1004,1090,807,5554,6361,646,4749,5395
"UTTAR PRADESH",367,3481812,3482179,4362,15331228,15335590,3719,12167403,12171122
"UTTARANCHAL",317,51099,51416,2144,236818,238962,2054,182558,184612
"WEST BENGAL",19098,557848,576946,106425,1800803,1907228,68283,1167875,1236158
"CHANDIGARH",0,132,132,0,515,515,0,508,508
"DELHI",54,10248,10302,353,37483,37836,313,36555,36868
"PONDICHERRY",59,4273,4332,414,9539,9953,414,9484,9898
"ALL INDIA",67588,8039372,8106960,269930,33685840,33955770,185791,27487195,27672986
