-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "PunjabNSDPcurrent.csv", 
 "title": "Download CSV for Punjab Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/PunjabNSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","2836785","3104142","3559366","4312803","4951428","5402765","5965648","6572554","7220578"
"Foresty and Logging","117790","115761","143877","181234","269553","401267","424647","559756","721134"
"Fishing","24253","29175","31860","29634","32615","41424","43476","48556","52596"
"Ag and Allied","2978828","3249078","3735103","4523671","5253596","5845456","6433771","7180866","7994308"
"Mining and Quarrying","1807","1895","2014","2324","4296","2311","2666","2923","3224"
"Sub total of primary","2980635","3250973","3737117","4525995","5257892","5847767","6436437","7183789","7997532"
"Manufacturing","1207208","1345666","1821651","2379393","2472108","2912238","3368956","3858751","4442356"
"Registered","506688","549897","865287","1221670","1263248","1594132","1850078","2140822","2509686"
"Unregistered","700520","795769","956364","1157723","1208860","1318106","1518878","1717929","1932670"
"Construction","604167","736678","942688","1102355","1259002","1447019","1579670","1796401","2001754"
"Electricity, Gas and water Supply","167486","214259","127110","165788","191211","230414","263692","271518","294787"
"Sub total of secondary","1978861","2296603","2891449","3647536","3922321","4589671","5212318","5926670","6738897"
"Industry","1980668","2298498","2893463","3649860","3926617","4591982","5214984","5929593","6742121"
"Transport Storage and Communication","506103","552976","634121","730787","796706","944408","995637","1133104","1238676"
"Railways","66712","79936","97882","118671","110099","126944","104679","119114","123700"
"Transport by other means","270640","305396","356084","413267","463800","554542","617745","706453","783276"
"Storage","36191","31324","36005","38182","38243","45390","54770","62422","71094"
"Communication","132560","136320","144150","160667","184564","217532","218443","245115","260606"
"Trade, hotels and restaurants","1136438","1256548","1489923","1734129","2020744","2178400","2529115","2856195","3237211"
"Banking and Insurance","430621","467086","573532","644058","764778","880375","1131013","1335114","1606569"
"Real estate, ownership of dwelling and business","400248","433322","477433","568407","657372","710510","893979","1040876","1212725"
"Pubic Administration","381889","420497","467816","521908","684053","761610","912127","1054454","1203767"
"Other Services","796018","912191","1029882","1197826","1378857","1705914","2165888","2710813","3385787"
"Sub total of tertiary","3651317","4042620","4672707","5397115","6302510","7181217","8627759","10130556","11884735"
"State domestic product","8610813","9590196","11301273","13570646","15482723","17618655","20276514","23241015","26621164"

"Figures are in Rs. Lakh"
