-----
{
 "description": "The table refers to block wise surface lift schemes in the command of major/minor projects and average pumping hours. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.11_1.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.11_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise surface lift schemes in the command of major/minor projects and average pumping hours. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.11_1.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.11_1.csv"
}
-----
State,District,Block,Location of Schemes - On the Maj/Med,Location of schemes - Outside command,Total,Avg pumping hours (0-4),Avg pumping hours (4-8),Avg pumping hours (8-12),Avg pumping hours (12-16),Avg pumping hours (16-20),Avg pumping hours (20-24),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,3,68,71,71,0,0,0,0,0,71
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,25,25,25,0,0,0,0,0,25
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,0,17,17,11,1,5,0,0,0,17
ANDHRA PRADESH,ADILABAD,BELA,0,31,31,4,21,6,0,0,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,0,3,3,0,2,0,0,1,0,3
ANDHRA PRADESH,ADILABAD,BOATH,0,81,81,53,28,0,0,0,0,81
ANDHRA PRADESH,ADILABAD,CHENNUR,1,6,7,3,4,0,0,0,0,7
ANDHRA PRADESH,ADILABAD,DANDEPALLE,113,152,265,40,225,0,0,0,0,265
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,1,1,0,0,0,1,0,0,1
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,3,3,0,2,1,0,0,0,3
ANDHRA PRADESH,ADILABAD,JAINAD,4,125,129,27,87,15,0,0,0,129
ANDHRA PRADESH,ADILABAD,JAINOOR,0,4,4,3,1,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,17,17,9,8,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,4,4,4,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,KASIPET,0,175,175,152,23,0,0,0,0,175
ANDHRA PRADESH,ADILABAD,KERAMERI,0,3,3,3,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,KHANPUR,0,70,70,38,10,22,0,0,0,70
ANDHRA PRADESH,ADILABAD,KUNTALA,0,65,65,12,40,9,3,1,0,65
ANDHRA PRADESH,ADILABAD,LAHESRA,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,LUXETTIPET,23,150,173,74,63,36,0,0,0,173
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,25,25,17,8,0,0,0,0,25
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,2,2,0,0,0,1,1,0,2
ANDHRA PRADESH,ADILABAD,NARNOOR,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,116,116,31,71,14,0,0,0,116
ANDHRA PRADESH,ADILABAD,NIRMAL,0,167,167,17,150,0,0,0,0,167
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,61,61,0,57,4,0,0,0,61
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,133,133,86,47,0,0,0,0,133
ANDHRA PRADESH,ADILABAD,TAMSI,0,96,96,47,43,6,0,0,0,96
ANDHRA PRADESH,ADILABAD,TIRYANI,0,54,54,40,13,1,0,0,0,54
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,69,69,55,14,0,0,0,0,69
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,13,13,0,2,10,1,0,0,13
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,11,12,23,6,16,1,0,0,0,23
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,1,1,0,0,1,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,2,2,0,1,0,1,0,0,2
ANDHRA PRADESH,CUDDAPAH,DUVVUR,4,0,4,0,4,0,0,0,0,4
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,9,24,33,1,2,8,11,10,1,33
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,14,11,25,2,11,12,0,0,0,25
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,2,2,1,1,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,VALLUR,3,2,5,0,0,5,0,0,0,5
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,1,0,1,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,13,0,13,0,3,10,0,0,0,13
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,2,5,7,0,1,6,0,0,0,7
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,1,1,0,0,0,0,1,0,1
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,2,2,0,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,16,0,16,0,11,5,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,KARAPA,11,0,11,0,0,0,0,9,2,11
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,1,1,0,0,0,1,0,0,1
