-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "OrissaNSDPcurrent.csv", 
 "title": "Download CSV for Odisha Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/OrissaNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","617480","724191","964917","831198","1099348","1159563","1111388","968746","1124147","1132235","1518754","1508472","1573802"
"Foresty and Logging","62717","68171","69853","81050","90016","88747","106945","113801","114176","102516","140562","129625","140825"
"Fishing","36056","43648","44168","57258","61618","59369","59599","75882","81905","87172","89144","90024","96100"
"Mining and Quarrying","70048","80818","101241","95640","133251","148951","155958","182909","194231","247177","291201","368075","381278"
"Sub total of primary","786301","916828","1180179","1065146","1384233","1456630","1433890","1341338","1514459","1569100","2039661","2096196","2192005"
"Manufacturing","116890","158583","195064","136490","139274","231289","278393","215228","158486","177032","363575","422994","433026"
"Registered","83294","115261","149746","86833","78477","172944","221465","168261","120237","142012","310114","370110","381294"
"Unregistered","33596","43322","45318","49657","60797","58345","56928","46967","38249","35020","53461","52884","51732"
"Construction","107096","121175","140015","146500","167650","183412","268886","260283","276827","246470","253115","306102","313794"
"Electricity, Gas and water Supply","36593","66058","60938","49689","76633","87358","127331","116973","135976","79961","178053","212640","228363"
"Sub total of secondary","260579","345816","396017","332679","383557","502059","674610","592484","571289","503463","794743","941736","975183"
"Transport Storage and Communication","86044","108720","126056","123604","154378","152565","170428","222812","265496","299886","343678","399426","454613"
"Railways","35846","49039","59930","52008","57494","37173","47640","61825","79047","94119","94887","104517","115112"
"Transport by other means","41060","47244","53618","56173","77419","92707","99496","122597","146655","161839","194706","230958","263917"
"Storage","1063","1375","1621","2052","3143","2578","2858","3566","4280","4101","4679","5163","5697"
"Communication","8075","11062","10887","13371","16322","20107","20434","34824","35514","39827","49406","58788","69887"
"Trade, hotels and restaurants","163779","193993","241892","246885","308701","319904","320054","350466","359682","407065","490361","533970","581204"
"Banking and Insurance","46380","55987","69978","90274","100836","99165","126292","142144","165815","200134","217777","254198","296709"
"Real estate, ownership of dwelling and business","95936","104992","110325","122483","137087","148539","160747","176477","201416","225626","240896","250438","267614"
"Pubic Administration","79869","88636","106328","119006","135655","185234","213342","220115","231594","229958","257011","278799","290639"
"Other Services","99600","131253","151384","166808","195509","256960","330519","331776","342546","372548","413555","469196","495339"
"Sub total of tertiary","571608","683581","805963","869060","1032166","1162367","1321382","1443790","1566549","1735217","1963278","2186027","2386118"
"State domestic product","1618488","1946225","2382159","2266885","2799956","3121056","3429882","3377612","3652297","3807780","4797682","5223959","5553306"

"Figures are in Rs. Lakh"
