-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by type", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Shallow tubewell,Point,Borewell,Others,Total
ASSAM,NAGOAN,BARHAMPUR,55,0,0,0,55
ASSAM,NAGOAN,BATADRAWA,881,0,0,0,881
ASSAM,NAGOAN,BINNAKANDI,113,0,0,0,113
ASSAM,NAGOAN,DALONG GHAT,160,0,0,0,160
ASSAM,NAGOAN,DHALPUKHURI,745,0,1,0,746
ASSAM,NAGOAN,JOGIJAN,433,0,0,0,433
ASSAM,NAGOAN,JURIA,1277,0,0,0,1277
ASSAM,NAGOAN,KALIABOR,192,0,0,0,192
ASSAM,NAGOAN,KATHITOLI,596,1,0,0,597
ASSAM,NAGOAN,KHAGARIJAN,240,0,0,0,240
ASSAM,NAGOAN,LAO-KHOWA,406,1,0,18,425
ASSAM,NAGOAN,LIMDING DEV,1,0,0,0,1
ASSAM,NAGOAN,PACHIM KALIABOR,25,0,0,0,25
ASSAM,NAGOAN,PAKHIMORIA,78,0,0,0,78
ASSAM,NAGOAN,RAHA,128,0,0,0,128
ASSAM,NAGOAN,RUPAHI,387,0,0,0,387
ASSAM,NAGOAN,UDALI,15,3,0,0,18
ASSAM,NALBARI,BARBHAG,159,0,0,0,159
ASSAM,NALBARI,BARIGOG-BANBHAG,151,0,0,0,151
ASSAM,NALBARI,BARKHETRI,1610,26,7,0,1643
ASSAM,NALBARI,BASKA,99,4,0,0,103
ASSAM,NALBARI,DHAMDHAMA,32,0,0,0,32
ASSAM,NALBARI,MADHUPUR,74,0,0,0,74
ASSAM,NALBARI,NAGRIJULI,365,0,0,0,365
ASSAM,NALBARI,PACHIM NALBARI,345,0,0,0,345
ASSAM,NALBARI,PUB-NALBARI,163,17,0,0,180
ASSAM,NALBARI,TAMULPUR,82,0,1,0,83
ASSAM,NALBARI,TIHU,138,0,0,0,138
ASSAM,NALBARI,TIHU BARAMA,148,15,0,0,163
ASSAM,SIBSAGAR,DEMOW,200,418,1,0,619
ASSAM,SIBSAGAR,GOURISAGAR,176,175,7,0,358
ASSAM,SIBSAGAR,LAKWA,102,0,0,0,102
ASSAM,SIBSAGAR,NAZIRA,52,1,0,0,53
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,69,0,0,0,69
ASSAM,SIBSAGAR,SEPEKHATI,233,0,0,0,233
ASSAM,SIBSAGAR,SIBSAGAR,403,58,0,0,461
ASSAM,SIBSAGAR,SONARI,43,147,1,0,191
ASSAM,SONITPUR,BAGHMARA,57,16,67,1,141
ASSAM,SONITPUR,BALIPARA,324,157,12,1,494
ASSAM,SONITPUR,BEHELI,54,0,4,0,58
ASSAM,SONITPUR,BIHAGURI,177,0,0,0,177
ASSAM,SONITPUR,BISHWANATH,35,0,0,0,35
ASSAM,SONITPUR,BORCHALA,537,0,100,0,637
ASSAM,SONITPUR,CHAIDUAR,8,1,6,0,15
ASSAM,SONITPUR,CHATIA,45,22,0,0,67
ASSAM,SONITPUR,DHEKIAJULI,234,25,4,5,268
ASSAM,SONITPUR,GABHARU,17,461,1,0,479
ASSAM,SONITPUR,NADUAR,231,6,4,0,241
ASSAM,SONITPUR,PUB-CHAIDUAR,4,54,0,0,58
ASSAM,SONITPUR,RANGAPARA,24,0,0,0,24
ASSAM,SONITPUR,SOKAMATHA,26,0,0,0,26
ASSAM,TINSUKIA,GUIJAN,218,0,5,0,223
ASSAM,TINSUKIA,HAPJAN,420,0,1,0,421
ASSAM,TINSUKIA,ITAKHULI,232,1,1,1,235
ASSAM,TINSUKIA,KAKAPATHAR,703,1,0,2,706
ASSAM,TINSUKIA,MARGHERITA,219,61,2,10,292
ASSAM,TINSUKIA,SADIYA,88,1,1,3,93
ASSAM,TINSUKIA,SAIKHOWA,309,2,0,0,311
BIHAR,ARARIA,ARARIA,998,0,7,0,1005
BIHAR,ARARIA,BHARGAMA,3239,23,0,0,3262
BIHAR,ARARIA,FORBESGANJ,1658,0,0,0,1658
BIHAR,ARARIA,JOKIHAT,1735,14,49,0,1798
BIHAR,ARARIA,KURSAKANTA,1115,0,0,0,1115
BIHAR,ARARIA,NARPATGANJ,1470,0,0,0,1470
BIHAR,ARARIA,PALASI,977,176,340,0,1493
BIHAR,ARARIA,RANIGANJ,1285,0,0,0,1285
BIHAR,ARARIA,SIKTI,566,0,0,0,566
BIHAR,AURANGABAD,AURANGABAD,370,0,7,5,382
BIHAR,AURANGABAD,BARUN,852,6,48,23,929
BIHAR,AURANGABAD,DAUDNAGAR,540,3,0,0,543
BIHAR,AURANGABAD,DEO,70,5,0,0,75
BIHAR,AURANGABAD,GOH,1151,59,740,2,1952
BIHAR,AURANGABAD,HASPURA,1341,3,35,1,1380
BIHAR,AURANGABAD,KUTUMBA,344,141,40,0,525
BIHAR,AURANGABAD,MADANPUR,487,11,17,13,528
BIHAR,AURANGABAD,NABINAGAR,157,0,8,0,165
BIHAR,AURANGABAD,OBRA,649,1,28,61,739
BIHAR,AURANGABAD,RAFIGANAJ,1187,83,101,0,1371
BIHAR,BANKA,AMARPUR,244,854,4,0,1102
BIHAR,BANKA,BANKA,285,47,0,0,332
BIHAR,BANKA,BARAHAT,254,84,2,0,340
BIHAR,BANKA,BELHAR,468,1,32,0,501
BIHAR,BANKA,BOUNSI,81,0,0,10,91
BIHAR,BANKA,DHORAIYA,1098,22,0,8,1128
BIHAR,BANKA,PHULLIDUMER,98,2,1,0,101
BIHAR,BANKA,RAJOUN,839,72,1,0,912
BIHAR,BANKA,SAMBHUGANJ,919,82,8,0,1009
BIHAR,BEGUSARAI,BACHHAWARA,1440,596,1,0,2037
BIHAR,BEGUSARAI,BAKHRI,759,1,0,0,760
BIHAR,BEGUSARAI,BALLIA,1088,1,0,0,1089
BIHAR,BEGUSARAI,BARAUNI,1154,1,263,2,1420
BIHAR,BEGUSARAI,BEGUSARAI,2524,0,22,0,2546
BIHAR,BEGUSARAI,BHAGWANPUR,1159,3,9,41,1212
BIHAR,BEGUSARAI,BIRPUR,964,0,0,2,966
BIHAR,BEGUSARAI,CH.BARIYARPUR,1504,0,1,0,1505
BIHAR,BEGUSARAI,CHHAURAHI,1282,2,1,2,1287
BIHAR,BEGUSARAI,DANDARI,769,0,0,0,769
BIHAR,BEGUSARAI,GADHPURA,855,1,1,1,858
BIHAR,BEGUSARAI,KHODAWANDPUR,832,0,18,0,850
BIHAR,BEGUSARAI,MANSOORCHAK,211,275,0,0,486
BIHAR,BEGUSARAI,MATIHANI,1455,12,18,0,1485
BIHAR,BEGUSARAI,NAWAKOTHI,1114,5,2,1,1122
BIHAR,BEGUSARAI,S.KAMAL,1698,1,29,2,1730
BIHAR,BEGUSARAI,SAMHO AKHA KURHA,74,178,0,1,253
BIHAR,BEGUSARAI,TEGHRA,804,0,1,0,805
BIHAR,BHAGALPUR,BIHPUR,1293,0,1,0,1294
BIHAR,BHAGALPUR,GOPALPUR,0,0,495,233,728
BIHAR,BHAGALPUR,GOURADIH,303,0,75,0,378
BIHAR,BHAGALPUR,ISMAILPUR,0,0,189,0,189
BIHAR,BHAGALPUR,JAGDISHPUR,50,14,0,0,64
BIHAR,BHAGALPUR,KAHALGAON,444,17,0,0,461
BIHAR,BHAGALPUR,KHARIK,901,0,0,0,901
BIHAR,BHAGALPUR,NARAYANPUR,411,0,5,2,418
BIHAR,BHAGALPUR,NATHNAGAR,830,0,5,0,835
BIHAR,BHAGALPUR,NAVGACHHIA,1053,9,40,1,1103
BIHAR,BHAGALPUR,PIRPAINTY,953,2,57,1,1013
BIHAR,BHAGALPUR,RANGRA CHOWK,407,0,4,1,412
BIHAR,BHAGALPUR,SABOUR,402,0,27,12,441
BIHAR,BHAGALPUR,SANHAULA,1041,38,11,0,1090
BIHAR,BHAGALPUR,SHAHKUND,1604,0,123,1,1728
BIHAR,BHAGALPUR,SULTANGANJ,849,1,0,0,850
BIHAR,BHOJPUR,AGIAON,919,15,0,0,934
BIHAR,BHOJPUR,ARA,1555,2,56,1,1614
BIHAR,BHOJPUR,BARHARA,659,3,20,0,682
BIHAR,BHOJPUR,BEHEA,1562,8,0,1,1571
BIHAR,BHOJPUR,CHARPOKHARI,760,0,10,0,770
BIHAR,BHOJPUR,GARHANI,675,0,1,0,676
BIHAR,BHOJPUR,JAGDISHPUR,3182,2,0,16,3200
BIHAR,BHOJPUR,KOILWAR,640,304,425,2,1371
BIHAR,BHOJPUR,PIRO,2192,10,93,2,2297
BIHAR,BHOJPUR,SAHAR,329,0,0,38,367
BIHAR,BHOJPUR,SANDESH,987,1,0,0,988
BIHAR,BHOJPUR,SHAHPUR,1194,4,44,1,1243
BIHAR,BHOJPUR,TARARI,1380,3,0,0,1383
BIHAR,BHOJPUR,UDWANTNAGAR,1157,53,0,0,1210
BIHAR,BUXAR,BRAHMPUR,1674,1,1,0,1676
BIHAR,BUXAR,BUXAR,1188,0,97,199,1484
BIHAR,BUXAR,CHAKKI,195,0,0,0,195
BIHAR,BUXAR,CHOUGAI,559,150,0,0,709
BIHAR,BUXAR,CHOUSA,817,7,177,0,1001
BIHAR,BUXAR,DUMRAON,970,113,90,8,1181
BIHAR,BUXAR,ITARHI,2036,109,5,0,2150
BIHAR,BUXAR,KESATH,364,0,0,0,364
BIHAR,BUXAR,NAWANAGAR,1069,11,55,39,1174
BIHAR,BUXAR,RAJPUR,2192,4,268,0,2464
BIHAR,BUXAR,SIMRI,1403,0,7,9,1419
BIHAR,DARBHANGA,ALINAGAR,331,1,21,0,353
BIHAR,DARBHANGA,BAHADURPUR,293,48,461,11,813
BIHAR,DARBHANGA,BAHERI,1747,2,0,3,1752
BIHAR,DARBHANGA,BENIPUR,773,0,0,0,773
BIHAR,DARBHANGA,BIRAUL,1160,2,106,1,1269
BIHAR,DARBHANGA,DARBHANGA,784,24,9,0,817
BIHAR,DARBHANGA,GAURA BAURAM,750,1,24,0,775
BIHAR,DARBHANGA,GHANSHYAMPUR,563,1,0,0,564
BIHAR,DARBHANGA,HANUMAN NAGAR,497,26,229,0,752
BIHAR,DARBHANGA,HAYAGHAT,301,0,177,0,478
BIHAR,DARBHANGA,JALE,666,1,65,3,735
BIHAR,DARBHANGA,KEOTI RUNWAY,660,195,10,0,865
BIHAR,DARBHANGA,KIRATPUR,144,0,36,42,222
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,168,1,164,19,352
BIHAR,DARBHANGA,KUSESHWAR ASTHAN (E),265,32,1,0,298
BIHAR,DARBHANGA,MANIGACHHI,514,0,1,5,520
BIHAR,DARBHANGA,SINGHWARA,712,174,0,0,886
BIHAR,DARBHANGA,TARDIH,345,0,0,0,345
BIHAR,EAST CHAMPARAN,ADAPUR,1427,0,0,1,1428
BIHAR,EAST CHAMPARAN,AREARAJ,925,7,5,2,939
BIHAR,EAST CHAMPARAN,BANJARIYA,995,1,2,1,999
BIHAR,EAST CHAMPARAN,BANKATWA,627,38,0,0,665
BIHAR,EAST CHAMPARAN,CHAKIYA,1893,1,0,1,1895
BIHAR,EAST CHAMPARAN,CHAURADANO,1315,0,0,2,1317
BIHAR,EAST CHAMPARAN,CHIRIYA,957,15,3,1,976
BIHAR,EAST CHAMPARAN,DHAKA,1246,3,1,2,1252
BIHAR,EAST CHAMPARAN,GHORASAHAN,989,2,0,0,991
BIHAR,EAST CHAMPARAN,HARSIDHI,2230,2,3,4,2239
BIHAR,EAST CHAMPARAN,KALYANPUR,2115,1,154,1,2271
BIHAR,EAST CHAMPARAN,KESARIA,998,0,0,0,998
BIHAR,EAST CHAMPARAN,KOTWA,641,1,0,0,642
BIHAR,EAST CHAMPARAN,MADHUBAN,1967,0,0,0,1967
BIHAR,EAST CHAMPARAN,MEHSI,2024,15,8,1,2048
BIHAR,EAST CHAMPARAN,MOTIHARI,1769,2,58,1,1830
BIHAR,EAST CHAMPARAN,PAHARPUR,1227,131,234,42,1634
BIHAR,EAST CHAMPARAN,PAKRIDYAL,1503,0,2,0,1505
BIHAR,EAST CHAMPARAN,PATAHI,1189,157,0,1,1347
BIHAR,EAST CHAMPARAN,PHENHARA,912,0,2,1,915
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,777,0,0,0,777
BIHAR,EAST CHAMPARAN,RAMGARHWA,733,7,3,1,744
BIHAR,EAST CHAMPARAN,RAXAUL,632,0,2,76,710
BIHAR,EAST CHAMPARAN,SANGRAMPUR,818,0,0,0,818
BIHAR,EAST CHAMPARAN,SUGAULI,1333,0,0,1,1334
BIHAR,EAST CHAMPARAN,TETARIA,1125,2,0,0,1127
BIHAR,EAST CHAMPARAN,TURKAULIA,1534,1,0,1,1536
BIHAR,GAYA,AMAS,141,0,0,43,184
BIHAR,GAYA,ATRI,409,0,117,120,646
BIHAR,GAYA,BANKE BAZAR,517,15,291,0,823
BIHAR,GAYA,BARACHATTY,353,0,101,0,454
BIHAR,GAYA,BATHANI,351,1,411,0,763
BIHAR,GAYA,BELAGANJ,2146,162,114,0,2422
BIHAR,GAYA,BODHGAYA,419,314,56,0,789
BIHAR,GAYA,DOBHI,274,12,48,26,360
BIHAR,GAYA,DUMARIYA,334,4,48,16,402
BIHAR,GAYA,FATEHPUR,483,26,156,40,705
BIHAR,GAYA,GAYA NAGAR,1188,111,216,1,1516
BIHAR,GAYA,GURARU,825,112,45,138,1120
BIHAR,GAYA,GURUA,1210,11,1,4,1226
BIHAR,GAYA,IMAMGANJ,900,30,34,6,970
BIHAR,GAYA,KHIZARSARAI,2042,168,27,4,2241
BIHAR,GAYA,KONCH,1699,359,5,0,2063
BIHAR,GAYA,MANPUR,915,0,52,1,968
BIHAR,GAYA,MOHANPUR,159,166,4,0,329
BIHAR,GAYA,PARAIYA,1247,2,104,5,1358
BIHAR,GAYA,SHERGHATTY,503,10,32,0,545
BIHAR,GAYA,TANKUPPA,940,0,13,0,953
BIHAR,GAYA,TEKARI,2260,0,209,0,2469
BIHAR,GAYA,WAZIRGANJ,1421,0,83,0,1504
BIHAR,GOPAALGANJ,BAIKUNTHPUR,1910,0,2,0,1912
BIHAR,GOPAALGANJ,BARAULI,1486,40,0,1,1527
BIHAR,GOPAALGANJ,BHOREY,2370,2,0,0,2372
BIHAR,GOPAALGANJ,BIJAIPUR,2164,0,0,0,2164
BIHAR,GOPAALGANJ,GOPALGANJ,917,1,1,0,919
BIHAR,GOPAALGANJ,HATHUA,2034,0,7,0,2041
BIHAR,GOPAALGANJ,KATEYA,1148,0,3,80,1231
BIHAR,GOPAALGANJ,KUCHAIKOTE,2566,46,5,0,2617
BIHAR,GOPAALGANJ,MANJHA,1496,0,1,2,1499
BIHAR,GOPAALGANJ,PANCHDEWRI,859,3,117,0,979
BIHAR,GOPAALGANJ,PHULWARIYA,1109,0,0,0,1109
BIHAR,GOPAALGANJ,SIDHWALIYA,534,1,0,0,535
BIHAR,GOPAALGANJ,THAWE,610,0,0,0,610
BIHAR,GOPAALGANJ,UCHKAGAON,1574,111,43,0,1728
BIHAR,JAMUI,ALIGANJ,138,56,0,0,194
BIHAR,JAMUI,BARHAT,20,0,0,0,20
BIHAR,JAMUI,CHAKAI,5,0,0,0,5
BIHAR,JAMUI,GHIDHOR,416,30,0,1,447
BIHAR,JAMUI,JAMUI,1172,0,143,0,1315
BIHAR,JAMUI,JHAJHA,101,40,78,2,221
BIHAR,JAMUI,KHAIRA,826,101,71,0,998
BIHAR,JAMUI,LAXMIPUR,27,0,0,0,27
BIHAR,JAMUI,SIKANDARA,516,0,9,0,525
BIHAR,JAMUI,SONO,177,1,20,20,218
BIHAR,JEHANABAD,ARWAL,964,15,0,7,986
BIHAR,JEHANABAD,GHOSHI,1603,0,0,0,1603
BIHAR,JEHANABAD,HULASGANJ,1065,0,0,0,1065
BIHAR,JEHANABAD,JEHANABAD,2115,0,0,0,2115
BIHAR,JEHANABAD,KAKO,2405,266,1,2,2674
BIHAR,JEHANABAD,KALER,623,1,1,0,625
BIHAR,JEHANABAD,KARPI,2346,147,6,13,2512
BIHAR,JEHANABAD,KURTHA,1706,0,0,0,1706
BIHAR,JEHANABAD,MAKHDUMPUR,1868,208,345,0,2421
BIHAR,JEHANABAD,MODANGANJ,1116,2,0,0,1118
BIHAR,JEHANABAD,RATNI,1827,2,11,95,1935
BIHAR,JEHANABAD,VANSHI,1040,2,0,0,1042
BIHAR,KAIMUR (BHABUA),BHABUA,1555,2,137,10,1704
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,65,3,136,86,290
BIHAR,KAIMUR (BHABUA),CHAINPUR,518,28,48,0,594
BIHAR,KAIMUR (BHABUA),CHAND,418,23,57,7,505
BIHAR,KAIMUR (BHABUA),DURGAWATI,1285,18,214,0,1517
BIHAR,KAIMUR (BHABUA),KUDRA,2389,2,554,0,2945
BIHAR,KAIMUR (BHABUA),MOHANIA,1457,106,380,1,1944
BIHAR,KAIMUR (BHABUA),NUAON,1290,22,106,0,1418
BIHAR,KAIMUR (BHABUA),RAMGARH,1022,31,100,1,1154
BIHAR,KAIMUR (BHABUA),RAMPUR,341,2,246,10,599
BIHAR,KATIHAR,AMDABAD,1051,0,21,0,1072
BIHAR,KATIHAR,AZAMNAGAR,5460,42,0,0,5502
BIHAR,KATIHAR,BALRAMPUR,2544,0,14,0,2558
BIHAR,KATIHAR,BARARI,2968,0,9,0,2977
BIHAR,KATIHAR,BARSOI,3302,15,0,7,3324
BIHAR,KATIHAR,DANDKHORA,1264,0,0,0,1264
BIHAR,KATIHAR,FALKA,1207,0,0,218,1425
BIHAR,KATIHAR,HASANGANJ,813,1,11,64,889
BIHAR,KATIHAR,KADWA,4571,0,1,123,4695
BIHAR,KATIHAR,KATIHAR,854,0,11,0,865
BIHAR,KATIHAR,KORHA,2504,9,0,290,2803
BIHAR,KATIHAR,KURSELA,514,0,0,0,514
BIHAR,KATIHAR,MANIHARI,1695,0,0,0,1695
BIHAR,KATIHAR,MANSAHI,833,0,0,0,833
BIHAR,KATIHAR,PRANPUR,1995,223,22,0,2240
BIHAR,KATIHAR,SAMELI,1492,4,0,0,1496
BIHAR,KHAGARIA,ALAULI,1974,7,1,1,1983
BIHAR,KHAGARIA,BELDAUR,2200,0,0,0,2200
BIHAR,KHAGARIA,CHAUTHAM,1699,2,0,1,1702
BIHAR,KHAGARIA,GOGRI,1914,4,26,3,1947
BIHAR,KHAGARIA,KHAGARIA,2625,24,23,21,2693
BIHAR,KHAGARIA,MANSI,700,0,0,0,700
BIHAR,KHAGARIA,PARBATTA,2847,3,2,4,2856
BIHAR,KISHANGANJ,BAHADURGANJ,1552,0,0,0,1552
BIHAR,KISHANGANJ,DIGHAL BANK,1454,0,0,0,1454
BIHAR,KISHANGANJ,KISHANGANJ,1002,0,6,0,1008
BIHAR,KISHANGANJ,KOCHADHAMAN,2718,0,0,0,2718
BIHAR,KISHANGANJ,POTHIA,1316,0,0,0,1316
BIHAR,KISHANGANJ,TERHAGACHH,697,0,23,0,720
BIHAR,KISHANGANJ,THAKURGANJ,1668,0,0,0,1668
BIHAR,LAKHISARAI,BARHIYA,880,0,0,0,880
BIHAR,LAKHISARAI,HALSI,1149,0,430,5,1584
BIHAR,LAKHISARAI,LAKHISARAI,2185,37,8,14,2244
BIHAR,LAKHISARAI,PIPARYA,450,0,0,0,450
BIHAR,LAKHISARAI,RAMGHAR CHOK,947,1,0,0,948
BIHAR,LAKHISARAI,SURYAGARAH,576,341,84,28,1029
BIHAR,MADHEPURA,ALAMNAGAR,1305,0,0,0,1305
BIHAR,MADHEPURA,BIHARIGANJ,919,0,0,0,919
BIHAR,MADHEPURA,CHAUSA,1838,0,0,0,1838
BIHAR,MADHEPURA,GAMHARIA,806,1,0,0,807
BIHAR,MADHEPURA,GAWALPARA,1238,1,0,1,1240
BIHAR,MADHEPURA,GHAILARH,718,0,0,0,718
BIHAR,MADHEPURA,KUMAR KHAND,2669,0,227,0,2896
BIHAR,MADHEPURA,MADHEPURA,859,238,9,0,1106
BIHAR,MADHEPURA,MURLIGANJ,1797,35,62,141,2035
BIHAR,MADHEPURA,PURAINI,742,0,10,65,817
BIHAR,MADHEPURA,SHANKARPUR,979,0,1,0,980
BIHAR,MADHEPURA,SINGHESHWAR,1293,0,0,0,1293
BIHAR,MADHEPURA,UDAKISHUNGANJ,1707,0,0,0,1707
BIHAR,MADHUBANI,ANDHARATHADHI,335,18,0,0,353
BIHAR,MADHUBANI,BABUBARHI,668,0,2,0,670
BIHAR,MADHUBANI,BASOPATTI,832,1,0,0,833
BIHAR,MADHUBANI,BENIPATTI,684,0,0,0,684
BIHAR,MADHUBANI,BISFI,1064,0,2,0,1066
BIHAR,MADHUBANI,GHOGHARDIHA,1203,0,0,1,1204
BIHAR,MADHUBANI,HARLAKHI,536,3,0,16,555
BIHAR,MADHUBANI,JAYNAGAR,496,6,0,2,504
BIHAR,MADHUBANI,JHANJHARPUR,626,0,0,0,626
BIHAR,MADHUBANI,KHAJAULI,939,258,144,267,1608
BIHAR,MADHUBANI,KHUTAUNA,438,2,1,1,442
BIHAR,MADHUBANI,LADANIA,1189,1,0,1,1191
BIHAR,MADHUBANI,LAKHANAUR,281,0,121,0,402
BIHAR,MADHUBANI,LAUKHI,852,1,0,0,853
BIHAR,MADHUBANI,MADHEPUR,442,1,5,24,472
BIHAR,MADHUBANI,MADHWAPUR,365,0,0,0,365
BIHAR,MADHUBANI,PANDAUL,1108,25,0,0,1133
BIHAR,MADHUBANI,PHULPRAS,947,1,29,1,978
BIHAR,MADHUBANI,RAJNAGAR,1224,2,0,202,1428
BIHAR,MADHUBANI,ROHIKA,338,0,2,0,340
BIHAR,MUNGER,ASARGANJ,364,9,0,0,373
BIHAR,MUNGER,BARIYARPUR,138,0,0,0,138
BIHAR,MUNGER,DHARAHARA,141,0,0,0,141
BIHAR,MUNGER,HAWALI KHAGARHPUR,496,1,0,0,497
BIHAR,MUNGER,JAMALPUR,183,0,0,0,183
BIHAR,MUNGER,SADAR MUNGER,224,0,0,17,241
BIHAR,MUNGER,SANGRAMPUR,543,10,0,1,554
BIHAR,MUNGER,TARAPUR,494,267,4,0,765
BIHAR,MUNGER,TATIA BAMBAR,480,0,0,0,480
BIHAR,MUZAFFARPUR,AURAI,1805,0,1,5,1811
BIHAR,MUZAFFARPUR,BANDRA,1067,189,1,1,1258
BIHAR,MUZAFFARPUR,BOCHAHAN,2200,0,1,1,2202
BIHAR,MUZAFFARPUR,GAIGHAT,2311,0,1,0,2312
BIHAR,MUZAFFARPUR,KANTI,2775,6,19,2,2802
BIHAR,MUZAFFARPUR,KATRA,1615,1,2,1,1619
BIHAR,MUZAFFARPUR,KURHANI,3883,11,7,1,3902
BIHAR,MUZAFFARPUR,MINAPUR,3254,1,134,0,3389
BIHAR,MUZAFFARPUR,MORAUL,940,0,1,0,941
BIHAR,MUZAFFARPUR,MOTIPUR,2815,1,1,0,2817
BIHAR,MUZAFFARPUR,MUSHAHARI,1630,105,0,2,1737
BIHAR,MUZAFFARPUR,PAROO,2632,1,0,0,2633
BIHAR,MUZAFFARPUR,SAHEBGANJ,2265,60,0,2,2327
BIHAR,MUZAFFARPUR,SAKRA,2094,137,1,0,2232
BIHAR,MUZAFFARPUR,SARAIYA,2440,121,0,72,2633
BIHAR,NALANDA,ASTHAWAN,1108,7,54,6,1175
BIHAR,NALANDA,BEN,297,0,197,1,495
BIHAR,NALANDA,BIHARSHARIF,584,1,272,1,858
BIHAR,NALANDA,BIND,769,39,0,0,808
BIHAR,NALANDA,CHANDI,937,16,44,0,997
BIHAR,NALANDA,EKANGARSARAI,620,3,940,34,1597
BIHAR,NALANDA,GIRIYAK,1161,3,107,3,1274
BIHAR,NALANDA,HARNAUT,1364,41,181,0,1586
BIHAR,NALANDA,HILSA,900,501,255,175,1831
BIHAR,NALANDA,ISLAMPUR,2296,2,0,0,2298
BIHAR,NALANDA,KARAIPARSURAI,628,2,169,2,801
BIHAR,NALANDA,KATRISARAI,343,0,22,0,365
BIHAR,NALANDA,NAGARNAUSA,1731,0,22,0,1753
BIHAR,NALANDA,NOORSARAI,184,0,232,0,416
BIHAR,NALANDA,PARWALPUR,502,3,9,1,515
BIHAR,NALANDA,RAHUI,410,4,221,0,635
BIHAR,NALANDA,RAJGIR,1053,0,210,11,1274
BIHAR,NALANDA,SARMERA,955,0,0,0,955
BIHAR,NALANDA,SILAO,679,1,209,0,889
BIHAR,NALANDA,THARTHARI,429,0,87,0,516
BIHAR,NAWADA,AKBARPUR,1557,511,626,18,2712
BIHAR,NAWADA,GOVINDPUR,307,35,49,141,532
BIHAR,NAWADA,HASUA,1710,6,0,0,1716
BIHAR,NAWADA,KASHICHAK,299,41,46,1,387
BIHAR,NAWADA,KAWAKOLE,264,257,286,57,864
BIHAR,NAWADA,MESKAUR,404,1,9,0,414
BIHAR,NAWADA,NARDIGUNJ,861,233,336,15,1445
BIHAR,NAWADA,NARHAT,143,110,455,343,1051
BIHAR,NAWADA,NAWADA,1256,161,503,22,1942
BIHAR,NAWADA,PAKRIBRAWAN,82,438,414,156,1090
BIHAR,NAWADA,RAJAULI,1239,277,163,6,1685
BIHAR,NAWADA,ROH,158,155,799,225,1337
BIHAR,NAWADA,SIRDALA,383,35,399,19,836
BIHAR,NAWADA,WARISALIGUNJ,715,44,689,19,1467
BIHAR,PATNA,ATHAMALGOLA,537,0,36,0,573
BIHAR,PATNA,BAKHTIARPUR,1001,0,0,0,1001
BIHAR,PATNA,BARH,722,10,69,0,801
BIHAR,PATNA,BELCHCHI,244,99,2,0,345
BIHAR,PATNA,BIHTA,1807,47,200,1,2055
BIHAR,PATNA,DANAPUR-CUM-KHAGAUL,710,0,55,0,765
BIHAR,PATNA,DANIYAWAN,472,115,5,1,593
BIHAR,PATNA,DHANARUA,2227,630,19,9,2885
BIHAR,PATNA,DULHIN BAZAR,876,0,8,0,884
BIHAR,PATNA,FATUHA,1231,3,237,0,1471
BIHAR,PATNA,GHOSWARI,697,0,0,0,697
BIHAR,PATNA,KHUSRUPUR,178,0,4,0,182
BIHAR,PATNA,MANER,911,35,22,35,1003
BIHAR,PATNA,MASAURHI,3002,57,266,2,3327
BIHAR,PATNA,MOKAMA,581,11,12,0,604
BIHAR,PATNA,NAUBATPUR,1810,17,290,0,2117
BIHAR,PATNA,PALIGANJ,729,0,1,0,730
BIHAR,PATNA,PANDARAK,911,2,254,175,1342
BIHAR,PATNA,PATNA SADAR,534,0,8,0,542
BIHAR,PATNA,PHULWARI,1603,6,7,0,1616
BIHAR,PATNA,PUNPUN,1801,7,45,2,1855
BIHAR,PATNA,SAMPATCHAK,1067,2,1,0,1070
BIHAR,PATNA,VIKRAM,1374,0,98,0,1472
BIHAR,PURNIA,AMOUR,1556,32,0,0,1588
BIHAR,PURNIA,BAISA,1002,0,499,56,1557
BIHAR,PURNIA,BAISI,1730,0,0,0,1730
BIHAR,PURNIA,BANMANKHI,1676,154,86,60,1976
BIHAR,PURNIA,BARHARA KOTHI,1515,18,0,0,1533
BIHAR,PURNIA,BHAWANIPUR,1256,0,5,0,1261
BIHAR,PURNIA,DAGARUA,2378,0,0,0,2378
BIHAR,PURNIA,DHAMDAHA,2005,1,20,105,2131
BIHAR,PURNIA,JALALGARH,644,21,0,115,780
BIHAR,PURNIA,KASBA,1060,0,77,0,1137
BIHAR,PURNIA,KRITYANAND NAGAR,1803,0,0,0,1803
BIHAR,PURNIA,PURNEA EAST,1790,11,0,0,1801
BIHAR,PURNIA,RUPOULI,1760,0,0,19,1779
BIHAR,PURNIA,SRINAGAR,986,0,0,0,986
