-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by type", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Shallow tubewell,Point,Borewell,Others,Total
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,358,2,70,1,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,382,0,0,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,924,48,13,0,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,405,0,0,0,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,133,0,0,0,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,172,0,3,0,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,162,31,5,0,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,141,8,10,0,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,756,1,1,1,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,712,472,22,0,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,224,19,0,0,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,327,18,37,0,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,82,16,1,0,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,120,0,0,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,77,37,0,0,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,750,7,2,1,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,48,0,16,0,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,90,2,3,1,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,147,0,0,0,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,74,19,11,0,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,0,4,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,22,0,0,0,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,13,38,10,0,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,529,2,105,0,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,371,0,0,0,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,422,0,31,0,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,93,0,8,0,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,979,0,0,0,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,22,0,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,178,0,0,0,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,548,66,142,0,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,109,0,0,0,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,434,1,103,0,538
ANDHRA PRADESH,CHITTOOR,NAGARI,298,64,213,0,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,396,0,38,1,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,138,4,41,0,183
ANDHRA PRADESH,CHITTOOR,NINDRA,16,0,849,5,870
ANDHRA PRADESH,CHITTOOR,PAKALA,309,2,0,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,162,0,42,0,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,82,0,69,0,151
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,135,29,34,0,198
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,3,16,52,0,71
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,197,11,2,0,210
ANDHRA PRADESH,CHITTOOR,PENUMURU,102,1,13,0,116
ANDHRA PRADESH,CHITTOOR,PICHATUR,191,6,0,0,197
ANDHRA PRADESH,CHITTOOR,PILERU,68,0,0,0,68
ANDHRA PRADESH,CHITTOOR,PULICHERLA,38,0,35,0,73
ANDHRA PRADESH,CHITTOOR,PUNGANUR,99,153,31,2,285
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,907,15,3,0,925
ANDHRA PRADESH,CHITTOOR,PUTTUR,411,16,139,4,570
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,68,0,8,0,76
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,555,0,0,0,555
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,8,12,47,0,67
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,543,8,0,1,552
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,101,0,3,1,105
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,13,0,0,0,13
ANDHRA PRADESH,CHITTOOR,SODAM,84,0,0,0,84
ANDHRA PRADESH,CHITTOOR,SOMALA,62,0,0,0,62
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,343,33,24,1,401
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,316,15,7,0,338
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,572,50,44,0,666
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,40,1,682,0,723
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,0,24,0,24
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,607,0,25,0,632
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,366,5,2,0,373
ANDHRA PRADESH,CHITTOOR,VAYALPAD,80,24,0,0,104
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,646,0,0,0,646
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,113,0,6,0,119
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,349,1,136,0,486
ANDHRA PRADESH,CHITTOOR,YADAMARI,20,0,7,0,27
ANDHRA PRADESH,CHITTOOR,YERPEDU,1374,156,74,0,1604
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,258,0,133,0,391
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,53,0,0,0,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,61,4,9,0,74
ANDHRA PRADESH,CUDDAPAH,B KODUR,1,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,14,67,5,0,86
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,20,0,0,0,20
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,212,215,22,0,449
ANDHRA PRADESH,CUDDAPAH,CHAPAD,997,107,42,19,1165
ANDHRA PRADESH,CUDDAPAH,CHENNUR,276,2,1,1,280
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,14,0,9,0,23
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,30,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,CHITVEL,245,1,0,0,246
ANDHRA PRADESH,CUDDAPAH,DUVVUR,167,0,68,1,236
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,31,4,5,0,40
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,10,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,109,244,24,0,377
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,895,456,6,3,1360
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,591,1,33,0,625
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,430,950,0,1,1381
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,43,0,49,0,92
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,300,1,23,0,324
ANDHRA PRADESH,CUDDAPAH,NANDALUR,79,183,0,0,262
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,248,0,0,0,248
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,260,55,128,1,444
