-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarPradeshNSDPconst_1.csv", 
 "title": "Download CSV for Uttar Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/UttarPradeshNSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","6455157","6590234","6720858","6922105","7169508","7043912","7382743","7734298","7930774"
"Foresty and Logging","633885","645125","661330","674055","687769","702764","718934","735919","753006"
"Fishing","85731","89999","95274","103436","108583","121621","129220","133009","147594"
"Ag and Allied","7174773","7325358","7477462","7699596","7965860","7868297","8230897","8603226","8831374"
"Mining and Quarrying","226779","266753","277667","265662","311717","228196","222830","256649","261581"
"Sub total of primary","7401552","7592111","7755129","7965258","8277577","8096493","8453727","8859875","9092955"
"Manufacturing","2738719","2845971","3468978","3681681","3334539","4048573","4322885","4483898","4524526"
"Registered","1317398","1357002","1795635","1786656","1499173","2163448","2320940","2411523","2433374"
"Unregistered","1421321","1488969","1673343","1895025","1835366","1885125","2001945","2072375","2091152"
"Construction","1825000","2159886","2271166","2434720","2875106","2862826","3056510","3250986","3442795"
"Electricity, Gas and water Supply","203014","187533","207855","214503","299713","269062","269800","284184","292407"
"Sub total of secondary","4766733","5193390","5947999","6330904","6509358","7180461","7649195","8019068","8259728"
"Industry","4993512","5460143","6225666","6596566","6821075","7408657","7872025","8275717","8521309"
"Transport Storage and Communication","1705778","1883304","2074807","2351968","2545586","2752410","3101447","3461675","3659863"
"Railways","314999","326148","358991","441250","468997","515048","556999","614875","627787"
"Transport by other means","1004952","1087802","1161017","1263483","1325222","1430822","1631816","1788563","1939975"
"Storage","33506","32119","31707","31293","30528","29484","0","0","0"
"Communication","352321","437235","523092","615942","720839","777056","912632","1058237","1092101"
"Trade, hotels and restaurants","3275622","3376512","3672431","3859716","4164059","4375386","4873575","5121281","5387588"
"Banking and Insurance","938977","1081096","1326719","1487575","1725283","2031710","2335696","2723868","2917263"
"Real estate, ownership of dwelling and business","1891168","2016783","2176011","2404703","2748455","2961697","3333254","3677726","4084686"
"Pubic Administration","1218120","1269779","1272616","1365274","1764711","2076408","1944988","2011111","2202733"
"Other Services","1904954","2038399","2167827","2319654","2484164","2624318","2950003","3140426","3399315"
"Sub total of tertiary","10934619","11665873","12690411","13788890","15432258","16821929","18538963","20136087","21651448"
"State domestic product","23102904","24451374","26393539","28085052","30219193","32098883","34641885","37015030","39004131"

"Figures are in Rs. Lakh"
