-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.16.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.16.csv"
}
-----
State,District,No. of Tubewell in use,No. of Tubewell with no constraints,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
HARYANA,FARIDABAD,25558,0,4755,559,220,20024,25558,25558
HARYANA,GURGAON,28694,0,11590,262,495,16347,28694,28694
HARYANA,HISAR,45280,0,7727,4399,1222,31932,45280,45280
HARYANA,JIND,29689,0,4295,3102,125,22167,29689,29689
HARYANA,KAITHAL,30751,0,2196,99,2,28454,30751,30751
HARYANA,KARNAL,51952,0,7878,1017,382,42675,51952,51952
HARYANA,KURUKSHETRA,35787,0,7255,176,231,28125,35787,35787
HARYANA,MEHANDERGARH,24149,0,3181,14,126,20828,24149,24149
HARYANA,PANCHKULA,1183,0,15,0,1,1167,1183,1183
HARYANA,PANIPAT,26236,0,3504,328,121,22283,26236,26236
HARYANA,RIWARI,23143,0,2797,5,0,20341,23143,23143
HARYANA,ROHTAK,50447,0,4813,2878,835,41921,50447,50447
HARYANA,SIRSA,24578,0,2790,1491,375,19922,24578,24578
HARYANA,SONIPAT,35990,0,3844,1005,387,30754,35990,35990
HARYANA,YAMUNA NAGAR,25761,0,4376,137,17,21231,25761,25761
HIMACHAL PRADESH,Bilaspur,22,22,0,0,0,0,0,22
HIMACHAL PRADESH,Hamirpur,12,12,0,0,0,0,0,12
HIMACHAL PRADESH,Kangra,303,302,0,1,0,0,1,303
HIMACHAL PRADESH,Mandi,69,29,2,0,1,37,40,69
HIMACHAL PRADESH,Sirmaur,175,135,21,1,0,18,40,175
HIMACHAL PRADESH,Solan,83,66,0,0,4,13,17,83
HIMACHAL PRADESH,Una,940,656,11,11,132,130,284,940
JAMMU & KASHMIR,Budgam,0,0,0,0,0,1,1,1
JAMMU & KASHMIR,Jammu,1060,0,0,0,0,8,8,8
JAMMU & KASHMIR,Kathua,225,0,0,0,0,2,2,2
JAMMU & KASHMIR,Kupwara,11,0,0,0,0,0,0,0
JAMMU & KASHMIR,Srinagar,6,0,0,0,0,0,0,0
KARNATAKA,BANGALORE RURAL,7314,3136,2405,138,1388,247,4178,7314
KARNATAKA,BANGALORE URBAN,2190,1191,783,22,176,18,999,2190
KARNATAKA,BELGAUM,4898,2428,874,21,1414,161,2470,4898
KARNATAKA,BELLARY,1347,517,685,22,107,16,830,1347
KARNATAKA,BIDAR,290,199,68,3,20,0,91,290
KARNATAKA,BIJAPUR,2194,496,727,73,821,77,1698,2194
KARNATAKA,CHIKKAMAGALORE,2849,2606,223,4,3,13,243,2849
KARNATAKA,CHITRADURGA,8834,3850,2577,82,2136,189,4984,8834
KARNATAKA,DAKSHINA KANNADA,513,340,121,5,18,29,173,513
KARNATAKA,DHARWAR,7257,2729,2483,319,1396,330,4528,7257
KARNATAKA,GULBARGA,627,212,184,91,88,52,415,627
KARNATAKA,HASSAN,10395,5044,4301,323,427,300,5351,10395
KARNATAKA,KODAGU,11,4,4,0,3,0,7,11
KARNATAKA,KOLAR,6377,1797,2857,78,1517,128,4580,6377
KARNATAKA,MANDYA,1079,405,433,6,142,93,674,1079
KARNATAKA,MYSORE,2604,1205,1009,74,235,81,1399,2604
KARNATAKA,RAICHUR,3243,2239,626,21,312,45,1004,3243
KARNATAKA,SHIMOGA,3700,1480,1970,49,139,62,2220,3700
KARNATAKA,TUMKUR,9616,4150,3952,28,1250,236,5466,9616
KARNATAKA,UTTARA KANNADA,131,101,20,1,3,6,30,131
KERALA,ALAPUZHA,477,0,2,2,6,467,477,477
KERALA,ERANAKULAM,128,0,2,0,28,98,128,128
KERALA,IDUKKI,2,0,0,0,0,2,2,2
KERALA,KANNUR,3,0,0,0,0,3,3,3
KERALA,KASARAGODE,47,0,15,3,3,26,47,47
KERALA,KOLLAM,63,0,0,0,0,63,63,63
KERALA,KOTTAYAM,13,0,0,0,0,13,13,13
KERALA,KOZHIKODE,1,0,0,0,1,0,1,1
KERALA,MALAPPURAM,183,0,90,1,1,91,183,183
KERALA,PALAKKAD,187,0,45,1,50,91,187,187
KERALA,PATHANAMTHITTA,39,0,0,0,2,37,39,39
KERALA,THIRUVANANTHAPURAM,193,0,36,0,85,72,193,193
KERALA,THRISSUR,1008,0,4,0,4,1000,1008,1008
MADHYA PRADESH,BALAGHAT,77,62,0,0,3,12,15,77
MADHYA PRADESH,BASTAR,31,4,0,0,0,27,27,31
MADHYA PRADESH,BETUL,567,0,0,0,514,53,567,567
MADHYA PRADESH,BHIND,459,0,0,0,0,459,459,459
MADHYA PRADESH,BHOPAL,2949,0,6,1,263,2679,2949,2949
MADHYA PRADESH,BILASPUR,1783,207,292,4,91,1189,1576,1783
MADHYA PRADESH,CHHATARPUR,280,1,0,0,272,7,279,280
MADHYA PRADESH,CHHINDWARA,586,387,0,0,99,100,199,586
MADHYA PRADESH,DAMOH,2692,0,204,3,370,2115,2692,2692
MADHYA PRADESH,DEWAS,6435,4931,116,0,426,962,1504,6435
MADHYA PRADESH,DHAR,14223,1611,307,72,11627,606,12612,14223
MADHYA PRADESH,DURG,5247,126,48,20,1977,3076,5121,5247
MADHYA PRADESH,GUNA,1940,0,1,0,0,1939,1940,1940
MADHYA PRADESH,GWALIOR,662,0,2,1,105,554,662,662
MADHYA PRADESH,HOSHANGABAD,2499,0,0,1,1,2497,2499,2499
MADHYA PRADESH,INDORE,17323,14047,73,5,1831,1367,3276,17323
MADHYA PRADESH,JABALPUR,1259,537,4,7,9,702,722,1259
MADHYA PRADESH,JHABUA,75,32,0,0,14,29,43,75
MADHYA PRADESH,KHANDWA,54,4,0,0,29,21,50,54
MADHYA PRADESH,KHARGONE,772,336,2,0,397,37,436,772
MADHYA PRADESH,MANDLA,51,21,0,0,4,26,30,51
MADHYA PRADESH,MANDSAUR,397,210,11,3,106,67,187,397
MADHYA PRADESH,MORENA,1913,0,0,0,0,1913,1913,1913
MADHYA PRADESH,NARSIMHAPUR,5501,3213,183,171,89,1845,2288,5501
MADHYA PRADESH,PANNA,145,0,1,4,57,83,145,145
MADHYA PRADESH,RAIGARH,1701,297,163,68,275,898,1404,1701
MADHYA PRADESH,RAIPUR,3801,2165,53,29,156,1398,1636,3801
MADHYA PRADESH,RAISEN,5544,0,17,5,119,5403,5544,5544
MADHYA PRADESH,RAJGARH,1141,0,28,7,962,144,1141,1141
MADHYA PRADESH,RAJNANDGAON,213,8,6,0,12,187,205,213
MADHYA PRADESH,RATLAM,3985,2284,5,2,1026,668,1701,3985
MADHYA PRADESH,REWA,1160,185,38,0,196,741,975,1160
MADHYA PRADESH,SAGAR,1554,0,4,0,625,925,1554,1554
MADHYA PRADESH,SATNA,2584,28,20,1,13,2522,2556,2584
MADHYA PRADESH,SEHORE,5617,0,88,21,995,4513,5617,5617
MADHYA PRADESH,SEONI,40,29,4,0,6,1,11,40
MADHYA PRADESH,SHAHDOL,64,0,0,0,0,64,64,64
MADHYA PRADESH,SHAJAPUR,3051,2079,11,7,515,439,972,3051
MADHYA PRADESH,SHIVPURI,237,0,0,0,0,237,237,237
MADHYA PRADESH,SIDHI,329,99,6,0,48,176,230,329
MADHYA PRADESH,SURGUJA,18,9,0,0,0,9,9,18
MADHYA PRADESH,TIKAMGARH,892,0,2,0,151,739,892,892
MADHYA PRADESH,UJJAIN,16838,13196,80,1,1477,2084,3642,16838
MADHYA PRADESH,VIDISHA,2554,0,6,0,44,2504,2554,2554
MANIPUR,BISHNUPUR,3,0,0,0,0,3,3,3
MANIPUR,CHURACHANDPUR,2,0,0,0,0,2,2,2
MANIPUR,IMPHAL,9,0,0,0,0,9,9,9
MANIPUR,SENAPATI,3,0,0,0,0,3,3,3
MANIPUR,THOUBAL,19,0,0,0,0,19,19,19
MEGHALAYA,WEST GARO HILLS,109,0,98,1,1,9,109,109
MEGHALAYA,WEST KHASI HILLS,1,0,0,0,0,1,1,1
NAGALAND,KOHIMA,6,0,0,0,0,6,6,6
ORISSA,ANGUL,2,0,0,0,0,2,2,2
ORISSA,BALASORE,6088,0,391,442,833,4422,6088,6088
ORISSA,BARAGARH,185,0,39,2,29,115,185,185
ORISSA,BHADRAK,1012,0,273,69,59,611,1012,1012
ORISSA,BOLANGIR,17,0,1,0,0,16,17,17
ORISSA,CUTTACK,1432,0,117,43,25,1247,1432,1432
ORISSA,GAJAPATI,71,0,6,4,6,55,71,71
ORISSA,GANJAM,736,0,53,40,96,547,736,736
ORISSA,JAGATSINGHPUR,1183,0,188,45,41,909,1183,1183
ORISSA,JAJPUR,1024,0,46,29,39,910,1024,1024
ORISSA,JHARSUGUDA,9,0,0,0,0,9,9,9
ORISSA,KALAHANDI,10,5,0,2,0,3,5,10
ORISSA,KENDRAPARA,454,0,35,9,21,389,454,454
ORISSA,KEONJHAR,89,20,14,14,6,35,69,89
ORISSA,KHURDA,303,65,115,24,27,72,238,303
ORISSA,KORAPUT,2,1,1,0,0,0,1,2
ORISSA,MAYURBHANJ,210,0,4,4,5,197,210,210
ORISSA,NAYAGARH,244,140,14,2,4,84,104,244
ORISSA,NUAPADA,4,1,0,1,1,1,3,4
ORISSA,PURI,1959,1203,206,69,33,448,756,1959
ORISSA,RAYAGADA,243,159,26,16,4,38,84,243
ORISSA,SAMBALPUR,2,0,0,0,2,0,2,2
ORISSA,SONEPUR,2,0,0,0,1,1,2,2
ORISSA,SUNDARGARH,3,2,0,1,0,0,1,3
PUNJAB,AMRITSAR,94813,0,63940,1386,242,29245,94813,94813
PUNJAB,BATHINDA,32172,0,17113,1914,1570,11575,32172,32172
PUNJAB,FARIDKOT,103167,0,73603,2541,16,27007,103167,103167
PUNJAB,FATEHGARH SAHIB,24713,0,21607,2,1,3103,24713,24713
PUNJAB,FEROZEPUR,97530,0,90650,155,28,6697,97530,97530
PUNJAB,GURDASPUR,59350,0,38624,120,23,20583,59350,59350
PUNJAB,HOSHIARPUR,50530,0,23855,2576,1167,22932,50530,50530
PUNJAB,JALANDHAR,88573,0,58888,3077,363,26245,88573,88573
PUNJAB,KAPURTHALA,39813,0,22597,413,16,16787,39813,39813
