-----
{
 "description": "The Index of Eight Core Industries is a monthly production index, which is also considered as a lead indicator of the monthly industrial performance. The Index of Eight Core Industries is compiled based on the monthly production information received from the Source Agencies;\r\rFrequency and Date ...", 
 "file_name": "Index_of_Core_Industries_2004-05_0.xls", 
 "title": "Download XLS for Index of Eight Core Industries: Base Year 2004-05 - Upto May 2013", 
 "url": "http://data.gov.in/sites/default/files/Index_of_Core_Industries_2004-05_0.xls"
}
-----
"Month/ Year"," Production of Coal (in Million Tonnes)"," Production of Crude Oil (in Thousand  Tonnes)"," Production of Natural Gas (in Million cubic meters)","  Production of Petroleum Refinery Products (in Thousand Tonnes)","  Production of Fertilizers (in Thousand Tonnes)","  Production of Steel (in Thousand Tonnes)","  Production of Cement (in Thousand Tonnes)"," Electricity Generation (in Million KWH)"
38081.0,28.2,2814.0,2596.0,9694.32,2306.7,3283.0,11140.0,48930.0
38111.0,27.58,2886.0,2650.0,10233.72,2705.5,3487.0,10950.0,47981.0
38142.0,27.6,2783.0,2514.0,10002.15,2754.6,3427.0,10300.0,46570.0
38172.0,28.6,2864.0,2658.0,9745.47,2910.1,3585.0,10768.0,50283.0
38203.0,26.247,2874.0,2662.0,9796.62,2913.3,3561.0,9355.0,48325.0
38234.0,28.2,2777.0,2617.0,9316.74,2818.7,3579.0,10340.0,49059.0
38264.0,31.07,2881.0,2677.0,9958.44,3157.4,3625.0,11253.0,48484.0
38295.0,32.46,2801.0,2706.0,9708.27,3041.3,3640.0,10764.0,47792.0
38325.0,35.98,2876.0,2778.0,9845.91,3126.5,3688.0,11433.0,50543.0
38356.0,35.4,2913.0,2768.0,10295.1,3114.7,3818.0,11760.0,50525.75
38387.0,34.53,2596.0,2309.0,9484.14,2526.6,3603.0,10971.0,46015.76
38415.0,40.81,2917.0,2827.0,10136.07,2607.6,4217.0,12525.0,52923.52
38446.0,30.5,2802.0,2586.0,8946.6,2296.4,3567.0,12240.0,50413.2
38476.0,30.67,2830.0,2733.0,9623.64,2731.4,3523.0,12630.0,52942.57
38507.0,28.54,2792.0,2658.0,9896.13,2781.9,3568.0,12010.0,50948.85
38537.0,28.138,2751.0,2692.0,10096.08,3033.7,3551.0,11160.0,49781.12
38568.0,29.029,2411.0,2599.0,10042.14,3074.4,3804.0,11160.0,52145.22
38599.0,29.42,2572.0,2620.0,9776.16,3064.2,3737.0,10845.0,48694.51
38629.0,32.957,2679.0,2786.0,9718.5,3128.6,4050.0,12218.0,52217.68
38660.0,34.687,2563.0,2671.0,9853.35,3190.3,4022.0,11599.0,49405.33
38690.0,38.389,2642.0,2751.0,10753.59,3215.1,4142.0,12968.0,52257.1
38721.0,38.316,2770.0,2781.0,10856.82,3077.6,4201.0,13571.0,53759.59
38752.0,36.898,2542.0,2523.0,10097.94,2733.9,3897.0,12757.0,50225.43
38780.0,43.822,2844.0,2802.0,11089.32,2636.1,4504.0,14650.0,54719.87
38811.0,31.53,2752.0,2697.0,10118.4,2499.0,4053.0,13730.0,53394.94
38841.0,33.227,2863.0,2761.0,10784.28,2818.2,4027.0,13490.0,55630.76
38872.0,31.92,2826.0,2705.0,10939.59,2823.1,4058.0,13410.0,53450.57
38902.0,30.695,2863.0,2780.0,11370.18,3115.8,4127.0,12720.0,54224.21
38933.0,29.199,2701.0,1966.0,11256.72,2791.5,4209.0,11480.0,54295.83
38964.0,29.195,2814.0,2586.0,11081.88,3091.3,4176.0,12630.0,54289.27
38994.0,33.593,2928.0,2773.0,11473.41,3311.5,4523.0,13370.0,57292.46
39025.0,36.398,2814.0,2676.0,11467.83,3223.4,4438.0,12970.0,53745.3
39055.0,39.494,2924.0,2737.0,11912.37,3376.4,4606.0,14010.0,57025.49
39086.0,42.104,2901.0,2767.0,12070.47,3146.5,4599.0,14550.0,58196.54
39117.0,39.29,2666.0,2515.0,11240.91,3029.0,4471.0,13500.0,51902.33
39145.0,48.461,2934.0,2783.0,12576.39,2926.6,5242.0,15450.0,59075.26
39176.0,31.715,2791.0,2555.0,11641.74,2298.1,4424.0,14520.0,58030.51
39206.0,33.398,2818.0,2638.0,12393.18,2637.4,4525.0,14820.0,60821.56
39237.0,32.215,2774.0,2582.0,12026.76,2831.9,4313.0,14220.0,57078.09
39267.0,31.034,2888.0,2718.0,11902.14,2990.8,4470.0,13910.0,58301.0
39298.0,31.522,2876.0,2692.0,12178.35,2911.7,4718.0,13400.0,59278.29
39329.0,31.032,2795.0,2679.0,11848.2,2863.7,4697.0,13310.0,56641.17
39359.0,36.582,2924.0,2857.0,11786.82,3011.7,4931.0,14370.0,59702.74
39390.0,39.214,2822.0,2766.0,12061.17,2969.2,4670.0,13650.0,56845.71
39420.0,42.806,2882.0,2852.0,12140.22,3066.1,4852.0,14630.0,59236.13
39451.0,45.414,2895.0,2697.0,12716.82,2862.6,4639.0,15360.0,60331.57
39482.0,43.862,2728.0,2634.0,11889.12,2639.8,4612.0,15230.0,56978.43
39511.0,52.948,2925.0,2745.0,12590.34,2161.3,5224.0,16890.0,61223.82
39542.0,34.998,2818.0,2791.0,12139.29,2225.5,4796.0,15520.0,58815.18
39572.0,36.333,2908.0,2887.0,12409.92,2792.5,4948.0,15390.0,62028.45
39603.0,34.188,2645.0,2632.0,12695.43,2625.4,4664.0,15160.0,58533.74
39633.0,32.734,2801.0,2772.0,13306.44,2922.0,4771.0,14670.0,60896.7
39664.0,33.377,2847.0,2806.0,12476.88,3101.5,4886.0,13660.0,59732.66
