-----
{
 "description": "The table refers to district wise culturable command area and potential created through shallow tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.13.csv", 
 "title": "Download CSV for District wise Culturable Command Area and Potential Created through Shallow Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.13.csv"
}
-----
State,District,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,ADILABAD,10249,8879,7472,40,25,16416
ANDHRA PRADESH,ANANTHAPUR,39447,27548,18680,7559,119,53906
ANDHRA PRADESH,CHITTOOR,15552,11010,11229,40,12,22291
ANDHRA PRADESH,CUDDAPAH,24189,21835,15419,336,26,37616
ANDHRA PRADESH,EAST GODAVARI,53168,27457,27141,16624,910,72132
ANDHRA PRADESH,GUNTUR,21777,10378,2606,10591,43,23618
ANDHRA PRADESH,KARIMNAGAR,1638,1556,1367,34,0,2957
ANDHRA PRADESH,KHAMMAM,9181,5511,4155,101,26,9793
ANDHRA PRADESH,KRISHNA,24391,12129,3063,2302,9674,27168
ANDHRA PRADESH,KURNOOL,18701,17008,12896,382,9,30295
ANDHRA PRADESH,MAHABOOB NAGAR,30536,25210,17997,793,344,44344
ANDHRA PRADESH,MEDAK,34674,29515,18031,4301,368,52215
ANDHRA PRADESH,NALGONDA,14936,12136,10037,997,111,23281
ANDHRA PRADESH,NELLORE,47564,29497,30211,5972,159,65839
ANDHRA PRADESH,NIZAMABAD,67777,63711,38613,2303,277,104904
ANDHRA PRADESH,PRAKASAM,24405,21072,12290,1995,28,35385
ANDHRA PRADESH,RANGA REDDY,25275,20339,14367,2040,121,36867
ANDHRA PRADESH,SRIKAKULUM,9190,5117,5656,660,53,11486
ANDHRA PRADESH,VIJAYA NAGARAM,6162,2758,2868,1581,71,7278
ANDHRA PRADESH,VISAKHAPATNAM,11534,5235,2697,5284,23,13239
ANDHRA PRADESH,WARANGAL,5419,4581,2595,1,8,7185
ANDHRA PRADESH,WEST GODAVARI,36678,16739,21101,8893,3747,50480
ASSAM,BARPETA,4790,4294,3343,2,62,7701
ASSAM,BONGAIGAON,1849,1704,1110,0,459,3273
ASSAM,CACHAR,4,4,1,0,0,5
ASSAM,DARRANG,5332,4998,3443,8,331,8780
ASSAM,DHEMAJI,1437,1329,702,0,78,2109
ASSAM,DHUBRI,5172,4286,3702,72,633,8693
ASSAM,DIBRUGARH,3861,3466,2275,0,30,5771
ASSAM,GOALPARA,892,829,549,3,36,1417
ASSAM,GOLAGHAT,1165,1041,692,0,31,1764
ASSAM,HAILAKANDI,260,236,89,0,0,325
ASSAM,JORHAT,3656,2496,3122,0,1,5619
ASSAM,KAMRUP,3003,2592,1161,16,94,3863
ASSAM,KARBI ANGLONG,304,200,125,10,20,355
ASSAM,KARIMGANJ,396,226,261,0,0,487
ASSAM,KOKRAJHAR,1879,1669,1203,0,2,2874
ASSAM,LAKHIMPUR,2999,2664,1659,2,114,4439
ASSAM,MARIGAON,3172,2842,1810,1,155,4808
ASSAM,NAGAON,6056,5527,3350,4,174,9055
ASSAM,NALBARI,2643,2424,1697,0,117,4238
ASSAM,SIBSAGAR,2089,1921,1139,1,159,3220
ASSAM,SONITPUR,6021,5356,3921,3,152,9432
ASSAM,TINSUKIA,2334,2171,702,1,11,2885
BIHAR,ARARIA,37788,25029,28181,2057,10463,65730
