-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "WbengalNSDPcurrent.csv", 
 "title": "Download CSV for West Bengal Net State Domestic Product at factor cost at Current Prices for base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/WbengalNSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","3853049","4283182","4551928","5397906","5789752","7329484","8429582","9386603","10908337"
"Foresty and Logging","234424","240219","257467","316902","363690","421049","439214","507248","571080"
"Fishing","660547","730306","837089","928899","1028454","1183406","1282715","1461223","1657247"
"Ag and Allied","4748020","5253707","5646484","6643707","7181896","8933939","10151511","11355074","13136664"
"Mining and Quarrying","235168","240816","257884","226739","246741","236866","222885","223241","225235"
"Sub total of primary","4983188","5494523","5904368","6870446","7428637","9170805","10374396","11578315","13361899"
"Manufacturing","1774449","1769001","2177774","2617247","2778486","3049511","3573019","3957384","4412442"
"Registered","864897","755575","967604","1197422","1278520","1452072","1601245","1758336","1949488"
"Unregistered","909552","1013426","1210170","1419825","1499966","1597439","1971774","2199048","2462954"
"Construction","1427273","1658720","1887756","2033307","2026750","2309267","2704446","3146617","3706511"
"Electricity, Gas and water Supply","234965","256133","301990","300351","430445","415845","443090","495187","513428"
"Sub total of secondary","3436687","3683854","4367520","4950905","5235681","5774623","6720555","7599188","8632381"
"Industry","3671855","3924670","4625404","5177644","5482422","6011489","6943440","7822429","8857616"
"Transport Storage and Communication","1662070","1747559","2024663","2281565","2664339","2737604","3298142","3807081","4403275"
"Railways","239300","251737","305264","352804","388913","531515","562663","632914","728974"
"Transport by other means","1087380","1134624","1322926","1502366","1810937","1674341","2102208","2418397","2794880"
"Storage","60898","69192","88842","91383","87567","97918","125647","163635","176812"
"Communication","274492","292006","307631","335012","376922","433830","507624","592135","702609"
"Trade, hotels and restaurants","3220448","3647070","4263656","4764971","5431496","6211629","7946643","9157271","10530052"
"Banking and Insurance","1277501","1355661","1593298","1841501","2017958","2176163","2591829","3037139","3456837"
"Real estate, ownership of dwelling and business","1362438","1597132","1875016","2256259","2670242","3167806","3961392","4592694","5216477"
"Pubic Administration","927202","1018630","1048029","1085752","1631064","2010361","2200588","2518746","3087085"
"Other Services","2133354","2428177","2786398","3304270","3973585","5002683","6230172","7402300","8998483"
"Sub total of tertiary","10583013","11794229","13591060","15534318","18388684","21306246","26228766","30515231","35692209"
"State domestic product","19002888","20972606","23862948","27355669","31053002","36251674","43323717","49692734","57686489"

"Figures are in Rs. Lakh"
