-----
{
 "description": "The table refers to Block wise Dugwells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.8.csv", 
 "title": "Download CSV for Blockwise Dugwells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total,,,,,,,,
TAMIL NADU,TIRUNELVELI,SANKARANKOVIL,41,4,6335,2,778,7160,,,,,,,,
TAMIL NADU,TIRUNELVELI,SHENCOTTAI,19,6,1486,1,137,1649,,,,,,,,
TAMIL NADU,TIRUNELVELI,TENKASI,1,0,2056,19,49,2125,,,,,,,,
TAMIL NADU,TIRUNELVELI,VALLIOOR,397,13,5079,0,539,6028,,,,,,,,
TAMIL NADU,TIRUNELVELI,VASUDEVANALLUR,102,10,7092,501,693,8398,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,ANAKKAVUR,1050,67,6661,35,53,7866,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,ARNI,296,27,5695,9,176,6203,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,CHENGAM,127,22,12102,46,108,12405,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,CHETPET,665,47,8203,332,395,9642,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,CHEYYAR,1461,129,5756,26,353,7725,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,JAMNAMARATHUR,103,4,819,0,0,926,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,KALASAPAKKAM,616,19,9532,253,23,10443,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,KILPENNATHUR,131,27,9054,438,1378,11028,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,PERNAMALLUR,504,16,10035,232,59,10846,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,POLUR,553,14,11683,101,26,12377,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,PUDUPALAYAM,279,17,8695,57,89,9137,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,THANDARAMPET,839,15,10071,36,617,11578,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,THELLAR,161,17,10980,227,0,11385,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,THURINJAPURAM,470,47,10746,5,222,11490,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,TIRUVANNAMALAI,118,70,11456,76,234,11954,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,VANDAVASI,329,51,8868,338,11,9597,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,VEMBAKKAM,479,57,6576,85,76,7273,,,,,,,,
TAMIL NADU,TIRUVANNAMALAI,WEST ARNI,296,8,6709,502,81,7596,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,ALWARTHIRUNAGARI,33,14,1735,18,527,2327,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,KARUNGULAM,57,16,1445,12,64,1594,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,KAYATHAR,117,2,5501,22,1097,6739,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,KOVILPATTI,72,6,2855,10,493,3436,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,OTTAPIDARAM,52,18,3608,5,748,4431,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,PUDUR,54,2,1580,68,361,2065,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,SATTANKULAM,195,23,3557,177,674,4626,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,SRIVAIKUNTAM,24,12,575,37,56,704,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,THOOTHUKKUDI,75,12,741,7,382,1217,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,TIRUCHENDUR,49,2,986,133,134,1304,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,UDANGUDI,47,3,2136,50,15,2251,,,,,,,,
TAMIL NADU,TUTICORIN DISTRICT,VILATHIKULAM,8,2,721,22,313,1066,,,,,,,,
TAMIL NADU,VELLORE,ALANGAYAM,9,2,5559,1,0,5571,,,,,,,,
TAMIL NADU,VELLORE,ANAICUT,129,21,8515,62,1,8728,,,,,,,,
TAMIL NADU,VELLORE,ARAKONAM,46,5,2155,102,169,2477,,,,,,,,
TAMIL NADU,VELLORE,ARCOT,232,2,4954,15,40,5243,,,,,,,,
