-----
{
 "description": "The table refers to Block wise Dugwells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.8.csv", 
 "title": "Download CSV for Blockwise Dugwells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total,,,,,,,,
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,0,0,0,8,8,,,,,,,,
ANDHRA PRADESH,ADILABAD,ADILABAD,226,39,105,66,33,469,,,,,,,,
ANDHRA PRADESH,ADILABAD,ASIFABAD,1,0,68,1,0,70,,,,,,,,
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,90,136,137,20,20,403,,,,,,,,
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,321,1,0,322,,,,,,,,
ANDHRA PRADESH,ADILABAD,BELA,174,14,53,81,6,328,,,,,,,,
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,15,1,382,6,127,531,,,,,,,,
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,21,0,0,21,,,,,,,,
ANDHRA PRADESH,ADILABAD,BHEEMINI,1,2,271,0,0,274,,,,,,,,
ANDHRA PRADESH,ADILABAD,BOATH,6,0,61,25,2,94,,,,,,,,
ANDHRA PRADESH,ADILABAD,CHENNUR,13,0,294,27,38,372,,,,,,,,
ANDHRA PRADESH,ADILABAD,DAHEGAON,15,2,343,10,10,380,,,,,,,,
ANDHRA PRADESH,ADILABAD,DANDEPALLE,126,3,1405,237,25,1796,,,,,,,,
ANDHRA PRADESH,ADILABAD,DILAWARPUR,190,1,613,69,3,876,,,,,,,,
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,24,2,137,46,213,422,,,,,,,,
ANDHRA PRADESH,ADILABAD,ICHODA,107,0,168,68,183,526,,,,,,,,
ANDHRA PRADESH,ADILABAD,INDERAVELLY,30,3,214,19,477,743,,,,,,,,
ANDHRA PRADESH,ADILABAD,JAINAD,148,0,13,13,5,179,,,,,,,,
ANDHRA PRADESH,ADILABAD,JAINOOR,44,9,93,46,48,240,,,,,,,,
ANDHRA PRADESH,ADILABAD,JAIPUR,18,1,322,18,157,516,,,,,,,,
ANDHRA PRADESH,ADILABAD,JANNARAM,8,0,276,40,55,379,,,,,,,,
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,69,0,1606,81,9,1765,,,,,,,,
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,9,0,325,1,0,335,,,,,,,,
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,115,45,3,163,,,,,,,,
ANDHRA PRADESH,ADILABAD,KERAMERI,8,22,102,47,4,183,,,,,,,,
ANDHRA PRADESH,ADILABAD,KHANPUR,129,3,2377,2,0,2511,,,,,,,,
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,111,14,3,128,,,,,,,,
ANDHRA PRADESH,ADILABAD,KOUTHALA,67,0,288,5,24,384,,,,,,,,
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,54,0,0,54,,,,,,,,
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,26,0,0,26,,,,,,,,
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,41,5,881,189,91,1207,,,,,,,,
ANDHRA PRADESH,ADILABAD,LOHESRA,1,1,31,127,0,160,,,,,,,,
ANDHRA PRADESH,ADILABAD,LUXETTIPET,130,14,1205,230,1,1580,,,,,,,,
ANDHRA PRADESH,ADILABAD,MAMDA,41,0,8,382,100,531,,,,,,,,
ANDHRA PRADESH,ADILABAD,MANCHERIAL,125,2,1460,60,284,1931,,,,,,,,
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,596,0,1,597,,,,,,,,
ANDHRA PRADESH,ADILABAD,NARNOOR,74,86,287,20,140,607,,,,,,,,
ANDHRA PRADESH,ADILABAD,NENNAL,11,0,238,0,107,356,,,,,,,,
ANDHRA PRADESH,ADILABAD,NERADIGONDA,3,0,53,47,23,126,,,,,,,,
ANDHRA PRADESH,ADILABAD,NIRMAL,154,6,1292,227,82,1761,,,,,,,,
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,308,0,0,308,,,,,,,,
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,0,193,1,2,196,,,,,,,,
ANDHRA PRADESH,ADILABAD,SIRPUR (T),7,2,320,15,6,350,,,,,,,,
ANDHRA PRADESH,ADILABAD,SIRPUR (U),84,1,197,1,104,387,,,,,,,,
ANDHRA PRADESH,ADILABAD,TALAMADUGU,611,19,183,0,0,813,,,,,,,,
ANDHRA PRADESH,ADILABAD,TAMSI,268,14,157,1,5,445,,,,,,,,
ANDHRA PRADESH,ADILABAD,TANDUR,66,24,89,17,22,218,,,,,,,,
ANDHRA PRADESH,ADILABAD,TIRYANI,37,13,82,15,37,184,,,,,,,,
ANDHRA PRADESH,ADILABAD,UTNUR,113,84,325,2,245,769,,,,,,,,
ANDHRA PRADESH,ADILABAD,VEMANPALLE,39,5,180,1,9,234,,,,,,,,
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,140,0,0,140,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,AGALI,40,2,917,0,3,962,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,25,2,909,18,0,954,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,5,0,509,1,0,515,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,7,1,484,124,0,616,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,716,0,0,716,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,8,2,510,89,0,609,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,3,0,443,0,0,446,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,1,0,224,4,0,229,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,7,0,680,8,0,695,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,3,0,1,0,902,906,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,5,1,1816,0,0,1822,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,19,1,761,0,0,781,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,9,3,1335,1,0,1348,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,1,611,1,0,613,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,5,1,1653,0,2,1661,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,2,2,730,8,51,793,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,99,33,535,54,0,721,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GOOTY,9,1,411,65,0,486,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,12,0,1204,2,0,1218,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,2,0,634,5,3,644,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,3,0,696,13,0,712,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,8,8,373,84,61,534,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,3,0,941,0,1,945,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KADIRI,7,0,607,17,1,632,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,32,3,1001,18,0,1054,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,2,0,805,18,0,825,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,18,4,829,69,0,920,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,13,0,166,6,1,186,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,25,6,1375,26,8,1440,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,1,0,737,73,0,811,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,2,0,1010,0,0,1012,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,3,590,1,0,594,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,38,20,1401,32,5,1496,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,7,1,1262,0,0,1270,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,2,0,537,0,0,539,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,15,5,987,18,3,1028,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,3,2,956,22,0,983,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,NARPALA,14,7,1508,293,17,1839,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,9,5,1111,18,1,1144,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,6,0,327,33,2,368,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PARIGI,25,8,687,8,2,730,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1,0,330,46,0,377,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,0,23,6,0,29,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,9,1,1216,14,1,1241,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,20,0,1655,2,0,1677,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,2,1,798,26,0,827,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,0,533,1,0,534,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,7,1,462,154,0,624,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,2,7,703,8,0,720,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,RODDAM,11,0,793,5,0,809,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,ROLLA,20,4,815,0,3,842,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,SETTUR,8,0,704,0,0,712,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,5,0,847,273,2,1127,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,11,2,674,13,33,733,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,9,1,1074,0,0,1084,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,46,8,712,26,4,796,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,79,0,1148,1,1,1229,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,13,15,1079,12,0,1119,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,12,1,556,4,0,573,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,14,3,262,33,0,312,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,26,1,170,0,0,197,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1,0,522,3,1,527,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,4,0,1047,0,0,1051,,,,,,,,
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,0,0,584,0,0,584,,,,,,,,
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,42,229,2647,84,41,3043,,,,,,,,
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,77,2,3163,124,77,3443,,,,,,,,
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,5,8,579,0,0,592,,,,,,,,
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,79,10,2386,263,28,2766,,,,,,,,
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,23,6,1368,71,1,1469,,,,,,,,
ANDHRA PRADESH,CHITTOOR,CHITTOOR,180,17,2264,86,24,2571,,,,,,,,
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,23,3,1618,12,3,1659,,,,,,,,
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,4,0,4040,60,4,4108,,,,,,,,
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,32,7,2053,98,5,2195,,,,,,,,
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,14,0,889,6,7,916,,,,,,,,
ANDHRA PRADESH,CHITTOOR,GUDIPALA,22,2,2546,14,11,2595,,,,,,,,
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,30,1,1202,111,365,1709,,,,,,,,
ANDHRA PRADESH,CHITTOOR,IRALA,20,12,2636,88,0,2756,,,,,,,,
ANDHRA PRADESH,CHITTOOR,K V P PURAM,1,2,1097,123,1,1224,,,,,,,,
ANDHRA PRADESH,CHITTOOR,KALAKADA,19,4,1843,13,0,1879,,,,,,,,
ANDHRA PRADESH,CHITTOOR,KALIKIRI,12,0,1284,63,0,1359,,,,,,,,
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,31,4,2612,8,0,2655,,,,,,,,
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,1,0,2229,0,0,2230,,,,,,,,
ANDHRA PRADESH,CHITTOOR,KUPPAM,6,0,2493,4,30,2533,,,,,,,,
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,10,4,967,1,1,983,,,,,,,,
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,42,17,978,20,16,1073,,,,,,,,
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,8,2,859,2,1,872,,,,,,,,
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,8,3,904,11,39,965,,,,,,,,
ANDHRA PRADESH,CHITTOOR,NAGARI,6,0,1576,56,0,1638,,,,,,,,
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,2,0,655,129,37,823,,,,,,,,
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,5,0,963,49,2,1019,,,,,,,,
ANDHRA PRADESH,CHITTOOR,NINDRA,33,1,1196,107,3,1340,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PAKALA,49,1,2200,20,0,2270,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PALAMANER,53,7,1876,70,1,2007,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,31,15,1592,91,1,1730,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,113,21,1592,27,16,1769,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,15,2,984,1,1,1003,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,10,2,211,1,1031,1255,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PENUMURU,20,1,2316,192,21,2550,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PICHATUR,11,0,1013,77,0,1101,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PILERU,12,1,1650,1,0,1664,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PULICHERLA,5,1,1452,29,2,1489,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PUNGANUR,58,4,1552,27,13,1654,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,18,3,2802,174,0,2997,,,,,,,,
ANDHRA PRADESH,CHITTOOR,PUTTUR,198,4,1475,114,0,1791,,,,,,,,
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,35,5,1706,113,6,1865,,,,,,,,
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,0,0,2016,0,0,2016,,,,,,,,
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,41,10,1341,131,1,1524,,,,,,,,
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,9,0,1164,54,0,1227,,,,,,,,
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,18,4,921,0,2,945,,,,,,,,
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,1,0,1074,10,3,1088,,,,,,,,
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,27,4,1472,15,0,1518,,,,,,,,
ANDHRA PRADESH,CHITTOOR,SODAM,15,45,2434,70,1,2565,,,,,,,,
ANDHRA PRADESH,CHITTOOR,SOMALA,14,8,2042,21,0,2085,,,,,,,,
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,17,12,1358,218,7,1612,,,,,,,,
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,8,9,1968,56,0,2041,,,,,,,,
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,4,53,998,4,0,1059,,,,,,,,
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,10,43,3014,78,1,3146,,,,,,,,
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,0,1,1306,113,0,1420,,,,,,,,
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,14,0,1844,77,0,1935,,,,,,,,
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,1,3,191,4,0,199,,,,,,,,
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,363,21,1435,51,3,1873,,,,,,,,
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,12,4,749,9,33,807,,,,,,,,
ANDHRA PRADESH,CHITTOOR,VAYALPAD,28,55,917,125,158,1283,,,,,,,,
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,12,0,3175,5,0,3192,,,,,,,,
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,71,17,2571,6,0,2665,,,,,,,,
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,7,1,1556,0,0,1564,,,,,,,,
ANDHRA PRADESH,CHITTOOR,YADAMARI,26,3,2323,91,3,2446,,,,,,,,
ANDHRA PRADESH,CHITTOOR,YERPEDU,36,5,1250,279,0,1570,,,,,,,,
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,4,1,683,11,0,699,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,18,11,685,1,0,715,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,ATLUR,2,0,1118,1,16,1137,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,B KODUR,3,8,685,3,1,700,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,BADVEL,3,0,670,0,0,673,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,5,1,828,2,0,836,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,2,1,1166,0,0,1169,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CHAPAD,31,2,258,0,0,291,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CHENNUR,5,0,118,4,0,127,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,1,0,1563,2,3,1569,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,23,4,990,5,3,1025,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CHITVEL,4,1,555,0,1,561,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,9,201,0,1,211,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,DUVVUR,3,0,923,0,0,926,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,14,22,2234,6,0,2276,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,5,1,524,0,0,530,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,28,7,268,1,0,304,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,3,0,613,0,0,616,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,19,0,489,2,2,512,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,17,1,523,37,9,587,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,KODUR,14,0,1033,26,174,1247,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,3,0,62,0,0,65,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,3,3,1579,1,3,1589,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,LINGALA,13,1,666,50,0,730,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,1,0,437,1,0,439,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,572,1,0,573,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,NANDALUR,31,4,563,0,0,598,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1,0,1311,0,0,1312,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,134,0,0,134,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,1,3,260,0,0,264,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,2,0,355,3,0,360,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,31,12,1663,1,1,1708,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,0,1,96,0,0,97,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,1,538,0,43,582,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,10,3,1268,1,1,1283,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,16,0,1356,31,1,1404,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,3,0,73,1,0,77,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,940,0,0,940,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,7,8,1607,9,263,1894,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,12,10,1230,26,3,1281,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,54,10,1724,5,1,1794,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,12,1,687,0,0,700,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,6,3,619,0,30,658,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,22,17,1478,0,0,1517,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,THANDUR,1,0,570,0,1,572,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,VALLUR,20,5,495,1,0,521,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,1086,0,0,1086,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,6,2,487,1,0,496,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,3,0,598,9,0,610,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,VEMULA,4,3,682,5,0,694,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,19,5,1548,0,1,1573,,,,,,,,
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,3,0,217,0,0,220,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,1,0,0,1,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,7,0,0,7,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,0,1,0,15,16,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,98,0,0,98,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,7,0,104,0,9,120,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,2,0,0,2,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,131,0,0,131,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,1,0,169,0,12,182,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,0,40,40,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,2,0,0,2,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,0,0,26,0,0,26,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,1,0,105,0,0,106,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,0,169,0,0,169,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,11,0,0,11,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,0,0,0,16,16,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,40,0,122,0,71,233,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,15,0,318,2,3,338,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,19,0,0,19,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,0,75,0,0,75,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,TUNI,3,3,560,23,23,612,,,,,,,,
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,0,0,3,0,0,3,,,,,,,,
ANDHRA PRADESH,GUNTUR,ACHAMPETA,3,10,532,3,0,548,,,,,,,,
ANDHRA PRADESH,GUNTUR,AMARAVATHI,1,9,734,4,0,748,,,,,,,,
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,0,0,4,0,0,4,,,,,,,,
ANDHRA PRADESH,GUNTUR,BAPATLA,18,6,3,0,3079,3106,,,,,,,,
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,5,269,0,0,274,,,,,,,,
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,32,0,0,32,,,,,,,,
ANDHRA PRADESH,GUNTUR,CHEBROLE,41,0,56,0,690,787,,,,,,,,
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,2,1,3,0,1108,1114,,,,,,,,
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,8,0,389,71,0,468,,,,,,,,
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,0,40,0,0,40,,,,,,,,
ANDHRA PRADESH,GUNTUR,EDLAPADU,1,2,270,0,1,274,,,,,,,,
ANDHRA PRADESH,GUNTUR,GUNTUR,1,0,41,0,0,42,,,,,,,,
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,13,0,0,13,,,,,,,,
ANDHRA PRADESH,GUNTUR,IPURU,3,4,128,0,15,150,,,,,,,,
ANDHRA PRADESH,GUNTUR,KAREMPUDI,0,0,26,0,0,26,,,,,,,,
ANDHRA PRADESH,GUNTUR,KARLAPALEM,3,0,2,0,1484,1489,,,,,,,,
ANDHRA PRADESH,GUNTUR,KROSURU,1,4,324,0,0,329,,,,,,,,
ANDHRA PRADESH,GUNTUR,MACHAVARAM,0,0,58,0,0,58,,,,,,,,
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,159,0,0,159,,,,,,,,
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,4,0,244,0,1,249,,,,,,,,
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,1,36,0,16,53,,,,,,,,
