-----
{
 "description": "This data provides area-wise details on research and development proposals not found suitable as on 06th June 2013.", 
 "file_name": "Areawise_Research_And_Development_Proposals_Not_Found_Suitable_as_on_06th_June_2013.xls", 
 "title": "Download XLS for Area-wise Research And Development Proposals Not Found Suitable As On 06th June 2013", 
 "url": "http://data.gov.in/sites/default/files/Areawise_Research_And_Development_Proposals_Not_Found_Suitable_as_on_06th_June_2013.xls"
}
-----
"Name of Areas","No. of Projects"
"Agriculture-I",5.0
"Agriculture-II",2.0
"Agriculture-III",14.0
"ANIMAL BIOTECHNOLOGY",24.0
"ANIMAL DIAGNOSTIC AND VACCINE",18.0
"AQUACULTURE AND MARINE BIOTECHNOLOGY",23.0
"BASIC RESEARCH IN MODERN BIOLOGY",13.0
"BIOCARE",2.0
"BIOENGINEERING",41.0
"BIOINFORMATICS R&D PROJECTS",22.0
"BIOPESTICIDES AND CROP MANAGEMENT",15.0
"BIOTECH BASED PROGRAMMES FOR RURAL DEVELOPMENT",1.0
"BIOTECH BASED PROGRAMMES FOR WOMEN",1.0
"BPPD - MICROBIAL BIODIVERSITY",1.0
"BPPD- MICROBIAL AND INDUSTRIAL BIOTECHNOLOGY",28.0
"ENERGY BIOSCIENCES - BIOFUELS",29.0
"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION",48.0
"FOOD AND NUTRITION SECURITY",60.0
"INFRASTRUCTURE FACILITIES",10.0
"MEDICAL BIOTECHNOLOGY - DEVELOPMENTAL AND DISEASE ",42.0
"MEDICAL BIOTECHNOLOGY - HUMAN GENETICS AND GENOME ",19.0
"MEDICAL BIOTECHNOLOGY - INFECTIOUS DISEASES",94.0
"MEDICAL BIOTECHNOLOGY - NON-INFECTIOUS DISEASES",99.0
"MEDICAL BIOTECHNOLOGY - STEM CELL BIOLOGY",26.0
"MEDICAL BIOTECHNOLOGY-VACCINE RESEARCH AND DIAGNOS",3.0
"MEDICINAL AND AROMATIC PLANTS",46.0
"NANOSCIENCE AND NANOTECHNOLOGY APPLICATION IN BIOL",9.0
"NATIONAL BIO-RESOURCE DEVELOPMENT BOARD - BIOPROSPECTING",19.0
"PLANT BIOTECHNOLOGY",17.0
"RNAi TECHNOLOGY",2.0
"SERIBIOTECHNOLOGY",4.0
"Total",737.0
