-----
{
 "description": "The table refers to District wise Potential Utilized through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.13.csv", 
 "title": "Download CSV for Districtwise Potential Utilized through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.13.csv"
}
-----
"State","District","Kharif","Rabi","Perennial","Others","Total"
"ANDAMAN & NICOBARS","NICOBAR",1,3,1,0,4
"ANDHRA PRADESH","ADILABAD",18909,5972,248,34,25163
"ANDHRA PRADESH","ANANTHAPUR",25206,15508,6717,48,47480
"ANDHRA PRADESH","CHITTOOR",52576,40585,1614,63,94837
"ANDHRA PRADESH","CUDDAPAH",11556,7191,1924,59,20729
"ANDHRA PRADESH","EAST GODAVARI",2730,1027,868,17,4642
"ANDHRA PRADESH","GUNTUR",7030,2385,431,10,9856
"ANDHRA PRADESH","KARIMNAGAR",140936,102088,2906,531,246462
"ANDHRA PRADESH","KHAMMAM",29192,9017,0,0,38209
"ANDHRA PRADESH","KRISHNA",11661,8963,3737,1713,26074
"ANDHRA PRADESH","KURNOOL",32871,19205,565,32,52673
"ANDHRA PRADESH","MAHABOOBNAGAR",26392,14402,772,212,41778
"ANDHRA PRADESH","MEDAK",12780,8490,1413,61,22744
"ANDHRA PRADESH","NALGONDA",51076,34965,4249,1168,91459
"ANDHRA PRADESH","NELLORE",12476,13123,4298,9443,39340
"ANDHRA PRADESH","NIZAMABAD",11231,6599,498,43,18373
"ANDHRA PRADESH","PRAKASAM",970,468,50,86,1573
"ANDHRA PRADESH","RANGAREDDY",13133,6552,408,23,20116
"ANDHRA PRADESH","SRIKAKULAM",1422,9061,297,2,10783
"ANDHRA PRADESH","VISAKHAPATNAM",8214,7272,4315,130,19932
"ANDHRA PRADESH","VIZIANAGARAM",1701,9154,560,38,11453
"ANDHRA PRADESH","WARANGAL",112407,54097,4111,1098,171714
"ANDHRA PRADESH","WEST GODAVARI",11405,9603,3955,291,25254
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,1,1
"ARUNACHAL PRADESH","EAST SIANG",0,0,0,0,0
"ARUNACHAL PRADESH","PAPUMPARE",0,0,0,0,0
"ASSAM","BARPETA",26,22,3,3,54
"ASSAM","CACHAR",1,1,0,0,2
"ASSAM","DHUBRI",19,18,4,0,41
"ASSAM","GOALPARA",30,43,0,0,72
"ASSAM","JORHAT",14,2,0,1,17
"ASSAM","KOKRAJHAR",5,2,0,1,8
"ASSAM","LAKHIMPUR",60,23,3,6,92
"ASSAM","MORIGAON",14,12,12,10,48
"ASSAM","NAGOAN",1,0,1,0,2
"ASSAM","SIBSAGAR",0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0
"BIHAR","AURANGABAD",3664,3089,297,323,7374
"BIHAR","BANKA",2484,2789,498,201,5973
"BIHAR","BHAGALPUR",1188,1883,372,198,3641
"BIHAR","BHOJPUR",1367,1242,161,49,2819
"BIHAR","BUXAR",770,753,20,16,1558
"BIHAR","EAST CHAMPARAN",132,4016,0,0,4148
"BIHAR","GAYA",11906,9979,1137,351,23374
"BIHAR","GOPAALGANJ",156,197,8,4,366
"BIHAR","JAMUI",2950,2636,219,163,5967
"BIHAR","JEHANABAD",914,876,163,121,2073
"BIHAR","KAIMUR (BHABUA)",11849,9865,611,342,22667
"BIHAR","KATIHAR",0,6,0,0,6
"BIHAR","LAKHISARAI",137,299,20,10,466
"BIHAR","MADHEPURA",0,0,0,0,0
"BIHAR","MADHUBANI",82,82,12,10,185
"BIHAR","MUNGER",266,1459,62,70,1857
"BIHAR","MUZAFFARPUR",9,17,6,5,37
"BIHAR","NALANDA",18404,18343,2018,797,39563
"BIHAR","NAWADA",1625,3028,496,83,5232
"BIHAR","PATNA",2377,2393,92,87,4949
"BIHAR","ROHTAS(SASARAM)",4988,4531,103,86,9708
"BIHAR","SARAN",163,543,11,37,755
"BIHAR","SHEKHPURA",144,129,29,27,329
"BIHAR","SIWAN",291,576,28,35,930
"BIHAR","VAISHALI",411,580,698,178,1867
"CHHATTISGARH","BASTER",105,1504,2,0,1611
"CHHATTISGARH","BILASPUR",3911,3276,1072,31,8291
"CHHATTISGARH","DANTEWADA",12,161,1,1,175
"CHHATTISGARH","DHAMTARI",1003,1868,23,81,2975
"CHHATTISGARH","DURG",3941,2138,622,215,6916
"CHHATTISGARH","JANJGIR-CHAMPA",2611,2278,1,2,4891
"CHHATTISGARH","JASHPUR",35,2300,2,0,2337
"CHHATTISGARH","KANKER",846,1296,17,9,2168
"CHHATTISGARH","KORBA",106,548,1,0,655
"CHHATTISGARH","KORIA",1,615,0,1,616
"CHHATTISGARH","KVARDHA",797,349,43,8,1197
"CHHATTISGARH","MAHASAMUND",3056,879,23,0,3957
"CHHATTISGARH","RAIGARH",318,959,8,3,1287
"CHHATTISGARH","RAIPUR",3175,3179,27,60,6440
"CHHATTISGARH","RAJNANDGAON",2946,2559,92,75,5672
"CHHATTISGARH","SURGUJA",19,5798,29,3,5848
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",748,252,38,0,1038
"GOA","NORTH GOA",52,470,1381,196,2099
"GOA","SOUTH GOA",34,148,1114,89,1384
"GUJARAT","AHMEDABAD",43990,17530,610,219,62348
"GUJARAT","AMRELI",0,0,0,0,0
"GUJARAT","ANAND",4259,8898,101,5440,18698
"GUJARAT","BANASKANTHA",100444,96196,4345,16650,217634
"GUJARAT","BHARUCH",1611,7637,2888,66,12201
"GUJARAT","BHAVNAGAR",137348,68701,30,0,206079
"GUJARAT","DAHOD",34985,1892,0,1,36878
"GUJARAT","DANG",3323,346,0,0,3669
"GUJARAT","GANDHINAGAR",0,0,0,0,0
"GUJARAT","JAMNAGAR",78755,34429,0,0,113184
"GUJARAT","JUNAGADH",222665,52461,65074,82,340282
"GUJARAT","KACHCHH",38653,13120,5182,3735,60689
"GUJARAT","KHEDA",12320,9625,677,34,22656
"GUJARAT","MEHSANA",1246,2915,592,1101,5854
"GUJARAT","NARMADA",32,913,4408,54,5407
"GUJARAT","NAVSARI",7603,1647,6466,1241,16958
"GUJARAT","PANCHMAHAL",35055,4985,4,6,40050
"GUJARAT","PATAN",251,575,1,145,972
"GUJARAT","PORBANDAR",12,1,0,0,13
"GUJARAT","RAJKOT",72885,15851,134,118,88988
"GUJARAT","SABARKANTHA",79162,98694,4936,291,183083
"GUJARAT","SURAT",8729,1586,33104,0,43418
"GUJARAT","SURENDRANAGAR",14679,14797,22,1,29498
"GUJARAT","VADODARA",23996,35602,4248,4150,67996
"GUJARAT","VALSAD",5693,1991,3095,334,11114
"HARYANA","AMBALA",629,634,0,65,1328
"HARYANA","BHIWANI",4242,11884,93,0,16219
"HARYANA","FATEHABAD",244,240,0,0,484
"HARYANA","GURGAON",592,2354,1,0,2946
"HARYANA","HISSAR",186,191,0,0,377
"HARYANA","JHAJJAR",1580,4659,20,1,6260
"HARYANA","KAITHAL",2629,2657,2,0,5289
"HARYANA","KARNAL",5757,5579,28,22,11387
"HARYANA","MAHENDRAGARH",612,1803,17,0,2433
"HARYANA","PANCHKULA",80,81,0,0,160
"HARYANA","PANIPAT",1618,1642,0,0,3260
"HARYANA","REWARI",589,2017,0,0,2606
"HARYANA","ROHTAK",454,453,0,0,907
"HARYANA","SIRSA",1977,1998,53,0,4029
"HARYANA","SONEPAT",2940,2973,0,0,5913
"HARYANA","YAMUNANAGAR",1160,1023,3,0,2186
"HIMACHAL PRADESH","Bilaspur",43,43,0,0,85
"HIMACHAL PRADESH","Hamirpur",97,98,0,0,195
"HIMACHAL PRADESH","Kangra",224,227,51,0,501
"HIMACHAL PRADESH","Kullu",2,2,0,0,4
"HIMACHAL PRADESH","Mandi",3,3,2,3,11
"HIMACHAL PRADESH","Sirmaur",668,668,133,0,1470
"HIMACHAL PRADESH","Solan",766,1254,11,9,2040
"HIMACHAL PRADESH","Una",327,360,1,2,689
"JAMMU & KASHMIR","ANANTNAG",4,3,0,0,7
"JAMMU & KASHMIR","BADGAM",2,0,0,0,2
"JAMMU & KASHMIR","BARAMULLA",109,6,7,0,122
"JAMMU & KASHMIR","JAMMU",5268,4954,29,5,10256
"JAMMU & KASHMIR","KATHUA",5282,5207,1,0,10490
"JAMMU & KASHMIR","RAJOURI",14,14,0,0,28
"JAMMU & KASHMIR","SRINAGAR",104,41,0,0,145
"JAMMU & KASHMIR","UDHAMPUR",18,17,0,0,35
"JHARKHAND","BOKARO",803,1975,383,192,3353
"JHARKHAND","CHATRA",5726,3055,342,174,9298
"JHARKHAND","DEOGHAR",4031,3817,255,95,8198
"JHARKHAND","DHANBAD",231,871,58,7,1166
"JHARKHAND","DUMKA",3688,6344,274,287,10594
"JHARKHAND","EAST SINGHBHUM",361,267,121,10,759
"JHARKHAND","GARHWA",5602,9447,356,123,15528
"JHARKHAND","GIRIDIH",4631,5548,1390,332,11901
"JHARKHAND","GODDA",3622,4892,514,336,9364
"JHARKHAND","GUMLA",2121,3667,252,180,6220
"JHARKHAND","HAZARIBAGH",5650,7875,355,252,14132
"JHARKHAND","JAMTARA",1897,1570,108,76,3651
"JHARKHAND","KODERMA",1039,942,243,95,2320
"JHARKHAND","LATEHAR",2886,2866,305,99,6157
"JHARKHAND","LOHARDAGA",2203,3746,315,100,6365
"JHARKHAND","PAKUR",83,125,29,4,240
"JHARKHAND","PALAMU",7840,8313,601,698,17453
"JHARKHAND","RANCHI",8228,7763,1444,517,17952
"JHARKHAND","SAHEBGANJ",179,435,31,9,654
"JHARKHAND","SARAIKELA",436,231,526,17,1210
"JHARKHAND","SIMDEGA",507,3499,235,52,4293
"JHARKHAND","WEST SINGHBHUM",330,181,14,2,526
"KARNATAKA","Bagalkote",13525,7907,7471,2799,31702
"KARNATAKA","Bangalore",336,173,137,144,790
"KARNATAKA","Bangalore Rural",3987,494,2684,1497,8662
"KARNATAKA","Belgaum",52333,24885,21522,1978,100718
"KARNATAKA","Bellary",4244,531,368,2388,7530
"KARNATAKA","Bidar",4598,4121,5138,295,14152
"KARNATAKA","Bijapur",38078,30547,9754,4253,82633
"KARNATAKA","Chamaraja Nagara",9380,4004,1027,637,15049
"KARNATAKA","Chikmagalur",792,142,1454,473,2861
"KARNATAKA","Chitradurga",2350,285,516,692,3844
"KARNATAKA","Dakshina Kannada",230,11764,26890,3098,41981
"KARNATAKA","Davanagere",603,97,345,403,1448
"KARNATAKA","Dharwar",311,275,5,10,602
"KARNATAKA","Gadag",2131,1150,233,1154,4668
"KARNATAKA","Gulbarga",13632,9882,3188,1333,28035
"KARNATAKA","Hassan",1727,156,394,414,2691
"KARNATAKA","Haveri",176,49,6,58,289
"KARNATAKA","Kodagu",6,0,67,1,75
"KARNATAKA","Kolar",5291,2740,1656,1644,11330
"KARNATAKA","Koppal",2262,74,21,1702,4059
"KARNATAKA","Mandya",4167,1362,3390,1601,10520
"KARNATAKA","Mysore",2736,638,1462,1832,6668
"KARNATAKA","Raichur",10386,1853,396,4309,16944
"KARNATAKA","Shimoga",2999,30,3111,1908,8048
"KARNATAKA","Tumkur",7395,1268,3666,2414,14742
"KARNATAKA","Udupi",14,7174,13947,1121,22255
"KARNATAKA","Uttara Kannada",617,10,6861,1894,9383
"KERALA","ALAPPUZHA",375,262,695,307,1639
"KERALA","ERANAKULAM",1923,1798,4540,2584,10846
"KERALA","IDDUKKI",484,762,5514,1296,8057
"KERALA","KANNUR",886,581,5901,1078,8445
"KERALA","KASARAGODE",16,145,2505,483,3150
"KERALA","KOLLAM",194,188,420,730,1533
"KERALA","KOTTAYAM",222,273,5848,613,6956
"KERALA","KOZHIKODE",104,88,4196,742,5129
"KERALA","MALAPPURAM",928,953,4363,1055,7299
"KERALA","PALAKKAD",2907,2712,2538,651,8809
"KERALA","PATHANAMTHITTA",50,73,1492,602,2217
"KERALA","THIRUVANANTHAPURAM",614,605,2114,1246,4580
"KERALA","THRISSUR",1232,1422,12088,4667,19410
"KERALA","WAYANAD",529,286,312,53,1179
"MADHYA PRADESH","BALAGHAT",15217,5386,664,132,21398
"MADHYA PRADESH","BARWANI",10304,5158,266,0,15728
"MADHYA PRADESH","BETUL",5249,36703,1213,23,43188
"MADHYA PRADESH","BHIND",2480,48065,112,55,50712
"MADHYA PRADESH","BHOPAL",24,47134,18,13,47189
"MADHYA PRADESH","CHHATARPUR",135,170875,47,5,171062
"MADHYA PRADESH","CHHINDWARA",9015,65880,4228,21,79144
"MADHYA PRADESH","DAMOH",245,69036,15,1,69297
"MADHYA PRADESH","DATIA",3802,48392,346,12,52552
"MADHYA PRADESH","DEWAS",1562,50341,653,6,52561
"MADHYA PRADESH","DHAR",7333,4391,14,3,11742
"MADHYA PRADESH","DINDORI",1,55,1,0,56
"MADHYA PRADESH","GUNA",98,71121,61,0,71280
"MADHYA PRADESH","GWALIOR",4278,23968,25,12,28283
"MADHYA PRADESH","HARDA",56,27583,0,0,27639
"MADHYA PRADESH","HOSHANGABAD",490,125785,50,24,126349
"MADHYA PRADESH","INDORE",76,15418,1467,2,16962
"MADHYA PRADESH","JABALPUR",2192,27799,45,35,30071
"MADHYA PRADESH","JHABUA",2028,1389,4,0,3421
"MADHYA PRADESH","KATNI",2439,20060,57,12,22568
"MADHYA PRADESH","KHANDWA",19948,24991,11078,124,56141
"MADHYA PRADESH","KHARGONE",51988,13795,155,4,65942
"MADHYA PRADESH","MANDLA",1390,1294,251,2,2937
"MADHYA PRADESH","MANDSAUR",839,39724,1209,15,41787
"MADHYA PRADESH","MORENA",1912,65561,929,102,68504
"MADHYA PRADESH","NARSINGHPUR",678,32387,730,91,33886
"MADHYA PRADESH","NEEMUCH",1019,28241,102,1,29362
"MADHYA PRADESH","PANNA",642,12316,13,17,12988
"MADHYA PRADESH","RAISEN",2,22493,0,0,22495
"MADHYA PRADESH","RAJGARH",396,62245,94,17,62752
"MADHYA PRADESH","RATLAM",3155,14321,38,42,17555
"MADHYA PRADESH","REWA",2451,21315,130,15,23911
"MADHYA PRADESH","SAGAR",32,73710,23,1,73765
"MADHYA PRADESH","SATNA",117,32008,148,26,32299
"MADHYA PRADESH","SEHORE",549,48709,783,11,50052
"MADHYA PRADESH","SEONI",10290,37910,63,301,48564
"MADHYA PRADESH","SHAHDOL",26,2791,1,0,2817
"MADHYA PRADESH","SHAJAPUR",130,49566,245,16,49957
"MADHYA PRADESH","SHEOPUR",0,8512,0,0,8512
"MADHYA PRADESH","SHIVPURI",117,72383,8,198,72705
"MADHYA PRADESH","SIDHI",188,23843,104,23948,48084
"MADHYA PRADESH","TIKAMGARH",25272,124931,227,46,150475
"MADHYA PRADESH","UJJAIN",434,22801,9,162,23406
"MADHYA PRADESH","UMARIA",0,4120,4,3,4127
"MADHYA PRADESH","VIDISHA",0,35651,0,0,35651
"MAHARASHTRA","AHMEDNAGAR",194819,124964,43294,11402,374479
"MAHARASHTRA","AKOLA",10344,12118,2033,300,24795
"MAHARASHTRA","AMRAVATI",46153,31953,32598,1733,112437
"MAHARASHTRA","AURANGABAD",101104,46449,5867,6893,160314
"MAHARASHTRA","BEED",30698,18183,5065,48944,102890
"MAHARASHTRA","BHANDARA",16979,6205,223,388,23795
"MAHARASHTRA","BULDANA",67527,51422,1820,269,121039
"MAHARASHTRA","CHANDRAPUR",17323,5339,1405,46,24112
"MAHARASHTRA","DHULE",28105,8314,3128,1225,40772
"MAHARASHTRA","GADCHIROLI",13823,1,0,0,13824
"MAHARASHTRA","GONDIYA",6327,943,31,192,7493
"MAHARASHTRA","HINGOLI",5837,26399,1220,306,33762
"MAHARASHTRA","JALGAON",113736,53240,37152,1921,206050
"MAHARASHTRA","JALNA",59003,38486,5927,1544,104960
"MAHARASHTRA","KOLHAPUR",17403,10444,16758,3299,47904
"MAHARASHTRA","LATUR",20390,22848,17410,419,61067
"MAHARASHTRA","NAGPUR",73572,27527,20632,1893,123625
"MAHARASHTRA","NANDED",16057,22683,10251,860,49852
"MAHARASHTRA","NANDURBAR",15082,8992,2625,797,27496
"MAHARASHTRA","NASHIK",189513,70618,12224,3957,276312
"MAHARASHTRA","OSMANABAD",38348,42147,16515,2173,99183
"MAHARASHTRA","PARBHANI",15585,23614,6440,3803,49442
