-----
{
 "description": "This table gives an over view of physical progress of PMGSY (as on 31 March, 2012) under Bharat Nirman / PMGSY.", 
 "file_name": "Physical_Progress_Of_PMGSY.xls", 
 "title": "Download XLS for Physical Progress Of PMGSY As On 31 March, 2012", 
 "url": "http://data.gov.in/sites/default/files/Physical_Progress_Of_PMGSY.xls"
}
-----
"Unit","Total Eligible","Sanctioned","Completed"
"Habitations ( (in Nos.)",158891.0,114963.0,84414.0
"New Connectivity length (km.)",367673.0,279811.0,209570.0
"Upgradation length",374844.0,164096.0,140930.0
"(UG) (km.)",225111.0,"NA","NA"
"Renewal (Km.)",149733.0,"NA","NA"
