-----
{
 "description": "The table refers to statewise distribution of dugwells according to the farmers holding size. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.3.csv", 
 "title": "Download CSV for State wise Distribution of Dugwells according to the holding size for 2nd census of minor irrigation census", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.3.csv"
}
-----
"State","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH",431898,425767,326547,26895,1211107
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA
"ASSAM",1,7,29,1,38
"BIHAR",186081,120136,59153,5695,371065
"GOA",2809,507,487,88,3891
"GUJARAT",NA,NA,NA,NA,NA
"HARYANA",1754,5826,17017,1407,26004
"HIMACHAL PRADESH",419,347,407,374,1547
"JAMMU & KASHMIR",679,179,338,229,1425
"KARNATAKA",80162,108531,112803,19357,320853
"KERALA",110005,12559,3230,206,126000
"MADHYA PRADESH",146245,289114,548084,120371,1103814
"MAHARASHTRA",NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA
"MEGHALAYA",0,0,0,0,0
"MIZORAM",212,217,60,0,489
"NAGALAND",185,255,88,1,529
"ORISSA",106688,127052,80223,7680,321643
"PUNJAB",1370,2320,7453,487,11630
"RAJASTHAN",93868,174826,671357,70285,1010336
"SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU",674920,349856,216468,20640,1261884
"TRIPURA",546,107,42,2,697
"UTTAR PRADESH",48564,46589,37430,3041,135624
"WEST BENGAL",30072,12853,4102,238,47265
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",157,174,62,6,399
"DAMAN & DIU",NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA
"PONDICHERRY",112,85,23,0,220
"ALL INDIA",1916747,1677307,2085403,277003,5956460
