-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "HaryanaNSDPcurrent.csv", 
 "title": "Download CSV for Haryana Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HaryanaNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","820149","949519","951338","1175828","1163091","1308800","1379519","1464257","1457802","1494476","1663218","1740310"
"Foresty and Logging","4801","4956","6206","8163","7225","8511","9582","9799","10185","10188","10188","14035"
"Fishing","2675","3811","5495","5802","6144","6043","5811","6575","6817","6933","8583","9897"
"Mining and Quarrying","3947","3479","3795","10893","10292","11372","13635","14981","19414","14561","16183","16147"
"Sub total of primary","831572","961765","966834","1200686","1186752","1334726","1408547","1495612","1494218","1526158","1698172","1780389"
"Manufacturing","358878","461633","576381","647276","719754","790098","874958","965972","1118387","1258766","1432231","1683046"
"Registered","233841","317112","409477","458191","514964","559844","629934","698063","833663","952164","1086953","1284277"
"Unregistered","125037","144521","166904","189085","204790","230254","245024","267909","284724","306602","345278","398769"
"Construction","147925","170839","191200","212059","249447","285931","307458","328858","355629","346091","367564","401370"
"Electricity, Gas and water Supply","-13672","-2603","43476","42799","48534","26226","24468","39798","54737","113069","117376","103700"
"Sub total of secondary","493131","629869","811057","902134","1017735","1102255","1206884","1334628","1528753","1717926","1917171","2188116"
"Transport Storage and Communication","119344","134653","151551","184903","204150","258858","300663","346992","419597","482552","563312","665494"
"Railways","13066","15873","18641","20877","20749","22400","31663","29665","38551","52782","50750","61408"
"Transport by other means","94602","101671","111082","137718","147823","184281","214754","265875","316412","369439","437870","518422"
"Storage","1440","2422","3608","2741","2823","4541","6798","7288","11500","6851","7222","7601"
"Communication","10236","14687","18220","23567","32755","47636","47448","44164","53134","53480","67470","78063"
"Trade, hotels and restaurants","246357","296323","348866","445811","500044","520056","623773","824724","962314","1081798","1236447","1504413"
"Banking and Insurance","52188","60721","78762","94482","130345","141190","187155","205391","227033","267259","299134","339218"
"Real estate, ownership of dwelling and business","56261","65596","68487","73443","87235","109907","163945","210434","231565","258778","283388","308130"
"Pubic Administration","45779","53282","60715","73275","83611","137444","138846","140010","147704","154638","170000","192682"
"Other Services","97523","111420","130286","159769","181067","231325","262404","284314","313228","342377","363373","386045"
"Sub total of tertiary","617452","721995","838667","1031683","1186452","1398780","1676786","2011865","2301441","2587402","2915654","3395982"
"State domestic product","1942155","2313629","2616558","3134503","3390939","3835761","4292217","4842105","5324412","5831486","6530997","7364487"

"Figures are in Rs. Lakh"
