-----
{
 "description": "The table refers to Block wise Shallow Tubewells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.8.csv", 
 "title": "Download CSV for Blockwise Shallow Tubewells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,173,2,14,15,0,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,15,104,7,5,9,140
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,17,0,0,17
ANDHRA PRADESH,ADILABAD,BELA,3,0,1,2,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,3,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,4,9,1755,3,1,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,2,0,52,0,0,54
ANDHRA PRADESH,ADILABAD,BOATH,3,0,514,212,1,730
ANDHRA PRADESH,ADILABAD,CHENNUR,6,0,281,0,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,53,0,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,77,8,944,62,0,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,1,0,0,3,103,107
ANDHRA PRADESH,ADILABAD,ICHODA,47,2,221,60,38,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,7,0,50,4,4,65
ANDHRA PRADESH,ADILABAD,JAINAD,134,0,7,0,0,141
ANDHRA PRADESH,ADILABAD,JAIPUR,2,0,109,0,19,130
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,9,0,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,318,143,29,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,31,2,0,33
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,580,31,0,611
ANDHRA PRADESH,ADILABAD,KUNTALA,25,0,721,543,1,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,134,30,0,164
ANDHRA PRADESH,ADILABAD,LOHESRA,6,14,1313,177,0,1510
ANDHRA PRADESH,ADILABAD,MAMDA,59,2,63,740,10,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,14,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,12,0,908,405,0,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,0,3,42,36,13,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,30,6,71,53,110,270
ANDHRA PRADESH,ADILABAD,NIRMAL,61,16,271,87,21,456
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,10,0,0,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,25,5,1462,138,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,268,0,11,0,0,279
ANDHRA PRADESH,ADILABAD,TAMSI,153,17,35,0,0,205
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,17,0,0,17
ANDHRA PRADESH,ADILABAD,TANUR,0,0,596,0,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,6,3,29,0,5,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,2,86,16,0,104
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,1,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,66,0,655,0,0,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,286,0,0,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,1,10,264,70,0,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,266,57,0,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,149,0,0,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,13,1,307,169,0,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,21,12,479,27,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,1,72,477,38,0,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,1,0,435,15,113,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,142,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,6,8,1034,0,0,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,12,5,671,3,0,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,2,527,0,0,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,16,4,1452,13,0,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,1,0,181,75,52,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,70,26,0,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,7,31,771,288,47,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,105,3,219,86,0,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,1,377,6,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,15,1,256,27,1,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,1,0,314,282,1,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,11,1,395,43,1,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,7,4,545,0,7,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,16,0,120,129,1,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,2,0,318,103,2,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,5,0,320,25,0,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,17,2,339,126,2,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,58,16,795,114,0,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,4,2,273,123,0,402
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,9,3,115,282,0,409
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,6,0,97,0,0,103
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,2,34,930,0,0,966
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,2,1,432,43,0,478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,5,8,303,6,0,322
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,1,0,208,159,0,368
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,9,0,256,0,1,266
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,0,0,288,92,0,380
ANDHRA PRADESH,ANANTHAPUR,NARPALA,14,0,262,114,0,390
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,5,0,285,0,0,290
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,18,4,642,14,9,687
ANDHRA PRADESH,ANANTHAPUR,PARIGI,13,10,518,28,0,569
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,11,2,821,894,1,1729
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,32,1,468,213,0,714
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,1,5,394,43,0,443
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,25,8,1443,28,0,1504
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,281,57,0,338
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,1,0,326,0,0,327
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,12,1,172,424,4,613
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,0,518,225,0,744
ANDHRA PRADESH,ANANTHAPUR,RODDAM,2,0,1031,57,0,1090
ANDHRA PRADESH,ANANTHAPUR,ROLLA,24,0,489,23,1,537
ANDHRA PRADESH,ANANTHAPUR,SETTUR,1,0,94,6,0,101
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,52,9,535,97,0,693
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,33,0,371,25,2,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,1,0,381,0,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,4,3,919,49,10,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,9,0,314,82,0,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,6,0,77,50,0,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,1,1,155,16,2,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,7,2,121,68,0,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,7,2,150,0,0,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,0,72,687,0,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,7,4,1195,0,0,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,20,0,189,34,0,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,0,6,311,53,12,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1,1,84,13,0,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,13,104,3,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,11,0,63,40,0,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,16,3,659,80,2,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,0,18,46,0,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,2,0,77,16,1,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,143,4,0,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,1,82,21,0,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,0,4,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,22,0,0,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,54,7,0,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,15,1,311,309,0,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,4,1,204,161,1,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,434,19,0,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1,1,40,59,0,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,979,0,0,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,22,0,0,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,2,2,166,8,0,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,7,0,650,99,0,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,2,70,37,0,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,12,2,469,28,27,538
ANDHRA PRADESH,CHITTOOR,NAGARI,2,0,366,206,1,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,3,1,312,103,16,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,1,0,147,35,0,183
ANDHRA PRADESH,CHITTOOR,NINDRA,27,5,157,678,3,870
ANDHRA PRADESH,CHITTOOR,PAKALA,1,3,293,14,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,1,0,124,73,6,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,1,117,33,0,151
