-----
{
 "description": "The table refers to state wise distribution of surface lift schemes according to construction over the years. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.1_1.csv", 
 "title": "Download CSV for Statewise Distribution of surface lift schemes according to construction over the years for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.1_1.csv"
}
-----
State,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,8202,1237,1311,1546,2201,1849,1382,1698,19426
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,3931,1159,1471,1118,764,348,220,99,9110
BIHAR,7041,339,331,392,1109,931,544,379,11066
GOA,452,42,36,73,37,25,34,53,752
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,167,3,7,2,2,1,0,0,182
HIMACHAL PRADESH,402,25,19,11,38,16,19,27,557
JAMMU & KASHMIR,289,29,14,9,4,2,0,4,351
KARNATAKA,16211,2413,2402,2786,3293,2024,1346,1873,32348
KERALA,4186,874,878,1093,1376,1183,912,762,11264
MADHYA PRADESH,105664,6625,7864,10302,19712,12338,12008,14362,188875
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,8,0,0,0,0,2,7,3,20
MEGHALAYA,7,0,3,1,0,0,0,4,15
MIZORAM,6,1,0,1,0,1,1,2,12
NAGALAND,2,0,0,0,0,0,7,10,19
ORISSA,13749,973,929,1087,1255,901,643,1067,20604
PUNJAB,505,38,87,56,37,18,12,11,764
RAJASTHAN,160,21,15,24,13,15,29,12,289
SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,8975,281,130,127,1478,347,163,76,11577
TRIPURA,283,58,65,50,51,54,76,192,829
UTTAR PRADESH,1278,200,276,308,425,369,314,296,3466
WEST BENGAL,56273,3580,3038,4186,3589,3021,2593,7365,83645
ANDAMAN & NICOBARS,421,163,131,125,119,76,62,113,1210
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,23,4,4,5,5,5,8,0,54
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,404,0,2,0,0,0,0,0,406
ALL INDIA,228639,18065,19013,23302,35508,23526,20380,28408,396841
