-----
{
 "description": "This data pertains to revenue expenditure (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Expenditure_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Expenditure FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Expenditure_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to capital receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Capital_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Capital Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Capital_Receipts_FY_2000-11.xls"
}
-----
"Major Head ","Cat1","Cat2","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"MH 4000","A","U","Union Govt. ",1724.0405,2125.3988,3646.4749,3150.6901,16952.6865,4424.42,1580.6296,533.5356,38795.5661,565.933,24581.4308,22846.0682
"MH 4000","B","UT","UT Puducherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.26,0.0
"MH 4000","B","G","Andhra Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1889.3213,6557.7127,0.0,0.0,0.0
"MH 4000","B","S","Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","S","Assam",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Bihar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Chattisgarh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9625,1.7827,2.3068,2.5656
"MH 4000","B","UT","NCT Delhi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Goa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Gujarat",15.608,22.3487,1.5,52.0011,17.954,5.8953,7.9393,2.691,94.874,20.5977,136.3029,91.1767
"MH 4000","B","G","Haryana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1507,6.7954,9.3889,8.004
"MH 4000","B","S","Himachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.8507
"MH 4000","B","S","Jammu and Kashmir",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.095,0.0
"MH 4000","B","G","Jharkhand",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Karnataka",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.7804,181.1412,69.7913,71.81
"MH 4000","B","G","Kerala",2.0528,0.0,0.0,3.5011,0.0,0.0229,0.0,1.9416,7.5337,9.1117,48.9623,24.6108
"MH 4000","B","G","Madhya Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1892,11.0685,24.0002,21.6944,366.5461
"MH 4000","B","G","Maharastra",0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.1081,0.0,18.013,25.0658,17.2792
"MH 4000","B","S","Manipur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","S","Meghalaya",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","S","Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","S","Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Orissa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Punjab",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092,1.1176,0.5041,0.4449
"MH 4000","B","G","Rajasthan",0.0,0.0,0.0,0.0,4.6794,0.0,0.8128,0.0,1.1596,4.2057,8.9384,13.4213
"MH 4000","B","S","Sikkim",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Tamil Nadu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","S","Tripura",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","Uttar Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","S","Uttarakhand",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH 4000","B","G","West Bengal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
