-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "BiharNSDPcurrent_1.csv", 
 "title": "Download CSV for Bihar Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/BiharNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","1862279","1857522","2460652","2411559","3326819","3290458","4210141","5452027","6171620"
"Foresty and Logging","268864","275817","306671","307155","317298","319926","346933","373039","401074"
"Fishing","98995","102224","115212","124939","202177","206970","201061","275686","320417"
"Ag and Allied","2230138","2235563","2882535","2843653","3846295","3817354","4758135","6100752","6893111"
"Mining and Quarrying","3485","7917","5851","6221","11393","9406","9039","9566","9561"
"Sub total of primary","2233623","2243480","2888386","2849874","3857688","3826760","4767174","6110318","6902672"
"Manufacturing","343745","329161","382239","534971","725531","689464","909279","1064654","1248861"
"Registered","60924","15957","6213","88927","260320","195964","360611","453453","568405"
"Unregistered","282821","313204","376026","446044","465212","493500","548667","611201","680457"
"Construction","490620","634883","856070","1098590","1376714","1801120","2120010","2525096","2924337"
"Electricity, Gas and water Supply","65218","64478","61260","73878","77261","75971","101310","164104","192311"
"Sub total of secondary","899583","1028522","1299569","1707438","2179506","2566555","3130598","3753854","4365510"
"Industry","903068","1036439","1305420","1713659","2190899","2575961","3139637","3763420","4375072"
"Transport Storage and Communication","388508","431909","510802","585533","668645","804968","904671","1062811","1200389"
"Railways","99011","109882","144649","173701","169701","215157","212346","234705","259418"
"Transport by other means","191198","212210","249289","286430","355465","414458","518345","670016","796297"
"Storage","6115","6406","7652","8936","10690","12830","14867","17261","20028"
"Communication","92185","103410","109213","116465","132789","162522","159112","140829","124646"
"Trade, hotels and restaurants","1610622","1586243","2046937","2488432","3062621","3798450","4582738","5813394","7375284"
"Banking and Insurance","254054","268247","313623","346674","388988","485750","626278","769133","944572"
"Real estate, ownership of dwelling and business","246978","300420","371315","441947","501515","664494","830518","1051439","1332688"
"Pubic Administration","419616","442258","471256","511764","716956","851858","1036267","1260401","1398325"
"Other Services","963705","1113327","1231248","1353628","1593091","1978669","2108689","2530536","3215852"
"Sub total of tertiary","3883483","4142404","4945182","5727978","6931817","8584189","10089162","12487713","15467111"
"State domestic product","7016688","7414407","9133137","10285290","12969011","14977503","17986934","22351885","26735293"

"Figures are in Rs. Lakh"
