-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.15.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"ANDHRA PRADESH","ADILABAD",11922,1612,39,1175,40,2866,14788
"ANDHRA PRADESH","ANANTHAPUR",14768,2125,72,15280,758,18235,33003
"ANDHRA PRADESH","CHITTOOR",8999,1797,17,8307,10,10131,19130
"ANDHRA PRADESH","CUDDAPAH",10705,1022,292,4593,101,6008,16713
"ANDHRA PRADESH","EAST GODAVARI",20310,1072,182,106,1453,2813,23123
"ANDHRA PRADESH","GUNTUR",18031,525,49,139,357,1070,19101
"ANDHRA PRADESH","KARIMNAGAR",9971,183,49,6328,488,7048,17019
"ANDHRA PRADESH","KHAMMAM",4287,56,0,3047,0,3103,7390
"ANDHRA PRADESH","KRISHNA",11311,433,231,971,592,2227,13538
"ANDHRA PRADESH","KURNOOL",11161,376,43,3797,165,4381,15542
"ANDHRA PRADESH","MAHABOOBNAGAR",29616,34646,5,10281,0,44932,74548
"ANDHRA PRADESH","MEDAK",46526,1260,67,38726,3,40056,86582
"ANDHRA PRADESH","NALGONDA",20797,4843,27,27535,1363,33768,54565
"ANDHRA PRADESH","NELLORE",22278,247,41,6279,185,6752,29030
"ANDHRA PRADESH","NIZAMABAD",82362,10780,119,420,2267,13586,95948
"ANDHRA PRADESH","PRAKASAM",5852,47,1,15376,0,15424,21276
"ANDHRA PRADESH","RANGAREDDY",10855,1074,96,21526,79,22775,33630
"ANDHRA PRADESH","SRIKAKULAM",5023,328,28,922,37,1315,6338
"ANDHRA PRADESH","VISAKHAPATNAM",4229,213,1388,1276,3,2880,7109
"ANDHRA PRADESH","VIZIANAGARAM",2869,132,3,1454,459,2048,4917
"ANDHRA PRADESH","WARANGAL",15940,1416,144,9024,1710,12294,28234
"ANDHRA PRADESH","WEST GODAVARI",11572,856,451,1405,1195,3907,15479
"ASSAM","BARPETA",3372,7,2766,12,3512,6297,9669
"ASSAM","BONGAIGAON",4751,0,0,0,1495,1495,6246
"ASSAM","DARRANG",5667,0,2,0,92,94,5761
"ASSAM","DHEMAJI",517,0,0,0,276,276,793
"ASSAM","DHUBRI",695,17,597,54,8072,8740,9435
"ASSAM","DIBRUGARH",5,0,0,0,4147,4147,4152
"ASSAM","GOALPARA",2188,4,200,295,100,599,2787
"ASSAM","GOLAGHAT",345,0,0,0,1925,1925,2270
"ASSAM","HAILAKANDI",0,0,1,0,0,1,1
"ASSAM","JORHAT",692,230,14,12,283,539,1231
"ASSAM","KAMRUP",4272,0,3,1,2458,2462,6734
"ASSAM","KARBIANGLONG",0,0,0,0,65,65,65
"ASSAM","KARIMGANJ",0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR",9,39,91,167,2124,2421,2430
"ASSAM","LAKHIMPUR",379,21,99,10,465,595,974
"ASSAM","MORIGAON",5394,0,0,0,2,2,5396
"ASSAM","NAGOAN",1055,29,254,60,5169,5512,6567
"ASSAM","NALBARI",2247,164,212,201,554,1131,3378
"ASSAM","SIBSAGAR",876,11,76,72,806,965,1841
"ASSAM","SONITPUR",1517,32,68,223,685,1008,2525
"ASSAM","TINSUKIA",1112,0,0,0,1025,1025,2137
"BIHAR","ARARIA",2210,2374,7363,1057,113,10907,13117
"BIHAR","AURANGABAD",1,1355,3683,2021,744,7803,7804
"BIHAR","BANKA",683,140,1455,2980,78,4653,5336
"BIHAR","BEGUSARAI",12407,539,4103,681,2061,7384,19791
"BIHAR","BHAGALPUR",6347,341,867,3630,646,5484,11831
"BIHAR","BHOJPUR",8069,1093,4166,1170,3345,9774,17843
"BIHAR","BUXAR",1681,1374,1065,1071,7696,11206,12887
"BIHAR","DARBHANGA",0,0,1401,6,10692,12099,12099
"BIHAR","EAST CHAMPARAN",12289,3251,8412,686,8811,21160,33449
"BIHAR","GAYA",1,2464,3617,2853,14799,23733,23734
"BIHAR","GOPAALGANJ",5688,831,5404,1556,7233,15024,20712
"BIHAR","JAMUI",1478,361,612,1011,500,2484,3962
"BIHAR","JEHANABAD",4524,3070,8536,1630,1395,14631,19155
"BIHAR","KAIMUR (BHABUA)",4999,3051,2110,999,912,7072,12071
"BIHAR","KATIHAR",19037,1194,3218,332,10107,14851,33888
"BIHAR","KHAGARIA",8366,1507,2030,805,1060,5402,13768
"BIHAR","KISHANGANJ",4314,1410,4544,14,35,6003,10317
"BIHAR","LAKHISARAI",11,372,899,517,5260,7048,7059
"BIHAR","MADHEPURA",5677,664,2194,748,7766,11372,17049
"BIHAR","MADHUBANI",3451,2623,3056,1120,4205,11004,14455
"BIHAR","MUNGER",942,100,228,1713,266,2307,3249
"BIHAR","MUZAFFARPUR",7973,2594,13375,3225,6067,25261,33234
"BIHAR","NALANDA",10835,1747,4778,2547,156,9228,20063
"BIHAR","NAWADA",1,1963,1409,5875,936,10183,10184
"BIHAR","PATNA",0,23692,3032,248,5,26977,26977
"BIHAR","PURNIA",11371,927,8943,205,218,10293,21664
"BIHAR","ROHTAS(SASARAM)",4443,2506,3691,1373,8500,16070,20513
"BIHAR","SAHARSA",5317,1794,2001,9,2145,5949,11266
"BIHAR","SAMASTIPUR",21440,1299,5846,319,1446,8910,30350
"BIHAR","SARAN",6321,43,3350,12579,46,16018,22339
"BIHAR","SHEKHPURA",621,464,1323,1672,612,4071,4692
"BIHAR","SHEOHAR",2210,38,238,24,3210,3510,5720
"BIHAR","SITAMARHI",6187,1110,2824,1259,5290,10483,16670
"BIHAR","SIWAN",12,1,1449,1350,24745,27545,27557
"BIHAR","SUPAUL",9411,1321,1993,239,964,4517,13928
"BIHAR","VAISHALI",12681,2392,4127,803,4571,11893,24574
"BIHAR","WEST CHAMPARAN",8,1,16730,7,83,16821,16829
"CHANDIGARH","UT CHANDIGARH",132,0,0,0,0,0,132
"CHHATTISGARH","BASTER",0,0,0,20,326,346,346
"CHHATTISGARH","BILASPUR",3219,352,23,24,9709,10108,13327
"CHHATTISGARH","DANTEWADA",0,0,0,2,29,31,31
"CHHATTISGARH","DHAMTARI",1,18,7,2955,5628,8608,8609
"CHHATTISGARH","DURG",21,851,289,5386,7784,14310,14331
"CHHATTISGARH","JANJGIR-CHAMPA",2001,43,4,89,6279,6415,8416
"CHHATTISGARH","JASHPUR",16,0,0,1,76,77,93
"CHHATTISGARH","KANKER",0,14,43,76,761,894,894
"CHHATTISGARH","KORBA",36,0,0,2,164,166,202
"CHHATTISGARH","KORIA",6,1,2,2,63,68,74
"CHHATTISGARH","KVARDHA",0,359,18,37,1677,2091,2091
"CHHATTISGARH","MAHASAMUND",0,756,51,451,1160,2418,2418
"CHHATTISGARH","RAIGARH",1641,2199,46,318,12845,15408,17049
"CHHATTISGARH","RAIPUR",277,138,9,774,5774,6695,6972
"CHHATTISGARH","RAJNANDGAON",212,3,6,57,869,935,1147
"CHHATTISGARH","SURGUJA",28,5,2,21,806,834,862
"DELHI","ALIPUR",4611,194,5,3,1074,1276,5887
"DELHI","NAJAFGARH",3068,21,8,14,11,54,3122
"DELHI","NANGLOI",526,57,0,17,42,116,642
"DELHI","SHADARA-NORTHEAST",61,31,11,6,35,83,144
"DELHI","SHAHDARA-EAST",507,0,0,0,0,0,507
"GOA","NORTH GOA",10,0,0,1,2,3,13
"GOA","SOUTH GOA",12,1,0,3,0,4,16
