-----
{
 "description": "The table refers to Statewise Distribution of Dugwells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.3.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.3.csv"
}
-----
"State","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH",433972,433256,290320,16256,1173804
"ARUNACHAL PRADESH",1,0,1,0,2
"ASSAM",58,72,13,6,149
"BIHAR",64307,42706,21659,2076,130748
"CHHATTISGARH",25842,31553,49242,4158,110795
"GOA",3587,614,450,60,4711
"GUJARAT",275883,312844,323998,12566,925291
"HARYANA",3152,3447,8610,2542,17751
"HIMACHAL PRADESH",444,403,450,565,1862
"JAMMU & KASHMIR",703,795,453,208,2159
"JHARKHAND",191613,97104,23279,3312,315308
"KARNATAKA",149621,106710,69997,1082,327410
"KERALA",149647,13831,1613,102,165193
"MADHYA PRADESH",185519,376858,627523,61325,1251225
"MAHARASHTRA",589023,523497,496340,36145,1645005
"MANIPUR",0,0,0,0,0
"MEGHALAYA",1,4,6,0,11
"NAGALAND",117,106,55,5,283
"ORISSA",143641,147414,79658,6418,377131
"PUNJAB",531,891,1336,166,2924
"RAJASTHAN",107608,264536,690516,77113,1139773
"TAMIL NADU",854528,487345,289283,13948,1645104
"TRIPURA",198,30,5,2,235
"UTTAR PRADESH",41933,46715,32651,2583,123882
"UTTARANCHAL",191,205,292,30,718
"WEST BENGAL",27,33794,2,0,33823
"ANDAMAN & NICOBARS",0,0,7,1,8
"DADRA & NAGAR HAVELI",279,184,94,15,572
"PONDICHERRY",49,22,7,0,78
"ALL INDIA",3222475,2924936,3007860,240684,9395955
