-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "SikkimGSDPconst_1.csv", 
 "title": "Download CSV for Sikkim Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/SikkimGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","12856","12839","13899","14392","14691","10994","11246","11864","12206","14344","15292","15702","16681"
"Foresty and Logging","917","941","969","1007","1047","1082","1129","1202","1255","1268","1294","1331","1376"
"Fishing","30","30","43","43","43","43","43","43","43","46","46","46","47"
"Mining and Quarrying","93","99","100","107","98","119","90","117","58","23","27","30","30"
"Sub total of primary","13896","13909","15011","15549","15879","12238","12508","13226","13562","15681","16659","17109","18134"
"Manufacturing","2205","2136","2253","2365","2370","2386","2384","2397","2400","2397","2400","2411","2419"
"Registered","931","891","935","970","981","993","1006","1006","994","996","993","994","994"
"Unregistered","1274","1245","1318","1395","1389","1393","1378","1391","1406","1401","1407","1417","1425"
"Construction","5160","5272","6289","6851","7085","7130","7951","8141","10320","11336","13294","15597","17508"
"Electricity, Gas and water Supply","1015","1041","1063","1180","1282","1497","1939","4348","4588","4321","3887","3803","3803"
"Sub total of secondary","8380","8449","9605","10396","10737","11013","12274","14886","17308","18054","19581","21811","23730"
"Transport Storage and Communication","887","1074","1122","1352","1527","1731","1836","2001","2259","2717","3298","3564","4074"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","887","1074","1122","1352","1527","1731","1836","2001","2259","2717","3298","3564","4074"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","2997","2909","3144","3568","3843","3081","3023","3301","3340","3668","3878","3963","4186"
"Banking and Insurance","514","569","630","769","1036","1108","1381","1582","1832","2279","2448","2630","2996"
"Real estate, ownership of dwelling and business","3461","3558","3661","3759","3927","4062","4212","4380","4543","4706","4880","5064","5254"
"Pubic Administration","5646","5586","5834","6135","7320","10604","10752","10765","11228","12650","13750","14732","15702"
"Other Services","4489","4894","5663","6058","6779","10803","10503","9960","10244","10876","11270","11685","11946"
"Sub total of tertiary","17994","18590","20054","21641","24432","31389","31707","31989","33446","36896","39524","41638","44158"
"State domestic product","40270","40949","44672","47586","51048","54641","56489","60102","64316","70634","75765","80557","86022"

"Figures are in Rs. Lakh"
