-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "JammuKashmirGSDPcurrent.csv", 
 "title": "Download CSV for Jammu &amp; Kashmir Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JammuKashmirGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-05","2005-06"
"Agriculture","176668","223440","231209","280455","299232","330058","360670","371815","394839","460201","502002","542906","592201"
"Foresty and Logging","28534","26297","34343","32721","31923","33298","47014","46539","52523","56723","52567","56850","62012"
"Fishing","3201","3557","3894","4454","4688","4779","11665","11343","11570","13206","14253","15415","16815"
"Mining and Quarrying","2979","1689","2462","2852","2131","2728","3185","2236","2275","2298","2480","2682","2926"
"Sub total of primary","211382","254983","271908","320482","337974","370863","422534","431933","461207","532428","571302","617853","673954"
"Manufacturing","49828","45594","54275","49344","44918","50028","85922","65649","74687","81170","87398","96217","104953"
"Registered","19327","10719","15866","17981","17067","20138","18723","19642","21135","22900","24422","26886","29327"
"Unregistered","30501","34875","38409","31363","27851","29890","67199","46007","53552","58270","62976","69331","75626"
"Construction","74692","72971","107076","117076","116632","127117","138382","198403","163908","185676","203810","224375","244749"
"Electricity, Gas and water Supply","10548","8630","6294","941","27399","27399","28782","3719","34940","42316","46681","51391","56057"
"Sub total of secondary","135068","127195","167645","167361","188949","204544","253086","267771","273535","309162","337889","371983","405759"
"Transport Storage and Communication","29597","33343","41802","52976","61779","54840","89737","113029","122415","120121","140530","153003","166896"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","29597","33343","41802","52976","61779","54840","89737","113029","122415","120121","140530","153003","166896"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","71209","73741","84675","98813","110334","117602","137786","132762","145484","164327","172966","188310","205409"
"Banking and Insurance","15574","15957","24156","24118","27319","30255","50169","53351","72962","82492","98101","106808","116506"
"Real estate, ownership of dwelling and business","49226","53759","56635","60261","67659","70229","76344","83338","98973","102281","114494","124656","135975"
"Pubic Administration","69534","78356","92525","106619","144741","194410","224846","237484","254153","280581","287793","313336","341787"
"Other Services","52678","60334","70333","81804","89819","98783","141641","155291","163981","179923","194493","211755","230982"
"Sub total of tertiary","287818","315490","370126","424591","501651","566119","720523","775255","857968","929725","1008377","1097868","1197555"
"State domestic product","634268","697668","809679","912434","1028574","1141526","1396143","1474959","1592710","1771315","1917568","2087704","2277268"

"Figures are in Rs. Lakh"
