-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Others","Total"
"ANDHRA PRADESH","ADILABAD",0,0,0,21,47,68
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,561,561
"ANDHRA PRADESH","CHITTOOR",36,8,1,607,28281,28933
"ANDHRA PRADESH","CUDDAPAH",127,30,55,2871,17197,20280
"ANDHRA PRADESH","EAST GODAVARI",117,0,0,66,3904,4087
"ANDHRA PRADESH","GUNTUR",4,1,0,24,2425,2454
"ANDHRA PRADESH","KARIMNAGAR",85,0,0,2,251,338
"ANDHRA PRADESH","KHAMMAM",23,34,0,0,1055,1112
"ANDHRA PRADESH","KRISHNA",38,3,2,17,895,955
"ANDHRA PRADESH","KURNOOL",25,38,2,85,2427,2577
"ANDHRA PRADESH","MEDAK",0,0,0,37,502,539
"ANDHRA PRADESH","NALGONDA",0,0,0,0,62,62
"ANDHRA PRADESH","NELLORE",0,0,0,8,325,333
"ANDHRA PRADESH","NIZAMABAD",0,0,0,0,10,10
"ANDHRA PRADESH","PRAKASAM",60,30,12,328,1264,1694
"ANDHRA PRADESH","RANGAREDDY",14,12,7,106,1414,1553
"ANDHRA PRADESH","SRIKAKULAM",0,0,0,44,13,57
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,0,2,6,8
"ANDHRA PRADESH","WARANGAL",26,0,8,166,587,787
"ANDHRA PRADESH","WEST GODAVARI",120,0,0,434,20520,21074
"ARUNACHAL PRADESH","PAPUMPARE",3,0,0,0,0,3
"ASSAM","BARPETA",1,1,0,9,0,11
"ASSAM","BONGAIGAON",3,0,0,12,2,17
"ASSAM","CACHAR",2,0,0,0,0,2
"ASSAM","DARRANG",0,0,0,131,0,131
"ASSAM","DHEMAJI",12,3,0,0,0,15
"ASSAM","DHUBRI",3,1,1,11,0,16
"ASSAM","DIBRUGARH",3,1,0,5,0,9
"ASSAM","GOALPARA",22,1,0,3,3,29
"ASSAM","GOLAGHAT",11,0,0,1,6,18
"ASSAM","HAILAKANDI",7,0,0,0,0,7
"ASSAM","JORHAT",85,1,1,4,10,101
"ASSAM","KAMRUP",31,1,0,0,1,33
"ASSAM","KARBIANGLONG",2,0,0,0,1,3
"ASSAM","KARIMGANJ",3,0,0,8,0,11
"ASSAM","KOKRAJHAR",2,0,0,2,0,4
"ASSAM","LAKHIMPUR",90,1,0,1,3,95
