-----
{
 "description": "The table refers to District wise Potential Utilized through Deep Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.12.csv", 
 "title": "Download CSV for Districtwise Potential Utilized through Deep Tubewells", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.12.csv"
}
-----
"State","District","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH","ADILABAD",147,30,0,0,178
"ANDHRA PRADESH","ANANTHAPUR",691,605,0,0,1296
"ANDHRA PRADESH","CHITTOOR",20638,13525,922,6,35090
"ANDHRA PRADESH","CUDDAPAH",28119,21468,4450,423,54460
"ANDHRA PRADESH","EAST GODAVARI",11548,7811,4776,111,24246
"ANDHRA PRADESH","GUNTUR",11570,183,0,0,11754
"ANDHRA PRADESH","KARIMNAGAR",641,275,38,0,955
"ANDHRA PRADESH","KHAMMAM",2619,890,0,0,3509
"ANDHRA PRADESH","KRISHNA",1985,1744,628,344,4701
"ANDHRA PRADESH","KURNOOL",4695,3147,62,2,7906
"ANDHRA PRADESH","MEDAK",160,145,424,0,729
"ANDHRA PRADESH","NALGONDA",47,20,37,1,104
"ANDHRA PRADESH","NELLORE",179,98,120,112,509
"ANDHRA PRADESH","NIZAMABAD",9,0,2,0,11
"ANDHRA PRADESH","PRAKASAM",2536,68,116,0,2720
"ANDHRA PRADESH","RANGAREDDY",1032,567,113,34,1747
"ANDHRA PRADESH","SRIKAKULAM",4,145,0,0,149
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,8,0,9
"ANDHRA PRADESH","WARANGAL",1055,303,9,6,1374
"ANDHRA PRADESH","WEST GODAVARI",39053,31869,18774,1365,91060
"ARUNACHAL PRADESH","PAPUMPARE",10,0,0,0,10
"ASSAM","BARPETA",11,16,2,2,29
"ASSAM","BONGAIGAON",68,28,0,0,97
"ASSAM","CACHAR",20,12,0,0,32
"ASSAM","DARRANG",662,210,25,20,917
"ASSAM","DHEMAJI",81,59,0,0,140
"ASSAM","DHUBRI",39,64,0,15,118
"ASSAM","DIBRUGARH",117,111,0,0,228
"ASSAM","GOALPARA",381,126,0,0,506
"ASSAM","GOLAGHAT",104,53,0,50,207
"ASSAM","HAILAKANDI",0,0,0,0,0
"ASSAM","JORHAT",1139,460,3,67,1670
"ASSAM","KAMRUP",423,311,0,2,735
"ASSAM","KARBIANGLONG",11,11,0,0,22
"ASSAM","KARIMGANJ",23,11,3,4,40
"ASSAM","KOKRAJHAR",20,5,0,0,25
"ASSAM","LAKHIMPUR",408,77,2,7,494
"ASSAM","MORIGAON",45,30,0,0,75
"ASSAM","NAGOAN",355,210,385,0,950
"ASSAM","NALBARI",197,30,0,0,227
"ASSAM","NC HILLS",34,0,0,0,34
"ASSAM","SIBSAGAR",129,30,1,1,161
"ASSAM","SONITPUR",38,24,0,0,62
"ASSAM","TINSUKIA",266,153,0,0,419
"BIHAR","AURANGABAD",182,123,6,20,330
"BIHAR","BANKA",5,5,0,0,10
"BIHAR","BEGUSARAI",472,1630,118,96,2317
"BIHAR","BHAGALPUR",825,848,120,31,1825
"BIHAR","BHOJPUR",35,85,42,22,184
"BIHAR","BUXAR",260,413,21,5,698
"BIHAR","DARBHANGA",1513,2525,134,242,4414
"BIHAR","EAST CHAMPARAN",930,1114,161,87,2292
"BIHAR","GAYA",216,117,31,10,374
"BIHAR","GOPAALGANJ",101,293,33,15,442
"BIHAR","JAMUI",0,0,0,0,1
"BIHAR","JEHANABAD",22,5,0,0,27
"BIHAR","KAIMUR (BHABUA)",2288,1713,189,100,4290
"BIHAR","KATIHAR",428,936,17,29,1410
"BIHAR","KHAGARIA",317,1208,149,0,1674
"BIHAR","KISHANGANJ",108,153,1,29,291
"BIHAR","LAKHISARAI",38,41,7,0,86
"BIHAR","MADHEPURA",85,115,4,16,220
"BIHAR","MADHUBANI",825,2261,248,105,3439
"BIHAR","MUNGER",0,32,0,0,32
"BIHAR","MUZAFFARPUR",433,564,151,87,1236
"BIHAR","NALANDA",2857,2660,3,0,5520
"BIHAR","NAWADA",1336,636,219,58,2249
"BIHAR","PATNA",1200,1499,110,157,2965
"BIHAR","PURNIA",73,111,0,0,184
"BIHAR","ROHTAS(SASARAM)",1468,1258,99,161,2986
"BIHAR","SAHARSA",25,50,0,0,75
"BIHAR","SAMASTIPUR",349,673,17,25,1063
"BIHAR","SARAN",83,144,2,21,250
"BIHAR","SHEKHPURA",965,1765,270,227,3226
"BIHAR","SHEOHAR",45,79,12,4,139
"BIHAR","SITAMARHI",3215,6452,281,764,10712
"BIHAR","SIWAN",78,169,8,9,265
"BIHAR","SUPAUL",36,213,4,0,254
"BIHAR","VAISHALI",175,322,51,59,608
"BIHAR","WEST CHAMPARAN",59,61,14,5,139
"CHANDIGARH","UT CHANDIGARH",616,618,38,97,1369
"CHHATTISGARH","BASTER",8,9,7,0,25
"CHHATTISGARH","BILASPUR",1303,907,4,3,2217
