-----
{
 "description": "The table refers to District wise Potential Utilized through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.13.csv", 
 "title": "Download CSV for Districtwise Potential Utilized through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.13.csv"
}
-----
"State","District","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH","ADILABAD",16441,7765,164,38,24409
"ANDHRA PRADESH","ANANTHAPUR",33488,21967,12224,86,67765
"ANDHRA PRADESH","CHITTOOR",14069,13445,1229,27,28770
"ANDHRA PRADESH","CUDDAPAH",34161,22568,1170,65,57964
"ANDHRA PRADESH","EAST GODAVARI",21472,18411,19386,1260,60528
"ANDHRA PRADESH","GUNTUR",14297,3204,9233,14,26747
"ANDHRA PRADESH","KARIMNAGAR",14092,10007,158,69,24326
"ANDHRA PRADESH","KHAMMAM",8570,2625,0,0,11196
"ANDHRA PRADESH","KRISHNA",13443,3183,2527,6669,25822
"ANDHRA PRADESH","KURNOOL",24278,15906,824,50,41058
"ANDHRA PRADESH","MAHABOOBNAGAR",55986,34941,3375,228,94530
"ANDHRA PRADESH","MEDAK",54924,34191,6898,399,96411
"ANDHRA PRADESH","NALGONDA",29547,20455,3568,638,54208
"ANDHRA PRADESH","NELLORE",21646,23127,4828,3926,53527
"ANDHRA PRADESH","NIZAMABAD",109235,68697,3426,308,181665
"ANDHRA PRADESH","PRAKASAM",8811,6684,1017,57,16569
"ANDHRA PRADESH","RANGAREDDY",21061,12693,1677,154,35585
"ANDHRA PRADESH","SRIKAKULAM",2804,5364,1637,66,9871
"ANDHRA PRADESH","VISAKHAPATNAM",3630,2170,5316,33,11148
"ANDHRA PRADESH","VIZIANAGARAM",1780,3054,2678,238,7750
"ANDHRA PRADESH","WARANGAL",22841,14082,326,418,37667
"ANDHRA PRADESH","WEST GODAVARI",19053,14090,8678,1050,42872
"ASSAM","BARPETA",7866,8226,426,473,16992
"ASSAM","BONGAIGAON",5545,3773,217,435,9970
"ASSAM","DARRANG",5323,5428,432,2815,13998
