-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.7.csv"
}
-----
"State","District","Government fund","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Subsidy only","Others","Total"
"ANDHRA PRADESH","ADILABAD",8567,4651,983,539,447,6,15193
"ANDHRA PRADESH","ANANTHAPUR",203,19731,11443,2110,373,104,33964
"ANDHRA PRADESH","CHITTOOR",3331,13798,2223,375,122,0,19849
"ANDHRA PRADESH","CUDDAPAH",138,16138,324,324,125,10,17059
"ANDHRA PRADESH","EAST GODAVARI",15630,6347,1004,461,79,2,23523
"ANDHRA PRADESH","GUNTUR",802,15486,1072,508,1240,84,19192
"ANDHRA PRADESH","KARIMNAGAR",16354,818,143,74,88,1,17478
"ANDHRA PRADESH","KHAMMAM",1914,5010,497,117,179,15,7732
"ANDHRA PRADESH","KRISHNA",716,11996,1714,413,486,89,15414
"ANDHRA PRADESH","KURNOOL",11679,2605,1097,396,263,16,16056
"ANDHRA PRADESH","MAHABOOBNAGAR",67290,7014,1075,875,820,28,77102
"ANDHRA PRADESH","MEDAK",73051,13844,541,192,923,0,88551
"ANDHRA PRADESH","NALGONDA",49488,4705,798,338,299,2,55630
"ANDHRA PRADESH","NELLORE",5398,22241,1626,430,287,101,30083
"ANDHRA PRADESH","NIZAMABAD",18755,75922,736,310,1139,9,96871
"ANDHRA PRADESH","PRAKASAM",2161,18046,943,412,284,5,21851
"ANDHRA PRADESH","RANGAREDDY",29915,3478,1473,534,573,74,36047
"ANDHRA PRADESH","SRIKAKULAM",618,4840,720,251,262,29,6720
"ANDHRA PRADESH","VISAKHAPATNAM",517,6491,222,139,105,12,7486
"ANDHRA PRADESH","VIZIANAGARAM",3766,809,630,293,158,0,5656
"ANDHRA PRADESH","WARANGAL",23765,4118,427,222,433,49,29014
"ANDHRA PRADESH","WEST GODAVARI",5130,8984,692,1017,64,1,15888
"ASSAM","BARPETA",416,5239,254,144,3721,8,9782
"ASSAM","BONGAIGAON",113,787,1333,55,3948,38,6274
"ASSAM","DARRANG",51,125,40,399,5094,164,5873
"ASSAM","DHEMAJI",293,47,12,59,691,38,1140
"ASSAM","DHUBRI",870,2887,714,184,4483,687,9825
"ASSAM","DIBRUGARH",110,30,376,109,3198,347,4170
"ASSAM","GOALPARA",381,443,120,332,1610,18,2904
"ASSAM","GOLAGHAT",88,77,63,907,2075,13,3223
"ASSAM","HAILAKANDI",2,0,0,0,0,0,2
"ASSAM","JORHAT",360,437,28,26,1029,68,1948
"ASSAM","KAMRUP",120,1552,525,794,3884,97,6972
"ASSAM","KARBIANGLONG",0,65,0,0,0,0,65
"ASSAM","KARIMGANJ",0,0,0,0,4,0,4
"ASSAM","KOKRAJHAR",53,495,5,30,1814,83,2480
"ASSAM","LAKHIMPUR",207,164,17,75,873,0,1336
"ASSAM","MORIGAON",103,3537,500,472,796,69,5477
"ASSAM","NAGOAN",62,1643,33,694,4231,3,6666
"ASSAM","NALBARI",226,436,12,239,2000,523,3436
"ASSAM","SIBSAGAR",73,15,90,576,1332,0,2086
"ASSAM","SONITPUR",219,568,161,500,1222,50,2720
"ASSAM","TINSUKIA",92,459,38,671,1018,3,2281
"BIHAR","ARARIA",1019,10349,174,551,1559,0,13652
"BIHAR","AURANGABAD",2327,4546,347,428,931,10,8589
"BIHAR","BANKA",1449,3444,92,263,229,39,5516
"BIHAR","BEGUSARAI",4121,10207,1885,1721,2856,390,21180
"BIHAR","BHAGALPUR",3388,6580,302,566,777,292,11905
"BIHAR","BHOJPUR",4551,8674,1696,2056,1328,1,18306
"BIHAR","BUXAR",1811,10883,782,146,118,77,13817
"BIHAR","DARBHANGA",1736,5280,2207,1878,1267,201,12569
"BIHAR","EAST CHAMPARAN",6206,18321,1697,2897,3217,2566,34904
"BIHAR","GAYA",6227,16514,375,784,898,12,24810
"BIHAR","GOPAALGANJ",3694,12489,2072,1614,1289,85,21243
"BIHAR","JAMUI",1016,2752,82,34,85,1,3970
"BIHAR","JEHANABAD",5313,11752,438,740,1455,104,19802
"BIHAR","KAIMUR (BHABUA)",3425,7274,408,382,1085,96,12670
"BIHAR","KATIHAR",3137,29865,263,261,619,7,34152
"BIHAR","KHAGARIA",644,9402,289,388,2870,488,14081
"BIHAR","KISHANGANJ",551,7573,441,547,1323,1,10436
"BIHAR","LAKHISARAI",1658,4415,219,462,314,67,7135
"BIHAR","MADHEPURA",2712,8394,273,604,4368,1310,17661
"BIHAR","MADHUBANI",2701,3580,2292,3154,2007,1973,15707
"BIHAR","MUNGER",293,2380,250,246,203,0,3372
"BIHAR","MUZAFFARPUR",9484,20319,1514,1355,1276,667,34615
"BIHAR","NALANDA",6393,13752,243,407,231,12,21038
"BIHAR","NAWADA",2220,7740,5679,1511,319,9,17478
"BIHAR","PATNA",5966,17338,882,805,1762,1177,27930
"BIHAR","PURNIA",2547,15895,486,1242,2248,22,22440
