-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.2.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.2.csv"
}
-----
State,District,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,ADILABAD,46,0,0,75,7144,0,7265
ANDHRA PRADESH,ANANTHAPUR,123,38,10,1222,19901,7,21301
ANDHRA PRADESH,CHITTOOR,0,1,1,684,9451,1,10138
ANDHRA PRADESH,CUDDAPAH,1,4,0,1186,11617,1,12809
ANDHRA PRADESH,EAST GODAVARI,19,8,16,312,20459,33,20847
ANDHRA PRADESH,GUNTUR,52,7,1,1296,14563,1,15920
ANDHRA PRADESH,KARIMNAGAR,37,0,0,110,840,3,990
ANDHRA PRADESH,KHAMMAM,0,75,7,96,3458,198,3834
ANDHRA PRADESH,KRISHNA,7,141,0,639,11907,1,12695
ANDHRA PRADESH,KURNOOL,7,25,2,238,8464,6,8742
ANDHRA PRADESH,MAHABOOB NAGAR,29,21,26,1189,20143,20,21428
ANDHRA PRADESH,MEDAK,25,8,16,369,30466,22,30906
ANDHRA PRADESH,NALGONDA,3,0,5,811,12899,1,13719
ANDHRA PRADESH,NELLORE,41,37,17,1318,28747,34,30194
ANDHRA PRADESH,NIZAMABAD,12,69,15,2188,43876,47,46207
ANDHRA PRADESH,PRAKASAM,0,0,0,2246,8716,0,10962
ANDHRA PRADESH,RANGA REDDY,0,0,0,819,15632,3,16454
ANDHRA PRADESH,SRIKAKULUM,116,11,0,178,5378,0,5683
ANDHRA PRADESH,VIJAYA NAGARAM,238,55,3,194,3633,5,4128
ANDHRA PRADESH,VISAKHAPATNAM,2,7,6,218,5155,0,5388
ANDHRA PRADESH,WARANGAL,62,12,1,108,3326,2,3511
ANDHRA PRADESH,WEST GODAVARI,4,0,0,148,13922,2,14076
ASSAM,BARPETA,99,6,0,6,2252,0,2363
ASSAM,BONGAIGAON,26,0,0,2,824,0,852
ASSAM,CACHAR,1,0,0,0,0,0,1
ASSAM,DARRANG,335,0,0,153,1762,1,2251
ASSAM,DHEMAJI,8,0,0,67,642,0,717
ASSAM,DHUBRI,90,5,0,27,2366,0,2488
ASSAM,DIBRUGARH,265,0,0,3,1193,0,1461
