-----
{
 "description": "The table refers to Statewise Potential Utilized through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.13.csv", 
 "title": "Download CSV for Statewise Potential Utilized through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.13.csv"
}
-----
"State","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH",595874,385729,43937,15104,1040644
"ARUNACHAL PRADESH",0,0,0,1,1
"ASSAM",170,123,23,21,337
"BIHAR",66275,69311,7064,3194,145844
"CHHATTISGARH",22880,29707,1961,489,55037
"GOA",86,618,2495,284,3483
"GUJARAT",927695,490389,135917,33668,1587669
"HARYANA",25290,40189,217,87,65783
"HIMACHAL PRADESH",2129,2653,198,14,4994
"JAMMU & KASHMIR",10801,10242,37,5,21085
"JHARKHAND",62095,77430,8153,3655,151333
"KARNATAKA",184307,111611,115708,40052,451678
"KERALA",10465,10147,52528,16107,89247
"MADHYA PRADESH",188598,1740156,25628,25495,1979877
"MAHARASHTRA",1454256,1104854,378637,114902,3052649
"MANIPUR",0,15,0,0,15
"MEGHALAYA",17,1,1,0,19
"NAGALAND",193,53,0,0,246
"ORISSA",49228,24553,2358,905,77044
"PUNJAB",6543,6524,79,12,13158
"RAJASTHAN",428896,2327005,13178,55027,2824106
"TAMIL NADU",629632,351156,283902,74746,1339436
"TRIPURA",174,167,8,14,363
"UTTAR PRADESH",67369,189286,22421,6671,285747
"UTTA RANCHAL",3953,3880,2439,255,10527
"WEST BENGAL",7307,11991,1292,1170,21760
"ANDAMAN & NICOBARS",1,3,1,0,5
"DADRA & NAGAR HAVELI",748,252,38,0,1038
"PONDICHERRY",25,28,30,9,92
"ALL INDIA",4745007,6988073,1098250,391887,13223217
