-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.5.csv"
}
-----
"State","District","On river","On stream","On drain/canal","On tank/pond","Total"
"ANDAMAN & NICOBARS","ANDAMAN",120,453,62,1034,1669
"ANDAMAN & NICOBARS","NICOBAR",7,2,0,18,27
"ANDHRA PRADESH","ADILABAD",261,1106,38,49,1454
"ANDHRA PRADESH","ANANTHAPUR",0,0,1,0,1
"ANDHRA PRADESH","CHITTOOR",20,3,0,0,23
"ANDHRA PRADESH","CUDDAPAH",397,6,0,14,417
"ANDHRA PRADESH","EAST GODAVARI",10,2,46,0,58
"ANDHRA PRADESH","GUNTUR",180,923,445,2,1550
"ANDHRA PRADESH","KARIMNAGAR",39,405,12,15,471
"ANDHRA PRADESH","KHAMMAM",1748,2000,98,370,4216
"ANDHRA PRADESH","KRISHNA",55,18,29,4,106
"ANDHRA PRADESH","KURNOOL",1554,508,84,3,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",851,499,6,23,1379
"ANDHRA PRADESH","MEDAK",694,224,52,17,987
"ANDHRA PRADESH","NALGONDA",1031,2982,54,356,4423
"ANDHRA PRADESH","NELLORE",952,1128,406,330,2816
"ANDHRA PRADESH","NIZAMABAD",973,662,82,66,1783
"ANDHRA PRADESH","PRAKASAM",345,930,60,14,1349
"ANDHRA PRADESH","RANGAREDDY",93,168,11,0,272
"ANDHRA PRADESH","SRIKAKULAM",25,6,2,0,33
"ANDHRA PRADESH","VISAKHAPATNAM",36,15,1,2,54
"ANDHRA PRADESH","VIZIANAGARAM",184,14,1,0,199
"ANDHRA PRADESH","WARANGAL",70,117,0,27,214
"ANDHRA PRADESH","WEST GODAVARI",61,116,52,10,239
"ARUNACHAL PRADESH","DIBANG VALLEY",3,2,2,2,9
"ARUNACHAL PRADESH","LOHIT",1,0,2,3,6
"ARUNACHAL PRADESH","TIRAP",1,0,0,0,1
"ARUNACHAL PRADESH","UPPER SUBANSIRI",1,0,1,0,2
"ARUNACHAL PRADESH","WEST KAMENG",2,0,0,0,2
"ARUNACHAL PRADESH","WEST SIANG",1,0,0,0,1
"ASSAM","BARPETA",13,10,4,0,27
"ASSAM","BONGAIGAON",60,42,83,8,193
"ASSAM","CACHAR",107,63,8,98,276
"ASSAM","DARRANG",6,0,0,2,8
"ASSAM","DHEMAJI",7,1,0,0,8
"ASSAM","DHUBRI",14,15,0,0,29
"ASSAM","DIBRUGARH",3,0,0,0,3
"ASSAM","GOALPARA",19,0,0,0,19
"ASSAM","GOLAGHAT",4,2,3,31,40
"ASSAM","HAILAKANDI",14,0,0,2,16
"ASSAM","JORHAT",19,1,0,3,23
"ASSAM","KAMRUP",78,11,1,20,110
"ASSAM","KARBIANGLONG",16,1,1,4,22
"ASSAM","KARIMGANJ",18,1,0,0,19
"ASSAM","KOKRAJHAR",62,1,4,16,83
"ASSAM","LAKHIMPUR",3,11,0,2,16
"ASSAM","MORIGAON",26,11,2,0,39
"ASSAM","NAGOAN",308,34,3,93,438
"ASSAM","NALBARI",41,2,10,3,56
