-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "ManipurGSDPcurrent.csv", 
 "title": "Download CSV for Manipur Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ManipurGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","38164","38425","45923","55395","61308","66022","71756","78606","82895","86917","91134","93739"
"Foresty and Logging","4224","4251","3809","3763","8854","10013","5476","5949","6191","6358","6530","6707"
"Fishing","4031","4622","4964","5062","5531","6252","6889","8721","9544","9933","10338","10760"
"Mining and Quarrying","5","6","5","1","1","0","0","0","0","0","0","0"
"Sub total of primary","46424","47304","54701","64221","75694","82287","84121","93276","98630","103208","108002","111206"
"Manufacturing","9729","10524","12315","13789","14772","16888","19770","18463","23071","25097","27143","30099"
"Registered","372","417","605","737","513","285","168","233","338","500","529","560"
"Unregistered","9357","10107","11710","13052","14259","16603","19602","18230","22733","24597","26614","29539"
"Construction","8741","10593","14648","19157","21675","21877","29168","25076","32404","39660","42489","50022"
"Electricity, Gas and water Supply","5872","5501","4956","4734","5114","9760","12182","12776","11784","5740","2796","2932"
"Sub total of secondary","24342","26618","31919","37680","41561","48525","61120","56315","67259","70497","72428","83053"
"Transport Storage and Communication","5677","6488","7314","8364","9331","10759","11692","13909","16042","17591","19557","21743"
"Railways","1","1","1","1","1","2","2","2","2","2","2","2"
"Transport by other means","4835","5498","6004","6925","7709","8960","9901","10888","11797","12024","12255","13625"
"Storage","6","10","13","13","15","10","10","11","12","12","12","13"
"Communication","835","979","1296","1425","1606","1787","1779","3008","4231","5553","7288","8103"
"Trade, hotels and restaurants","14353","15854","17265","19070","22164","28572","26285","27950","38940","41308","43820","48610"
"Banking and Insurance","1932","1633","1998","2690","2774","3013","3303","3676","5642","6832","7422","9194"
"Real estate, ownership of dwelling and business","5158","5593","6130","6422","7325","8824","8802","9941","11339","12261","13321","14483"
"Pubic Administration","18238","20935","24603","28985","31727","34096","46899","46519","54333","51920","54748","61471"
"Other Services","14685","16073","18776","22411","25212","26943","37385","40424","42238","44554","46997","53680"
"Sub total of tertiary","60043","66576","76086","87942","98533","112207","134366","142419","168534","174466","185865","209181"
"State domestic product","130809","140498","162706","189843","215788","243019","279607","292010","334423","348171","366295","403440"

"Figures are in Rs. Lakh"
