-----
{
 "description": "This table gives an overview of Financial Performance of the Shipping Sector during  Eleventh Five Year Plan.", 
 "file_name": "Financial_Performance.xls", 
 "title": "Download XLS for Financial Performance of the Shipping Sector During  Eleventh Five Year Plan", 
 "url": "http://data.gov.in/sites/default/files/Financial_Performance.xls"
}
-----
"Scheme/Programme","Financial Performance-Eleventh Plan (Approved Eleventh Plan Outlays)","Financial Performance-Eleventh Plan (Approved Annual Plan Outlays)","Financial Performance-Eleventh Plan (Actual Expenditure)"
"SCI",13135.0,14283.0,8537.0
"DG (Shipping)",366.0,230.68,191.27
"DG (LL)",150.0,243.6,147.98
"IWT",615.0,693.0,537.25
"Total",15026.0,16108.84,9788.39
