-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,15,14,175,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,10,45,85,140
ANDHRA PRADESH,ADILABAD,BEJJUR,7,10,0,17
ANDHRA PRADESH,ADILABAD,BELA,0,0,6,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,3,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,159,32,1578,1769
ANDHRA PRADESH,ADILABAD,BHEEMINI,5,1,48,54
ANDHRA PRADESH,ADILABAD,BOATH,11,108,611,730
ANDHRA PRADESH,ADILABAD,CHENNUR,20,4,263,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,6,1,46,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,55,51,985,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,20,21,66,107
ANDHRA PRADESH,ADILABAD,ICHODA,57,82,229,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,4,42,19,65
ANDHRA PRADESH,ADILABAD,JAINAD,6,3,132,141
ANDHRA PRADESH,ADILABAD,JAIPUR,15,2,113,130
ANDHRA PRADESH,ADILABAD,KERAMERI,4,4,1,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,105,45,340,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,33,33
ANDHRA PRADESH,ADILABAD,KUBEER,27,75,509,611
ANDHRA PRADESH,ADILABAD,KUNTALA,134,43,1113,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,5,4,155,164
ANDHRA PRADESH,ADILABAD,LOHESRA,249,62,1199,1510
ANDHRA PRADESH,ADILABAD,MAMDA,137,261,470,868
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,14,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,161,172,992,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,8,29,57,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,32,46,192,270
ANDHRA PRADESH,ADILABAD,NIRMAL,60,18,378,456
ANDHRA PRADESH,ADILABAD,REBBANA,0,1,9,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,89,308,1233,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,44,26,203,273
ANDHRA PRADESH,ADILABAD,TAMSI,28,3,174,205
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,17,17
ANDHRA PRADESH,ADILABAD,TANUR,114,53,429,596
ANDHRA PRADESH,ADILABAD,UTNUR,4,20,19,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,5,10,89,104
ANDHRA PRADESH,ADILABAD,WANKDI,1,0,0,1
