-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes(Permanent diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.16.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes(Permanent diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.16.csv"
}
-----
"State","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH",1180,64,1244,40125,560,40685,29420,388,29808
"ARUNACHAL PRADESH",918,820,1738,29577,8975,38552,19469,8134,27603
"ASSAM",99,230,329,15174,16909,32083,14066,15746,29812
"BIHAR",1820,1637,3457,122118,9510,131628,111685,8764,120449
"CHHATTISGARH",831,2294,3125,36494,5239,41733,23486,4247,27733
"GOA",8,216,224,107,712,819,107,690,797
"GUJARAT",226,1436,1662,889,4145,5034,232,3285,3517
"HARYANA",13,316,329,210,2099,2309,182,2033,2215
"HIMACHAL PRADESH",2490,1979,4469,42701,33633,76334,38145,31435,69580
"JAMMU & KASHMIR",1714,1995,3709,123369,107433,230802,112989,94696,207685
"JHARKHAND",590,1050,1640,8084,1441,9525,6418,1045,7463
"KARNATAKA",2429,256,2685,17896,3378,21274,12822,954,13776
"KERALA",2717,541,3258,86650,19776,106426,80037,14697,94734
"MADHYA PRADESH",1362,6337,7699,41169,25182,66351,22171,21353,43524
"MAHARASHTRA",700,6698,7398,14198,15144,29342,8437,13948,22385
"MANIPUR",238,0,238,29802,0,29802,17184,0,17184
"MEGHALAYA",320,349,669,20097,5155,25252,16410,5061,21471
"MIZORAM",0,1134,1134,0,1458,1458,0,1269,1269
"NAGALAND",1,2474,2475,40,10167,10207,40,5809,5849
"ORISSA",2875,607,3482,92840,5054,97894,54657,3128,57785
"PUNJAB",385,898,1283,1477,2665,4142,1432,2659,4091
"RAJASTHAN",160,44,204,16397,415,16812,11947,333,12280
"SIKKIM",363,216,579,5673,3165,8838,4601,2931,7532
"TAMIL NADU",1465,1905,3370,78823,85430,164253,57287,72883,130170
"TRIPURA",105,82,187,3805,1793,5598,2786,1566,4352
"UTTAR PRADESH",91,1933,2024,7845,11321,19166,5728,10357,16085
"UTTARANCHAL",2161,504,2665,89267,7550,96817,74286,6299,80585
"WEST BENGAL",1116,1040,2156,84089,11417,95506,56961,9073,66034
"DADRA & NAGAR HAVELI",0,2,2,0,3,3,0,3,3
"DELHI",0,1,1,0,5,5,0,5,5
"PONDICHERRY",9,5375,5384,7,4196,4203,7,4118,4125
"ALL INDIA",26386,42433,68819,1008923,403930,1412853,782992,346909,1129901
