-----
{
 "description": "The table refers to district wise irrigation potential utilised through shallow tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.14.csv", 
 "title": "Download CSV for District wise Irrigation potential utilised through Shallow Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.14.csv"
}
-----
State,District,Kharif,Rabi,Perennial,Others,Total
ANDHRA PRADESH,ADILABAD,7302,5635,34,21,12992
ANDHRA PRADESH,ANANTHAPUR,20572,13588,7788,135,42083
ANDHRA PRADESH,CHITTOOR,8478,9207,49,7,17741
ANDHRA PRADESH,CUDDAPAH,19264,12615,219,126,32224
ANDHRA PRADESH,EAST GODAVARI,21295,21276,16100,837,59508
ANDHRA PRADESH,GUNTUR,9876,2330,10538,44,22788
ANDHRA PRADESH,KARIMNAGAR,1146,864,28,0,2038
ANDHRA PRADESH,KHAMMAM,4519,3570,37,0,8126
ANDHRA PRADESH,KRISHNA,12485,2643,2177,7499,24804
ANDHRA PRADESH,KURNOOL,14843,10915,444,8,26210
ANDHRA PRADESH,MAHABOOB NAGAR,16113,11059,616,224,28012
ANDHRA PRADESH,MEDAK,23777,13237,3671,296,40981
ANDHRA PRADESH,NALGONDA,8419,6465,934,84,15902
ANDHRA PRADESH,NELLORE,28005,28101,5899,121,62126
ANDHRA PRADESH,NIZAMABAD,55415,31324,2697,1267,90703
ANDHRA PRADESH,PRAKASAM,18527,9965,2165,27,30684
ANDHRA PRADESH,RANGA REDDY,13412,8750,1897,87,24146
ANDHRA PRADESH,SRIKAKULUM,4574,4888,649,50,10161
ANDHRA PRADESH,VIJAYA NAGARAM,2472,2142,1510,62,6186
ANDHRA PRADESH,VISAKHAPATNAM,4673,2328,4706,48,11755
ANDHRA PRADESH,WARANGAL,3943,2034,1,12,5990
ANDHRA PRADESH,WEST GODAVARI,14797,15474,9228,3319,42818
ASSAM,BARPETA,1891,1107,1,23,3022
ASSAM,BONGAIGAON,806,456,0,182,1444
ASSAM,CACHAR,4,1,0,0,5
ASSAM,DARRANG,2378,1411,5,120,3914
ASSAM,DHEMAJI,475,195,0,36,706
ASSAM,DHUBRI,1761,1590,13,222,3586
ASSAM,DIBRUGARH,2003,975,0,7,2985
ASSAM,GOALPARA,411,251,0,8,670
ASSAM,GOLAGHAT,274,157,0,7,438
ASSAM,HAILAKANDI,174,53,0,0,227
ASSAM,JORHAT,666,1284,0,0,1950
ASSAM,KAMRUP,1525,492,7,32,2056
ASSAM,KARBI ANGLONG,170,101,6,16,293
ASSAM,KARIMGANJ,217,252,0,0,469
ASSAM,KOKRAJHAR,1223,792,0,0,2015
ASSAM,LAKHIMPUR,1169,650,0,33,1852
ASSAM,MARIGAON,1513,735,0,57,2305
ASSAM,NAGAON,2846,1042,0,90,3978
ASSAM,NALBARI,807,553,0,11,1371
ASSAM,SIBSAGAR,1382,706,0,6,2094
ASSAM,SONITPUR,2991,1671,1,40,4703
ASSAM,TINSUKIA,1737,416,0,4,2157
BIHAR,ARARIA,18171,24012,1717,5164,49064
BIHAR,AURANGABAD,9314,6922,218,208,16662
BIHAR,BANKA,7310,6515,447,701,14973
BIHAR,BEGUSARAI,11164,57675,3239,2859,74937
BIHAR,BHABUA,19641,16482,531,244,36898
BIHAR,BHAGALPUR,10860,18406,2603,1354,33223
BIHAR,BHOJPUR,22012,25858,1735,1235,50840
BIHAR,BUXAR,25885,23672,561,391,50509
