-----
{
 "description": "The table refers to Statewise Distribution of Dugwells by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.6.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells by Status", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.6.csv"
}
-----
"State","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDHRA PRADESH",946393,96877,10681,107884,13634,9747,238823,1185216
"ARUNACHAL PRADESH",4,0,0,0,0,0,0,4
"ASSAM",139,9,6,0,0,0,15,154
"BIHAR",91255,16713,6882,7622,5799,6906,43922,135177
"CHHATTISGARH",182369,8611,563,1647,522,11271,22614,204983
"GOA",5033,67,6,3,5,2,83,5116
"GUJARAT",729898,118688,15097,62333,5167,4417,205702,935600
"HARYANA",14276,381,63,4015,4,80,4543,18819
"HIMACHAL PRADESH",1886,4,0,0,1,5,10,1896
"JAMMU & KASHMIR",2463,15,35,3,0,2,55,2518
"JHARKHAND",306613,11086,535,4582,541,198,16942,323555
"KARNATAKA",315804,6072,996,3774,651,686,12179,327983
"KERALA",163929,1276,481,129,54,87,2027,165956
"MADHYA PRADESH",1046326,185870,5609,21527,5894,11480,230380,1276706
"MAHARASHTRA",1476955,74715,16124,78784,3567,8413,181603,1658558
"MANIPUR",3,0,0,0,0,0,0,3
"MEGHALAYA",11,0,0,0,0,0,0,11
"NAGALAND",125,83,0,0,8,67,158,283
"ORISSA",283518,69351,1837,10167,8706,4800,94861,378379
"PUNJAB",2919,8,3,1,0,0,12,2931
"RAJASTHAN",844613,224644,11353,66756,8095,16037,326885,1171498
"TAMIL NADU",1290145,286612,12495,44978,8179,14092,366356,1656501
"TRIPURA",242,8,4,4,1,0,17,259
"UTTAR PRADESH",112586,5083,3750,391,188,2405,11817,124403
"UTTARANCHAL",799,29,5,4,0,0,38,837
"WEST BENGAL",35316,1637,90,844,159,1331,4061,39377
"ANDAMAN & NICOBARS",6,0,2,0,0,0,2,8
"DADRA & NAGAR HAVELI",572,0,0,0,0,0,0,572
"PONDICHERRY",77,0,1,0,0,0,1,78
"ALL INDIA",7854275,1107839,86618,415448,61175,92026,1763106,9617381
