-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDAMAN & NICOBARS","NICOBAR",5,3,3,1,0,6
"ANDHRA PRADESH","ADILABAD",24553,23381,6967,360,55,30763
"ANDHRA PRADESH","ANANTHAPUR",82467,61731,41299,10217,236,113483
"ANDHRA PRADESH","CHITTOOR",121791,88248,64080,2716,81,155124
"ANDHRA PRADESH","CUDDAPAH",59430,52375,29871,2835,152,85234
"ANDHRA PRADESH","EAST GODAVARI",4392,3354,1384,954,20,5712
"ANDHRA PRADESH","GUNTUR",12421,12070,2734,560,117,15480
"ANDHRA PRADESH","KARIMNAGAR",203115,185517,137829,4349,1084,328779
"ANDHRA PRADESH","KHAMMAM",46671,45214,9858,0,30,55102
"ANDHRA PRADESH","KRISHNA",27959,18871,11311,4347,2055,36584
"ANDHRA PRADESH","KURNOOL",50567,45062,26807,658,101,72629
"ANDHRA PRADESH","MAHABOOBNAGAR",93682,88173,33702,1428,561,123864
"ANDHRA PRADESH","MEDAK",48053,39104,17650,6497,204,63455
"ANDHRA PRADESH","NALGONDA",107933,93047,61467,5254,1894,161663
"ANDHRA PRADESH","NELLORE",52688,20934,21631,4662,10313,57541
"ANDHRA PRADESH","NIZAMABAD",15999,15061,7312,519,54,22945
"ANDHRA PRADESH","PRAKASAM",48917,28432,19464,2226,178,50301
"ANDHRA PRADESH","RANGAREDDY",35501,29139,16147,719,84,46089
"ANDHRA PRADESH","SRIKAKULAM",16049,3454,13017,401,5,16877
"ANDHRA PRADESH","VISAKHAPATNAM",24555,14000,10921,5693,218,30832
"ANDHRA PRADESH","VIZIANAGARAM",22970,5290,19225,1273,191,25979
"ANDHRA PRADESH","WARANGAL",162471,135025,64792,4522,1749,206087
"ANDHRA PRADESH","WEST GODAVARI",26261,13827,13180,4167,298,31473
"ARUNACHAL PRADESH","CHANGLANG",1,0,0,0,1,1
"ARUNACHAL PRADESH","EAST SIANG",1,1,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",2,2,0,0,0,2
"ASSAM","BARPETA",46,39,20,6,3,67
"ASSAM","CACHAR",2,1,1,0,0,2
"ASSAM","DHUBRI",41,19,18,4,0,41
"ASSAM","GOALPARA",218,185,56,0,8,249
"ASSAM","JORHAT",14,14,2,0,1,17
"ASSAM","KOKRAJHAR",7,5,2,0,1,9
"ASSAM","LAKHIMPUR",118,84,27,5,5,120
"ASSAM","MORIGAON",28,27,23,0,0,50
"ASSAM","NAGOAN",4,2,2,0,0,4
"ASSAM","SIBSAGAR",3,3,0,0,0,3
"ASSAM","SONITPUR",1,1,0,0,0,1
"BIHAR","AURANGABAD",10203,7802,6629,967,907,16305
"BIHAR","BANKA",5456,3420,3403,640,515,7978
"BIHAR","BHAGALPUR",2888,1472,2088,441,247,4247
"BIHAR","BHOJPUR",3368,3263,2658,390,122,6433
"BIHAR","BUXAR",1548,1212,1139,54,61,2466
"BIHAR","EAST CHAMPARAN",4993,191,5717,0,0,5908
"BIHAR","GAYA",13322,16535,12791,1617,568,31511
"BIHAR","GOPAALGANJ",7858,3920,4137,161,188,8406
"BIHAR","JAMUI",5397,3559,3372,311,379,7620
"BIHAR","JEHANABAD",2950,1784,1428,241,169,3622
"BIHAR","KAIMUR (BHABUA)",20907,15708,13112,880,514,30214
"BIHAR","KATIHAR",18,15,15,0,0,30
"BIHAR","LAKHISARAI",541,307,402,36,21,765
"BIHAR","MADHEPURA",3,2,2,0,1,4
"BIHAR","MADHUBANI",131,107,92,20,27,246
"BIHAR","MUNGER",1995,364,1812,86,79,2341
"BIHAR","MUZAFFARPUR",215,87,124,51,11,272
"BIHAR","NALANDA",32567,22285,22662,2634,1301,48883
