-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.10.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.10.csv"
}
-----
State,District,Block,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MADHYA PRADESH,SAGAR,JAISINAGAR,1,2,2,0,0,0,0,5
MADHYA PRADESH,SAGAR,KESALI,0,0,2,0,6,0,0,8
MADHYA PRADESH,SAGAR,KHURAI,0,7,147,20,17,0,0,191
MADHYA PRADESH,SAGAR,MALTHON,0,0,1,2,1,0,0,4
MADHYA PRADESH,SAGAR,RAHATGARH,0,0,12,0,8,0,0,20
MADHYA PRADESH,SAGAR,REHALI,0,231,280,0,30,0,0,541
MADHYA PRADESH,SAGAR,SAGAR,0,96,69,10,3,0,0,178
MADHYA PRADESH,SATNA,AMARPATAN,1,7,422,31,2,2,0,465
MADHYA PRADESH,SATNA,CHITRAKOOT,0,0,7,1,1,0,0,9
MADHYA PRADESH,SATNA,MAIHAR,1,4,91,0,0,0,0,96
MADHYA PRADESH,SATNA,NAGOD,6,9,179,13,7,1,0,215
MADHYA PRADESH,SATNA,RAMNAGAR,0,0,10,2,0,0,0,12
MADHYA PRADESH,SATNA,RAMPUR,0,29,1393,30,16,0,0,1468
MADHYA PRADESH,SATNA,SATNA,0,7,177,32,8,5,0,229
MADHYA PRADESH,SATNA,UNCHEHARA,0,11,91,1,0,0,0,103
MADHYA PRADESH,SEHORE,AASHTA,6,1289,2276,0,3,12,1,3587
MADHYA PRADESH,SEHORE,BUDANI,0,0,45,22,9,0,0,76
MADHYA PRADESH,SEHORE,ICHHAWER,1,107,122,7,0,1,0,238
MADHYA PRADESH,SEHORE,NASRULLAHGANJ,0,11,26,5,5,0,0,47
MADHYA PRADESH,SEHORE,SIHORE,23,522,1121,12,8,8,2,1696
MADHYA PRADESH,SEONI,BARGHAT,0,1,0,0,0,0,0,1
MADHYA PRADESH,SEONI,CHHAPARA,0,1,4,0,0,0,0,5
MADHYA PRADESH,SEONI,KAHANAPUS,0,22,0,0,0,0,0,22
MADHYA PRADESH,SEONI,KURAI,2,2,2,0,0,0,0,6
MADHYA PRADESH,SEONI,LAKHNADAUN,0,0,1,0,2,0,0,3
MADHYA PRADESH,SEONI,SEONI,0,0,3,0,0,0,0,3
MADHYA PRADESH,SHAHDOL,JAISINGHNAGAR,1,0,7,0,3,0,0,11
MADHYA PRADESH,SHAHDOL,JAITAHARI,0,0,1,0,0,0,0,1
MADHYA PRADESH,SHAHDOL,MANPUR,0,1,8,0,0,0,0,9
MADHYA PRADESH,SHAHDOL,PALEE-1,0,0,8,0,0,0,0,8
MADHYA PRADESH,SHAHDOL,SOHAGPUR,8,5,2,0,0,1,0,16
MADHYA PRADESH,SHAHDOL,UMARIYA,0,0,10,3,2,5,0,20
MADHYA PRADESH,SHAJAPUR,AGAR,0,24,108,1,0,1,0,134
MADHYA PRADESH,SHAJAPUR,BAROD,0,3,10,0,0,0,0,13
MADHYA PRADESH,SHAJAPUR,KALAPIPALMANDI,6,542,522,0,0,0,6,1076
MADHYA PRADESH,SHAJAPUR,MOMANBARODIYA,1,332,444,9,5,1,0,792
MADHYA PRADESH,SHAJAPUR,SHAJAPUR,3,51,262,6,0,0,0,322
MADHYA PRADESH,SHAJAPUR,SUJALPUR,1,473,292,0,0,2,0,768
MADHYA PRADESH,SHAJAPUR,SUSNER,0,0,2,0,0,0,0,2
MADHYA PRADESH,SHIVPURI,BADARWAS,0,2,42,17,24,0,0,85
MADHYA PRADESH,SHIVPURI,KARERA,0,0,1,0,3,0,0,4
MADHYA PRADESH,SHIVPURI,KOLARAS,0,0,7,27,6,1,0,41
MADHYA PRADESH,SHIVPURI,POHARI,0,0,46,0,0,0,2,48
MADHYA PRADESH,SHIVPURI,SHIVPURI,0,9,38,9,2,0,1,59
MADHYA PRADESH,SIDHI,BAIDHAN,0,2,1,1,0,0,0,4
MADHYA PRADESH,SIDHI,CHITRANGI,0,0,4,0,2,0,2,8
MADHYA PRADESH,SIDHI,RAMPURNEKIN,0,12,34,5,33,13,1,98
MADHYA PRADESH,SIDHI,SIDHI,0,0,21,28,9,10,0,68
MADHYA PRADESH,SIDHI,SIHAWAL,0,9,86,21,7,33,0,156
MADHYA PRADESH,SURGUJA,AMBIKAPUR,0,0,0,1,0,0,0,1
MADHYA PRADESH,SURGUJA,MAINPAT,0,2,15,0,0,0,0,17
MADHYA PRADESH,TIKAMGARH,JATARA,0,119,7,119,0,0,10,255
MADHYA PRADESH,TIKAMGARH,NIWARI,0,0,131,0,0,0,0,131
MADHYA PRADESH,TIKAMGARH,PALERA,0,7,216,212,0,0,3,438
MADHYA PRADESH,TIKAMGARH,PRITHWIPUR,0,0,9,0,0,0,0,9
MADHYA PRADESH,TIKAMGARH,TIKAMGARH,0,42,19,3,0,0,0,64
MADHYA PRADESH,UJJAIN,BADNAGAR,45,2717,4959,22,20,13,15,7791
MADHYA PRADESH,UJJAIN,GHATIYA,0,156,642,44,6,2,1,851
MADHYA PRADESH,UJJAIN,KHACHRAUD,6,713,1231,36,6,7,0,1999
MADHYA PRADESH,UJJAIN,MAHIDPUR,5,103,537,32,9,0,0,686
MADHYA PRADESH,UJJAIN,TARANA,13,325,640,15,2,2,2,999
MADHYA PRADESH,UJJAIN,UJJAIN,142,917,3667,14,14,8,4,4766
MADHYA PRADESH,VIDISHA,BASODA,2,3,371,17,4,0,0,397
MADHYA PRADESH,VIDISHA,GYARASPUR,0,20,179,7,5,1,0,212
MADHYA PRADESH,VIDISHA,KURWAI,3,17,272,77,36,2,0,407
MADHYA PRADESH,VIDISHA,LATERI,0,0,8,0,0,0,0,8
MADHYA PRADESH,VIDISHA,NATERAN,0,17,134,5,3,0,0,159
MADHYA PRADESH,VIDISHA,SIRONJ,0,4,63,108,9,0,0,184
MADHYA PRADESH,VIDISHA,VIDISHA,1,305,848,20,28,5,0,1207
MANIPUR,BISHNUPUR,BISHNUPUR,1,0,0,0,0,0,0,1
MANIPUR,BISHNUPUR,MOIRANG,2,0,0,0,0,0,0,2
MANIPUR,CHURACHANDPUR,CHURACHANDPUR,2,0,0,0,0,0,0,2
MANIPUR,IMPHAL,HAORANGSABAL(I-W),4,0,0,0,0,0,0,4
