-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.10.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.10.csv"
}
-----
State,District,Block,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ANDHRA PRADESH,NELLORE,SANGAM,2,91,513,68,32,2,0,708
ANDHRA PRADESH,NELLORE,SULLURPETA,0,0,903,3,0,1,0,907
ANDHRA PRADESH,NELLORE,SYDAPURAM,0,2,481,5,10,0,0,498
ANDHRA PRADESH,NELLORE,TADA,40,0,192,1,0,0,0,233
ANDHRA PRADESH,NELLORE,THOTAPALLIGUDUR,0,1766,964,16,19,1,0,2766
ANDHRA PRADESH,NELLORE,VAKADU,4,6,1231,56,2,3,0,1302
ANDHRA PRADESH,NELLORE,VENKATACHALAM,0,40,104,8,2,0,0,154
ANDHRA PRADESH,NELLORE,VENKATAGIRI,0,14,89,6,0,0,0,109
ANDHRA PRADESH,NELLORE,VIDAVULUR,0,1,1085,1,1,0,0,1088
ANDHRA PRADESH,NELLORE,VINJAMUR,0,0,153,0,2,0,0,155
ANDHRA PRADESH,NIZAMABAD,ARMUR,3,653,1333,1,0,11,1,2002
ANDHRA PRADESH,NIZAMABAD,BALKONDA,0,539,196,0,0,0,0,735
ANDHRA PRADESH,NIZAMABAD,BANSWADA,0,10,315,0,0,0,0,325
ANDHRA PRADESH,NIZAMABAD,BHEEMGAL,1,4,794,117,1,7,5,929
ANDHRA PRADESH,NIZAMABAD,BHIKNUR,1,0,2054,0,0,0,0,2055
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,0,0,777,0,0,2,5,784
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,2,1,1182,0,0,8,2,1195
ANDHRA PRADESH,NIZAMABAD,BODHAN,0,12,3591,30,0,1,3,3637
ANDHRA PRADESH,NIZAMABAD,DHARPALLE,0,9,627,0,0,0,0,636
ANDHRA PRADESH,NIZAMABAD,DICHPALLE,8,3,1461,3,1,3,1,1480
ANDHRA PRADESH,NIZAMABAD,DOMAKONDA,0,0,1140,2,0,3,0,1145
ANDHRA PRADESH,NIZAMABAD,GANDHARI,1,8,844,0,0,1,0,854
ANDHRA PRADESH,NIZAMABAD,JAKRANPALLE,4,184,854,0,0,6,490,1538
ANDHRA PRADESH,NIZAMABAD,JUKKAL,0,2,214,0,0,0,0,216
ANDHRA PRADESH,NIZAMABAD,KAMAREDDY,0,0,1146,24,0,3,0,1173
ANDHRA PRADESH,NIZAMABAD,KAMMAR PALLE,1,80,553,0,0,0,0,634
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,1,67,1255,8,0,4,0,1335
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,1,5,750,0,0,0,0,756
ANDHRA PRADESH,NIZAMABAD,MACHAREDDY,2,1,531,13,0,3,0,550
ANDHRA PRADESH,NIZAMABAD,MADNUR,0,0,750,0,1,1,3,755
ANDHRA PRADESH,NIZAMABAD,MAKLOOR,4,38,2241,1,0,10,2,2296
ANDHRA PRADESH,NIZAMABAD,MORTAD,0,3,1630,9,0,1,2,1645
ANDHRA PRADESH,NIZAMABAD,NADIPET,0,1,3440,0,0,1,0,3442
ANDHRA PRADESH,NIZAMABAD,NAGAREDDIPET,0,0,519,0,0,0,0,519
ANDHRA PRADESH,NIZAMABAD,NAVIPET,1,0,1848,0,0,1,3,1853
ANDHRA PRADESH,NIZAMABAD,NIZAMABAD,0,0,3455,10,0,4,0,3469
ANDHRA PRADESH,NIZAMABAD,NIZAMSAGAR,0,0,241,0,0,0,0,241
ANDHRA PRADESH,NIZAMABAD,PITLAM,0,0,586,0,0,1,0,587
ANDHRA PRADESH,NIZAMABAD,RANJAL,0,0,968,0,0,0,0,968
ANDHRA PRADESH,NIZAMABAD,SADASIVANAGAR,0,18,1126,1,0,4,2,1151
ANDHRA PRADESH,NIZAMABAD,SIRKONDA,0,1,1660,6,0,2,0,1669
ANDHRA PRADESH,NIZAMABAD,TADWAI,0,0,515,19,0,6,0,540
ANDHRA PRADESH,NIZAMABAD,VARNI,0,0,2229,0,0,1,1,2231
ANDHRA PRADESH,NIZAMABAD,VELPUR,0,0,1516,0,0,0,0,1516
ANDHRA PRADESH,NIZAMABAD,YEDAPALLE,0,0,770,0,0,0,0,770
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,0,0,574,1,1,0,0,576
ANDHRA PRADESH,PRAKASAM,ADDANKI,0,9,62,0,1,0,0,72
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,2,3,531,42,11,0,1,590
ANDHRA PRADESH,PRAKASAM,BALLIKURAVA,0,0,6,2,0,0,0,8
ANDHRA PRADESH,PRAKASAM,BESTAVARIPETA,1,10,274,39,281,2,0,607
ANDHRA PRADESH,PRAKASAM,C.SEKHARA PURAM,0,0,5,0,0,0,0,5
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,0,1,25,0,0,0,0,26
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,0,0,12,0,0,0,0,12
ANDHRA PRADESH,PRAKASAM,CHIRALA,6,0,1,0,0,0,0,7
ANDHRA PRADESH,PRAKASAM,CUMBUM,0,1,195,107,1,3,0,307
ANDHRA PRADESH,PRAKASAM,DARSI,0,0,11,4,0,0,0,15
ANDHRA PRADESH,PRAKASAM,DONAKONDA,0,24,81,1,0,0,0,106
ANDHRA PRADESH,PRAKASAM,DORNALA,0,2,492,6,0,0,0,500
ANDHRA PRADESH,PRAKASAM,GIDDALURU,0,0,294,57,5,1,0,357
ANDHRA PRADESH,PRAKASAM,GUDLURU,0,178,145,14,2,0,0,339
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,0,0,9,0,0,0,0,9
ANDHRA PRADESH,PRAKASAM,KANDUKUR,0,1,294,15,6,0,0,316
ANDHRA PRADESH,PRAKASAM,KOMAROLE,0,1,279,107,0,0,0,387
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,0,0,40,0,0,0,0,40
ANDHRA PRADESH,PRAKASAM,KONDAPI,0,0,1,0,0,0,0,1
ANDHRA PRADESH,PRAKASAM,KORISAPADU,0,0,18,0,0,0,0,18
ANDHRA PRADESH,PRAKASAM,KOTHA PATNAM,1,290,1028,3,4,0,0,1326
ANDHRA PRADESH,PRAKASAM,KURICHEDU,0,0,13,0,0,0,0,13
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,0,0,181,50,1,0,0,232
ANDHRA PRADESH,PRAKASAM,MADDIPADU,0,1,16,16,1,0,0,34
ANDHRA PRADESH,PRAKASAM,MARKAPUR,0,10,695,42,3,0,0,750
ANDHRA PRADESH,PRAKASAM,MARRIPUDI,0,0,10,0,0,0,0,10
ANDHRA PRADESH,PRAKASAM,MARTUR,0,0,10,0,0,0,0,10
ANDHRA PRADESH,PRAKASAM,NAGULUPPALA PADU,0,0,22,0,0,0,0,22
ANDHRA PRADESH,PRAKASAM,ONGOLE,0,0,15,0,0,0,0,15
ANDHRA PRADESH,PRAKASAM,PAMUR,0,10,23,11,0,6,0,50
ANDHRA PRADESH,PRAKASAM,PEDA ARAVEEDU,0,23,664,27,0,0,0,714
ANDHRA PRADESH,PRAKASAM,PONNALUR,0,0,42,0,1,0,0,43
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,0,1,706,146,4,0,0,857
ANDHRA PRADESH,PRAKASAM,RACHERLA,0,1,217,114,0,0,0,332
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,0,2,13,0,0,0,0,15
ANDHRA PRADESH,PRAKASAM,SANTHANUTHALA PADU,0,0,3,0,0,0,0,3
ANDHRA PRADESH,PRAKASAM,SINGARAYA KONDA,0,0,104,0,0,0,0,104
ANDHRA PRADESH,PRAKASAM,TANGUTUR,0,1,2,0,0,0,0,3
ANDHRA PRADESH,PRAKASAM,TARLUPADU,0,1,237,0,0,3,0,241
ANDHRA PRADESH,PRAKASAM,THALLUR,0,10,117,1,2,0,0,130
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,0,6,244,8,0,0,0,258
ANDHRA PRADESH,PRAKASAM,ULAVAPADU,0,80,529,0,0,0,0,609
ANDHRA PRADESH,PRAKASAM,VETA PALEM,0,2,0,0,3,0,0,5
ANDHRA PRADESH,PRAKASAM,VOLETIVARI PALEM,0,4,6,0,0,0,0,10
ANDHRA PRADESH,PRAKASAM,YADDANA PUDI,0,0,2,0,0,0,0,2
ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,1,0,1135,183,0,4,0,1323
ANDHRA PRADESH,PRAKASAM,ZARUGUMALLI,0,0,128,0,1,0,0,129
ANDHRA PRADESH,RANGA REDDY,BANTARAM,6,31,30,0,0,0,0,67
ANDHRA PRADESH,RANGA REDDY,BASHEERABAD,0,46,117,0,0,0,0,163
ANDHRA PRADESH,RANGA REDDY,CHEVELLA,0,212,64,0,0,0,0,276
ANDHRA PRADESH,RANGA REDDY,DHARUR,0,59,85,4,0,0,0,148
ANDHRA PRADESH,RANGA REDDY,DOMA,0,56,168,3,0,1,0,228
ANDHRA PRADESH,RANGA REDDY,GANDEED,2,95,181,0,0,0,0,278
ANDHRA PRADESH,RANGA REDDY,GHATKESAR,0,5,153,0,0,0,0,158
ANDHRA PRADESH,RANGA REDDY,HAYATHNAGAR,18,274,594,24,1,0,0,911
ANDHRA PRADESH,RANGA REDDY,IBRAHIMPATNAM,0,0,15,2,1,1,0,19
ANDHRA PRADESH,RANGA REDDY,KANDUKUR,3,7,565,18,1,0,0,594
ANDHRA PRADESH,RANGA REDDY,KEESARA,0,13,620,0,0,0,1,634
ANDHRA PRADESH,RANGA REDDY,KULKACHARLA,0,0,6,0,0,0,0,6
ANDHRA PRADESH,RANGA REDDY,MAHESWARAM,2,253,1321,37,1,0,0,1614
ANDHRA PRADESH,RANGA REDDY,MALKAJGIRI,0,6,15,14,0,0,0,35
ANDHRA PRADESH,RANGA REDDY,MANCHAL,0,7,94,21,0,0,0,122
ANDHRA PRADESH,RANGA REDDY,MARPALLE,0,4,28,0,1,0,0,33
ANDHRA PRADESH,RANGA REDDY,MEDCHAL,4,104,2515,53,0,0,1,2677
ANDHRA PRADESH,RANGA REDDY,MOINABAD,42,178,1065,0,0,0,0,1285
ANDHRA PRADESH,RANGA REDDY,MOMINPET,0,0,9,14,0,0,0,23
ANDHRA PRADESH,RANGA REDDY,NAWABPET,0,83,17,2,3,0,0,105
ANDHRA PRADESH,RANGA REDDY,PARGI,0,3,240,5,0,0,0,248
ANDHRA PRADESH,RANGA REDDY,PEDDEMUL,0,81,77,0,0,0,0,158
ANDHRA PRADESH,RANGA REDDY,PUDUR,0,52,28,0,0,0,0,80
ANDHRA PRADESH,RANGA REDDY,QUTHBULLAPUR,1,69,736,18,0,1,0,825
ANDHRA PRADESH,RANGA REDDY,RAJENDRANAGAR,1,15,173,6,0,0,0,195
ANDHRA PRADESH,RANGA REDDY,SAROORNAGAR,0,10,378,6,5,0,0,399
ANDHRA PRADESH,RANGA REDDY,SERILINGAMPALLE,0,5,56,0,0,0,0,61
ANDHRA PRADESH,RANGA REDDY,SHABAD,0,5,74,27,0,0,0,106
ANDHRA PRADESH,RANGA REDDY,SHAMIRPET,44,252,1588,21,3,1,1,1910
ANDHRA PRADESH,RANGA REDDY,SHAMSHABAD,5,140,1384,63,10,2,0,1604
ANDHRA PRADESH,RANGA REDDY,SHANKARPALLE,0,26,434,10,0,1,1,472
ANDHRA PRADESH,RANGA REDDY,TANDUR,0,130,81,1,2,0,0,214
ANDHRA PRADESH,RANGA REDDY,UPPAL,0,0,25,1,0,0,0,26
ANDHRA PRADESH,RANGA REDDY,VICARABAD,0,3,11,1,0,0,0,15
ANDHRA PRADESH,RANGA REDDY,YACHARAM,2,6,296,0,0,0,0,304
ANDHRA PRADESH,RANGA REDDY,YELAL,1,316,141,3,0,0,0,461
ANDHRA PRADESH,SRIKAKULUM,AMADALAVALASA,0,0,110,1,0,0,0,111
ANDHRA PRADESH,SRIKAKULUM,BHAMINI,36,7,94,0,1,1,5,144
ANDHRA PRADESH,SRIKAKULUM,BURJA,2,15,69,69,0,1,0,156
ANDHRA PRADESH,SRIKAKULUM,ETCHERLA,0,13,126,1,6,0,0,146
ANDHRA PRADESH,SRIKAKULUM,GANGUVARISIGADM,0,0,1,3,6,0,0,10
ANDHRA PRADESH,SRIKAKULUM,GARA,0,9,919,9,0,1,2,940
ANDHRA PRADESH,SRIKAKULUM,HIRAMANDALAM,0,1,124,0,0,0,0,125
ANDHRA PRADESH,SRIKAKULUM,ICHCHAPURAM,80,33,15,0,0,0,0,128
ANDHRA PRADESH,SRIKAKULUM,JALUMURU,19,1,162,0,1,0,2,185
ANDHRA PRADESH,SRIKAKULUM,KANCHILI,0,3,0,0,0,0,0,3
ANDHRA PRADESH,SRIKAKULUM,KAVITI,0,112,134,0,0,0,10,256
ANDHRA PRADESH,SRIKAKULUM,KOTABOMMALI,0,2,0,0,0,0,0,2
ANDHRA PRADESH,SRIKAKULUM,KOTTURU,11,1,126,0,23,1,7,169
ANDHRA PRADESH,SRIKAKULUM,LAVERU,0,21,8,0,0,1,1,31
ANDHRA PRADESH,SRIKAKULUM,MANDASA,0,22,39,0,0,1,1,63
ANDHRA PRADESH,SRIKAKULUM,MELIAPUTTI,0,0,58,0,0,0,0,58
ANDHRA PRADESH,SRIKAKULUM,NANDIGAM,0,0,1,0,0,0,7,8
ANDHRA PRADESH,SRIKAKULUM,NARASANNAPETA,0,15,471,8,9,1,6,510
ANDHRA PRADESH,SRIKAKULUM,PALAKONDA,0,85,96,2,0,0,1,184
ANDHRA PRADESH,SRIKAKULUM,PALASA,2,4,48,0,0,0,2,56
ANDHRA PRADESH,SRIKAKULUM,PATHPATNAM,0,1,112,0,0,1,0,114
ANDHRA PRADESH,SRIKAKULUM,POLAKI,1,10,414,58,1,0,0,484
ANDHRA PRADESH,SRIKAKULUM,PONDURU,0,1,3,0,0,0,24,28
ANDHRA PRADESH,SRIKAKULUM,RANASTALAM,1,14,110,0,34,4,1,164
ANDHRA PRADESH,SRIKAKULUM,REGIDI AMADALAVALASA,1,0,56,48,0,0,55,160
ANDHRA PRADESH,SRIKAKULUM,SANTHABOMMALI,0,4,12,30,0,0,0,46
ANDHRA PRADESH,SRIKAKULUM,SANTHAKAVATI,1,12,103,0,0,1,0,117
ANDHRA PRADESH,SRIKAKULUM,SARAVAKOTA,0,0,3,0,0,0,8,11
ANDHRA PRADESH,SRIKAKULUM,SARUBUJJILI,0,0,252,7,15,1,0,275
ANDHRA PRADESH,SRIKAKULUM,SOMPETA,1,8,116,0,0,0,3,128
ANDHRA PRADESH,SRIKAKULUM,SRIKAKULAM,2,16,355,0,0,0,0,373
ANDHRA PRADESH,SRIKAKULUM,TEKKALI,0,1,0,0,0,0,0,1
ANDHRA PRADESH,SRIKAKULUM,VAJRAPUKOTTURU,0,20,26,2,0,0,0,48
ANDHRA PRADESH,SRIKAKULUM,VANGARA,2,62,130,1,0,5,7,207
ANDHRA PRADESH,SRIKAKULUM,VEERAGHATTAM,0,0,208,0,1,0,33,242
ANDHRA PRADESH,VIJAYA NAGARAM,0ACHIPENTA,0,4,141,0,2,0,2,149
ANDHRA PRADESH,VIJAYA NAGARAM,BADANGI,0,10,77,0,0,0,0,87
ANDHRA PRADESH,VIJAYA NAGARAM,BALIJIPETA,0,9,129,2,0,0,9,149
ANDHRA PRADESH,VIJAYA NAGARAM,BHOGHAPURAM,0,16,69,0,0,0,0,85
ANDHRA PRADESH,VIJAYA NAGARAM,BOBBILI,1,6,243,0,5,0,0,255
ANDHRA PRADESH,VIJAYA NAGARAM,BONDAPALLE,0,0,3,0,0,0,1,4
