-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "HimachalGSDPconst.csv", 
 "title": "Download CSV for Himachal Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HimachalGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","118702","118242","123377","124837","125025","129007","122475","132073","141929","140552","158505","174246","191550"
"Foresty and Logging","33195","35385","32367","33359","34120","31598","31486","31109","32813","34121","30784","32789","34925"
"Fishing","1867","1486","1692","1753","1865","1904","1955","1958","2014","2085","1860","2006","2164"
"Mining and Quarrying","2903","3883","4765","4650","6263","6749","7578","7370","8508","7321","8389","9459","10665"
"Sub total of primary","156667","158996","162201","164599","167273","169258","163494","172510","185264","184079","199538","218500","239304"
"Manufacturing","42220","56145","66414","86671","91021","93045","105305","122268","130535","135446","145643","156704","168328"
"Registered","31458","43076","50493","67907","69569","72491","82740","95320","103269","101240","109932","119073","129000"
"Unregistered","10762","13069","15921","18764","21452","20554","22565","26948","27266","34206","35711","37631","39328"
"Construction","66848","71787","80299","84911","86297","94639","99331","109185","114087","115030","130364","141353","152493"
"Electricity, Gas and water Supply","22274","40690","38875","36806","40615","44711","42163","48686","46391","49880","53537","55569","58058"
"Sub total of secondary","131342","168622","185588","208388","217933","232395","246799","280139","291013","300356","329544","353626","378879"
"Transport Storage and Communication","16050","16952","19450","20249","24286","26830","28783","31743","36678","42193","48152","52182","56348"
"Railways","438","274","390","445","441","619","675","675","675","675","675","676","676"
"Transport by other means","11370","11668","13200","13356","16712","17338","18267","20150","23879","28067","31856","33363","34599"
"Storage","28","32","37","40","42","46","46","46","56","56","56","56","56"
"Communication","4214","4978","5823","6408","7091","8827","9795","10872","12068","13395","15565","18087","21017"
"Trade, hotels and restaurants","40836","45555","47477","51004","54786","59844","66098","65679","64156","71787","76263","83337","87504"
"Banking and Insurance","18749","20821","20098","23096","24087","26539","31007","33585","36377","39401","51585","61510","73021"
"Real estate, ownership of dwelling and business","31489","32385","33398","34687","35616","36563","37603","39273","40808","41419","42556","43751","44991"
"Pubic Administration","37990","35756","37455","41276","46452","51263","60053","61271","68533","72373","74020","76192","83553"
"Other Services","45145","45306","51179","52229","63081","76505","90306","88491","87784","97920","96822","98764","105202"
"Sub total of tertiary","190259","196775","209057","222541","248308","277544","313850","320042","334336","365093","389398","415736","450619"
"State domestic product","478268","524393","556846","595528","633514","679197","724143","772691","810613","849528","918480","987861","1068801"

"Figures are in Rs. Lakh"
