-----
{
 "description": "Data provide all India (2000, 2001, 2004, 2005, 2008 and 2012) and state-wise (2012) details on the number of districts, DRDAs, blocks and villages in the country.", 
 "file_name": "NUMBER_OF_DISTRICTS-DRDAs-BLOCKS-VILLAGES_IN_THE_COUNTRY.xls", 
 "title": "Download XLS for Number of Districts / DRDAs / Blocks / Villages in the Country", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_DISTRICTS-DRDAs-BLOCKS-VILLAGES_IN_THE_COUNTRY.xls"
}
-----
"Year"," Number of  District ","Number of  DRDAs","Number of Blocks","Number of Villages*"
2000.0,563.0,570.0,5536.0,"NA"
2001.0,574.0,537.0,5496.0,639445.0
2004.0,595.0,578.0,5537.0,639445.0
2005.0,600.0,588.0,5612.0,639445.0
2008.0,618.0,609.0,5637.0,639445.0
2012.0,651.0,585.0,6612.0,645856.0
