-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "goaNSDPcurrent_1.csv", 
 "title": "Download CSV for Goa Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/goaNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08(Q)","2008-09","2009-10","2010-11","2011-12"
"Agriculture","54534","70485","61561","70193","79560","81887","93165","133607"
"Foresty and Logging","7643","7961","13126","13080","15201","23516","33473","33913"
"Fishing","22540","35197","34330","37921","37124","39966","40614","56972"
"Ag and Allied","84717","113644","109017","121195","131885","145369","167252","224492"
"Mining and Quarrying","46874","55021","126501","206712","341352","384447","515480","412372"
"Sub total of primary","131592","168665","235518","327906","473237","529816","682732","636864"
"Manufacturing","311027","352531","394542","433509","539819","615722","608248","608765"
"Registered","267183","302285","333070","359644","459632","531829","521418","517272"
"Unregistered","43844","50246","61472","73865","80187","83893","86830","91493"
"Construction","126206","132905","139019","158084","187357","201945","217131","232863"
"Electricity, Gas and water Supply","13434","12475","11089","11479","21690","22228","42888","49353"
"Sub total of secondary","450666","497911","544650","603071","748867","839895","868267","890981"
"Industry","497541","552932","671151","809783","1090219","1224342","1383747","1303353"
"Transport Storage and Communication","152141","150882","179572","204357","273192","329383","378139","421479"
"Railways","3544","5069","6498","8296","7545","8925","9072","10184"
"Transport by other means","133935","129801","155083","175468","241947","292723","336780","395100"
"Storage","43","44","53","64","76","275","73","92"
"Communication","14619","15968","17939","20529","23624","27460","32214","16103"
"Trade, hotels and restaurants","149929","192099","206785","256463","307578","330169","407996","422951"
"Banking and Insurance","66929","69706","84856","98470","118116","130841","152294","184719"
"Real estate, ownership of dwelling and business","66561","74326","83677","98487","116076","141999","141823","156599"
"Pubic Administration","34167","46377","48427","50029","93300","98514","109057","121094"
"Other Services","47884","48812","55869","65764","84514","121746","144876","184713"
"Sub total of tertiary","517611","582203","659186","773571","992776","1152652","1334185","1491555"
"State domestic product","1099869","1248779","1439354","1704548","2214880","2522363","2885182","3019400"

"Figures are in Rs. Lakh"
