-----
{
 "description": "The table refers to Block wise Distribution of Dugwells by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells by Status", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,6,0,2,0,0,0,2,8
ANDHRA PRADESH,ADILABAD,ADILABAD,339,24,24,48,34,0,130,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,38,5,7,13,0,7,32,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,398,1,3,1,0,0,5,403
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,322,0,0,0,322,322
ANDHRA PRADESH,ADILABAD,BELA,301,12,8,0,0,7,27,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,411,107,0,0,13,0,120,531
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,21,0,0,21,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,242,32,0,0,0,0,32,274
ANDHRA PRADESH,ADILABAD,BOATH,88,4,0,2,0,0,6,94
ANDHRA PRADESH,ADILABAD,CHENNUR,317,31,13,6,0,5,55,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,373,5,2,0,0,0,7,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,1793,3,0,0,0,0,3,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,857,13,0,3,0,3,19,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,379,17,8,14,0,4,43,422
ANDHRA PRADESH,ADILABAD,ICHODA,403,98,0,0,2,23,123,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,482,23,108,53,2,75,261,743
ANDHRA PRADESH,ADILABAD,JAINAD,169,1,0,7,0,2,10,179
ANDHRA PRADESH,ADILABAD,JAINOOR,130,31,7,60,2,10,110,240
ANDHRA PRADESH,ADILABAD,JAIPUR,495,20,0,1,0,0,21,516
ANDHRA PRADESH,ADILABAD,JANNARAM,364,15,0,0,0,0,15,379
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1764,1,0,0,0,0,1,1765
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,317,6,6,1,1,4,18,335
ANDHRA PRADESH,ADILABAD,KASIPET,157,6,0,0,0,0,6,163
ANDHRA PRADESH,ADILABAD,KERAMERI,152,14,2,12,3,0,31,183
ANDHRA PRADESH,ADILABAD,KHANPUR,2381,129,0,1,0,0,130,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,122,5,0,0,0,1,6,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,377,4,3,0,0,0,7,384
ANDHRA PRADESH,ADILABAD,KUBEER,43,0,0,6,5,0,11,54
ANDHRA PRADESH,ADILABAD,KUNTALA,22,0,0,4,0,0,4,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,1196,11,0,0,0,0,11,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,160,0,0,0,0,0,0,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1408,170,1,0,0,1,172,1580
ANDHRA PRADESH,ADILABAD,MAMDA,468,36,0,27,0,0,63,531
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1870,49,12,0,0,0,61,1931
ANDHRA PRADESH,ADILABAD,MANDAMARRI,590,7,0,0,0,0,7,597
ANDHRA PRADESH,ADILABAD,NARNOOR,470,73,26,16,7,15,137,607
ANDHRA PRADESH,ADILABAD,NENNAL,350,5,0,0,0,1,6,356
ANDHRA PRADESH,ADILABAD,NERADIGONDA,118,0,0,6,2,0,8,126
ANDHRA PRADESH,ADILABAD,NIRMAL,1752,9,0,0,0,0,9,1761
ANDHRA PRADESH,ADILABAD,REBBANA,164,122,0,1,21,0,144,308
ANDHRA PRADESH,ADILABAD,SARANGAPUR,190,0,0,6,0,0,6,196
ANDHRA PRADESH,ADILABAD,SIRPUR (T),341,3,2,0,1,3,9,350
ANDHRA PRADESH,ADILABAD,SIRPUR (U),254,23,1,13,1,95,133,387
ANDHRA PRADESH,ADILABAD,TALAMADUGU,717,66,7,13,5,5,96,813
ANDHRA PRADESH,ADILABAD,TAMSI,376,40,2,20,7,0,69,445
ANDHRA PRADESH,ADILABAD,TANDUR,71,90,25,12,0,20,147,218
ANDHRA PRADESH,ADILABAD,TIRYANI,41,76,0,7,4,56,143,184
ANDHRA PRADESH,ADILABAD,UTNUR,731,14,14,3,0,7,38,769
ANDHRA PRADESH,ADILABAD,VEMANPALLE,207,23,0,4,0,0,27,234
ANDHRA PRADESH,ADILABAD,WANKDI,97,7,1,35,0,0,43,140
ANDHRA PRADESH,ANANTHAPUR,AGALI,340,161,80,58,252,71,622,962
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,761,136,4,52,1,0,193,954
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,270,244,1,0,0,0,245,515
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,570,25,0,21,0,0,46,616
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,551,164,1,0,0,0,165,716
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,513,1,0,95,0,0,96,609
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,299,10,12,125,0,0,147,446
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,117,5,12,27,0,68,112,229
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,644,0,0,43,0,8,51,695
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,739,125,0,33,9,0,167,906
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1677,0,0,143,2,0,145,1822
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,167,522,74,17,1,0,614,781
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,1348,0,0,0,0,0,0,1348
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,117,40,0,315,140,1,496,613
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,1143,152,78,221,46,21,518,1661
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,575,26,1,64,127,0,218,793
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,427,246,0,31,13,4,294,721
ANDHRA PRADESH,ANANTHAPUR,GOOTY,337,16,33,57,31,12,149,486
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,186,987,1,18,1,25,1032,1218
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,427,207,0,10,0,0,217,644
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,610,81,6,14,1,0,102,712
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,435,14,9,75,0,1,99,534
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,270,8,3,658,6,0,675,945
ANDHRA PRADESH,ANANTHAPUR,KADIRI,310,80,19,210,8,5,322,632
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,929,10,0,115,0,0,125,1054
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,779,1,0,43,0,2,46,825
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,601,29,43,211,18,18,319,920
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,142,0,35,9,0,0,44,186
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,985,90,13,214,138,0,455,1440
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,573,0,0,231,4,3,238,811
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,981,1,5,12,13,0,31,1012
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,81,2,4,501,6,0,513,594
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,62,884,66,448,22,14,1434,1496
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,1190,43,1,36,0,0,80,1270
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,167,314,2,49,7,0,372,539
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,838,66,14,70,24,16,190,1028
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,729,0,0,139,22,93,254,983
ANDHRA PRADESH,ANANTHAPUR,NARPALA,1654,63,1,113,7,1,185,1839
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,978,41,2,109,13,1,166,1144
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,289,35,6,23,4,11,79,368
ANDHRA PRADESH,ANANTHAPUR,PARIGI,140,130,5,446,3,6,590,730
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,370,7,0,0,0,0,7,377
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,29,0,0,0,0,0,0,29
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,644,204,7,366,11,9,597,1241
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,923,63,0,675,11,5,754,1677
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,651,112,2,55,2,5,176,827
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,311,2,0,219,2,0,223,534
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,429,107,2,79,5,2,195,624
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,457,2,7,254,0,0,263,720
ANDHRA PRADESH,ANANTHAPUR,RODDAM,269,132,46,332,5,25,540,809
ANDHRA PRADESH,ANANTHAPUR,ROLLA,229,199,32,331,51,0,613,842
ANDHRA PRADESH,ANANTHAPUR,SETTUR,682,1,0,1,28,0,30,712
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,625,88,48,303,24,39,502,1127
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,467,60,10,125,27,44,266,733
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,789,1,1,293,0,0,295,1084
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,535,12,17,75,149,8,261,796
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,1080,0,2,141,4,2,149,1229
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,479,337,0,303,0,0,640,1119
