-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes(Permanent diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes(Permanent diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",302,8,310,547,6,553,458,6,464
"ANDHRA PRADESH","ANANTHAPUR",99,4,103,5687,40,5727,1679,11,1690
"ANDHRA PRADESH","CHITTOOR",67,0,67,989,0,989,441,0,441
"ANDHRA PRADESH","CUDDAPAH",14,2,16,195,15,210,114,3,117
"ANDHRA PRADESH","EAST GODAVARI",39,12,51,2249,129,2378,1662,127,1790
"ANDHRA PRADESH","GUNTUR",6,1,7,328,4,332,316,0,316
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM",24,11,35,1088,18,1106,966,18,984
"ANDHRA PRADESH","KRISHNA",8,1,9,254,29,283,214,29,243
"ANDHRA PRADESH","KURNOOL",10,0,10,668,0,668,272,0,272
"ANDHRA PRADESH","MAHABOOBNAGAR",4,1,5,1,1,2,1,1,2
"ANDHRA PRADESH","MEDAK",3,0,3,31,0,31,16,0,16
"ANDHRA PRADESH","NALGONDA",21,7,28,1357,6,1363,507,6,514
"ANDHRA PRADESH","NELLORE",14,2,16,3165,153,3318,2869,106,2975
"ANDHRA PRADESH","NIZAMABAD",16,0,16,758,0,758,694,0,694
"ANDHRA PRADESH","PRAKASAM",13,0,13,766,0,766,376,0,376
"ANDHRA PRADESH","RANGAREDDY",18,7,25,1215,136,1351,507,69,576
"ANDHRA PRADESH","SRIKAKULAM",96,7,103,4977,11,4988,4815,4,4818
"ANDHRA PRADESH","VISAKHAPATNAM",247,1,248,9711,10,9721,8528,7,8536
"ANDHRA PRADESH","VIZIANAGARAM",110,0,110,1967,0,1967,1569,0,1569
