-----
{
 "description": "Data provides year-wise details on release vs expenditure under NBA upto 31st March, 2013.", 
 "file_name": "Year-wise_Release_Vs_Expenditure_Upto_31st_March2013.xls", 
 "title": "Download XLS for Year-wise Release Vs Expenditure Under NBA Upto 31st March 2013", 
 "url": "http://data.gov.in/sites/default/files/Year-wise_Release_Vs_Expenditure_Upto_31st_March2013.xls"
}
-----
-----
{
 "description": "Data provides state-wise and district-wise details (such as project cost, approved centre share, approved state share, approved beneficiary share, IHHL BPL sanctioned, etc) on projects sanctioned under NBA upto 31st March, 2013. ", 
 "file_name": "Details_of_Projects_Sanctioned_Upto_31st_March2013.xls", 
 "title": "Download XLS for Details of Projects Sanctioned Under NBA Upto 31st March 2013", 
 "url": "http://data.gov.in/sites/default/files/Details_of_Projects_Sanctioned_Upto_31st_March2013.xls"
}
-----
"State Name","District Name","Date of Sanction","Project Cost","Approved Centre Share","Approved State Share","Approved Beneficiary Share","IHHL BPL Sanctioned","IHHL APL Sanctioned","IHHL TOTAL Sanctioned","SCW Sanctioned","School Toilets Sanctioned","Anganwadi Toilets Sanctioned","RSM/PC Sanctioned"
"ANDHRA PRADESH","ADILABAD","11-06-2001",7845.08,5210.61,1918.19,716.28,247475.0,148181.0,395656.0,0.0,4462.0,427.0,10.0
"ANDHRA PRADESH","ANANTAPUR","11-06-2001",6308.72,4059.29,1394.66,854.77,363314.0,181335.0,544649.0,0.0,3421.0,284.0,10.0
"ANDHRA PRADESH","CHITTOOR","28-03-2000",7680.84,5036.09,1875.03,769.72,296465.0,236986.0,533451.0,0.0,8171.0,375.0,10.0
"ANDHRA PRADESH","CUDDAPAH","02-05-2003",6440.21,3924.41,1662.14,853.66,251653.0,251610.0,503263.0,0.0,6802.0,277.0,10.0
"ANDHRA PRADESH","EAST GODAVARI","23-04-2002",9690.38,6324.81,2329.86,1035.71,370255.0,191400.0,561655.0,50.0,7004.0,1164.0,10.0
"ANDHRA PRADESH","GUNTUR","23-04-2002",12563.94,6298.09,3611.81,2654.04,370996.0,319053.0,690049.0,0.0,5346.0,215.0,10.0
"ANDHRA PRADESH","KARIMNAGAR","13-02-2003",10849.48,7165.48,2612.85,1071.15,365267.0,219763.0,585030.0,0.0,5848.0,298.0,10.0
"ANDHRA PRADESH","KHAMMAM","25-11-1999",5033.95,3296.76,1226.56,510.63,189225.0,4860.0,194085.0,0.0,6318.0,521.0,10.0
"ANDHRA PRADESH","KRISHNA","13-02-2003",9115.68,5977.79,2174.82,963.07,351572.0,175991.0,527563.0,17.0,3374.0,62.0,10.0
"ANDHRA PRADESH","KURNOOL","23-04-2002",10196.49,6720.35,2491.52,984.62,383478.0,129956.0,513434.0,0.0,4669.0,2111.0,10.0
