-----
{
 "description": "This table gives an overview of the Financial Performance of Pawan Hans Helicopters limited during Eleventh Plan Period.", 
 "file_name": "Financial_Performance_of_Pawan_Hans_Helicopters_Limited_During_Eleventh_Plan_Period.xls", 
 "title": "Download XLS for Financial Performance of Pawan Hans Helicopters Limited During Eleventh Plan Period  ", 
 "url": "http://data.gov.in/sites/default/files/Financial_Performance_of_Pawan_Hans_Helicopters_Limited_During_Eleventh_Plan_Period.xls"
}
-----
"Particulars","11th Plan Targets","2007-08(Targets)","2007-08(Ach.)","2008-09(Targets)","2008-09(Ach.)","2009-10(Targets)","2009-10(Ach.)","2010-11(Targets)","2010-11(Ach.)","2011-12(Targets)","2011-12(Ach.)"
"Total Revenue",1810.0,243.0,243.0,239.0,329.0,311.0,396.0,364.0,424.0,446.0,438.15
"Total Expenses",1602.0,219.0,214.0,226.0,291.0,283.0,349.0,334.0,384.0,419.0,437.05
"Profit/(Loss) after Tax",210.0,22.0,23.0,14.0,25.0,20.0,36.0,20.0,9.0,2.0,-10.35
